experiment_id,strategy_name,signal_month,return_month,ticker,weight,hsi_state,hsi_direction,hsi_intensity,allocation_rule
combo_00_baseline_core,combo_00_baseline_core,2012-07,2012-08,069500,0.3333333333333333,risk_relief,-0.370055,0.516154,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-07,2012-08,114260,0.3333333333333333,risk_relief,-0.370055,0.516154,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-07,2012-08,153130,0.3333333333333333,risk_relief,-0.370055,0.516154,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-08,2012-09,069500,0.3333333333333333,risk_relief,-0.173529,0.173529,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-08,2012-09,114260,0.3333333333333333,risk_relief,-0.173529,0.173529,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-08,2012-09,153130,0.3333333333333333,risk_relief,-0.173529,0.173529,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-09,2012-10,069500,0.3333333333333333,risk_relief,-0.329276,0.39635,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-09,2012-10,114260,0.3333333333333333,risk_relief,-0.329276,0.39635,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-09,2012-10,153130,0.3333333333333333,risk_relief,-0.329276,0.39635,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-10,2012-11,069500,0.3333333333333333,conflict,0.043037,0.253095,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-10,2012-11,114260,0.3333333333333333,conflict,0.043037,0.253095,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-10,2012-11,153130,0.3333333333333333,conflict,0.043037,0.253095,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-11,2012-12,069500,0.3333333333333333,risk_relief,-0.335334,0.335334,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-11,2012-12,114260,0.3333333333333333,risk_relief,-0.335334,0.335334,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-11,2012-12,153130,0.3333333333333333,risk_relief,-0.335334,0.335334,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-12,2013-01,069500,0.3333333333333333,risk_relief,-0.599845,0.599845,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-12,2013-01,114260,0.3333333333333333,risk_relief,-0.599845,0.599845,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2012-12,2013-01,153130,0.3333333333333333,risk_relief,-0.599845,0.599845,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-01,2013-02,069500,0.3333333333333333,conflict,-0.104277,0.270175,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-01,2013-02,114260,0.3333333333333333,conflict,-0.104277,0.270175,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-01,2013-02,153130,0.3333333333333333,conflict,-0.104277,0.270175,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-02,2013-03,069500,0.3333333333333333,risk_relief,-0.407189,0.407189,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-02,2013-03,114260,0.3333333333333333,risk_relief,-0.407189,0.407189,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-02,2013-03,153130,0.3333333333333333,risk_relief,-0.407189,0.407189,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-03,2013-04,069500,0.3333333333333333,conflict,-0.090867,0.17795,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-03,2013-04,114260,0.3333333333333333,conflict,-0.090867,0.17795,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-03,2013-04,153130,0.3333333333333333,conflict,-0.090867,0.17795,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-04,2013-05,069500,0.3333333333333333,conflict,0.012019,0.087348,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-04,2013-05,114260,0.3333333333333333,conflict,0.012019,0.087348,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-04,2013-05,153130,0.3333333333333333,conflict,0.012019,0.087348,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-05,2013-06,069500,0.3333333333333333,risk_relief,-0.189488,0.189488,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-05,2013-06,114260,0.3333333333333333,risk_relief,-0.189488,0.189488,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-05,2013-06,153130,0.3333333333333333,risk_relief,-0.189488,0.189488,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-06,2013-07,069500,0.1,accident_zone,0.696568,0.696568,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-06,2013-07,114260,0.45,accident_zone,0.696568,0.696568,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-06,2013-07,153130,0.45,accident_zone,0.696568,0.696568,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-07,2013-08,069500,0.3333333333333333,conflict,-0.016493,0.204612,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-07,2013-08,114260,0.3333333333333333,conflict,-0.016493,0.204612,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-07,2013-08,153130,0.3333333333333333,conflict,-0.016493,0.204612,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-08,2013-09,069500,0.3333333333333333,conflict,-0.006507,0.220741,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-08,2013-09,114260,0.3333333333333333,conflict,-0.006507,0.220741,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-08,2013-09,153130,0.3333333333333333,conflict,-0.006507,0.220741,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-09,2013-10,069500,0.3333333333333333,risk_relief,-0.502047,0.502047,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-09,2013-10,114260,0.3333333333333333,risk_relief,-0.502047,0.502047,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-09,2013-10,153130,0.3333333333333333,risk_relief,-0.502047,0.502047,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-10,2013-11,069500,0.3333333333333333,risk_relief,-0.319451,0.319451,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-10,2013-11,114260,0.3333333333333333,risk_relief,-0.319451,0.319451,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-10,2013-11,153130,0.3333333333333333,risk_relief,-0.319451,0.319451,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-11,2013-12,069500,0.3333333333333333,conflict,-0.137406,0.26552,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-11,2013-12,114260,0.3333333333333333,conflict,-0.137406,0.26552,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-11,2013-12,153130,0.3333333333333333,conflict,-0.137406,0.26552,main_v2b_fixed
combo_00_baseline_core,combo_00_baseline_core,2013-12,2014-01,069500,0.3333333333333333,risk_relief,-0.208831,0.279598,main_v2b_fixed
