Date,Market,Bond,Momentum,Volatility,MacroRisk
2014-01-31,-0.042386,0.002324,-0.043819952919412763,0.12273784198963546,0.0
2014-02-28,0.017822,0.003711,-0.035449258733586286,0.1169669419948917,0.0
2014-03-31,0.000193,0.002605,-0.02513128993683522,0.1155954679966461,2.0
2014-04-30,-0.009277,0.001853,0.008574282581404136,0.11192374610339924,1.0
2014-05-31,0.019009,0.004809,0.009750497748127085,0.11149608243260468,0.0
2014-06-30,0.0,0.006383,0.00955565350700005,0.07483417768761687,0.0
2014-07-31,0.038425,0.006366,0.05816442082500006,0.07908080855509299,1.0
2014-08-31,-0.018896,0.002842,0.018802921199999822,0.08336857032806458,0.0
2014-09-30,-0.032666,0.008171,-0.014477295023919368,0.08239612434177625,1.0
2014-10-31,-0.025181,0.007653,-0.07484290368386926,0.08116572411542827,1.0
2014-11-30,0.012615,0.003074,-0.045128800732482155,0.08190223319577154,1.0
2014-12-31,-0.024323,0.0011,-0.03689328909380418,0.08419854154804689,1.0
2015-01-31,0.027766,0.006721,0.015417561456246842,0.07967395294859256,0.0
2015-02-28,0.002367,-0.000361,0.005141198603826558,0.07746777674268536,2.0
2015-03-31,0.020067,0.010484,0.05087171987882222,0.08025347335219148,1.0
2015-04-30,0.040226,-0.003139,0.06361183935124126,0.0883177834223457,1.0
2015-05-31,-0.022514,0.004139,0.0372106048982932,0.09083267194532631,1.0
2015-06-30,-0.034357,-0.000266,-0.018128063994029442,0.09768677856151911,2.0
2015-07-31,-0.033594,0.002437,-0.08780694754045182,0.09206494843612009,1.0
2015-08-31,-0.04711,0.002972,-0.11076001317852235,0.09990617322267928,1.0
2015-09-30,0.020725,0.006315,-0.0600361773985284,0.10079432812460683,1.0
2015-10-31,0.060703,-0.000716,0.03168072893261087,0.11749770044442262,1.0
2015-11-30,-0.02333,-0.003134,0.05742700366948239,0.11939818788483271,2.0
2015-12-31,-0.005921,0.005356,0.02982289880306177,0.11688774024211901,1.0
2016-01-31,-0.033682,0.003414,-0.061814283616076215,0.11735515746035813,1.0
2016-02-29,0.017216,0.005282,-0.022865940719803635,0.11925491671625113,1.0
2016-03-31,0.042833,0.001058,0.025057004967758756,0.1261303018840581,0.0
2016-04-30,-0.00221,0.000714,0.05844207495542886,0.11764414285115013,1.0
2016-05-31,-0.006135,0.000267,0.034144697709805216,0.11613023457386891,2.0
2016-06-30,0.004115,0.007696,-0.004250725532389699,0.11133841510539755,0.0
2016-07-31,0.029712,0.002045,0.027605986139961125,0.1087996590068186,0.0
2016-08-31,0.018714,-0.001686,0.05329859142296445,0.09339831009177843,1.0
2016-09-30,0.003127,0.002691,0.05226219717696057,0.09289729670790407,0.0
2016-10-31,-0.00526,-0.0048,0.01652432720975372,0.07420033809467202,2.0
2016-11-30,-0.0047,-0.007681,-0.006839345614305992,0.06907789981212911,2.0
2016-12-31,0.036009,0.004439,0.02571596257449782,0.07448148586729457,1.0
2017-01-31,0.034758,-0.00054,0.06698011339813648,0.06293560812232829,1.0
2017-02-28,0.004589,0.001351,0.07693809418117215,0.06349915459995582,0.0
2017-03-31,0.042938,0.002693,0.0841408347505892,0.06355310127544739,0.0
2017-04-30,0.023893,0.000629,0.07275731302902222,0.06209469581797847,2.0
2017-05-31,0.064011,0.002157,0.13621150678866978,0.0742909313271448,0.0
2017-06-30,0.024195,-0.00038,0.11579225629464251,0.07199267228620625,2.0
2017-07-31,0.00744,0.001081,0.09786252145631869,0.07305185192351078,1.0
2017-08-31,-0.020661,0.00072,0.010496680861861174,0.08406536857978168,2.0
