signal_month,hsi_state,state_valid,hsi_direction,hsi_intensity,positive_count,negative_count,valid_signal_count,return_month,next_return_069500,next_return_114260,next_return_153130,alignment_rule
2015-12,neutral_watch,True,0.073532,0.106681,2,0,4,2016-01,-3.3682,0.3414,0.13,signal_month_t_to_return_month_t_plus_1
2016-01,accident_zone,True,0.409822,0.409822,4,0,4,2016-02,1.7216,0.5282,0.1448,signal_month_t_to_return_month_t_plus_1
2016-02,conflict,True,-0.087599,0.243786,1,3,4,2016-03,4.2833,0.1058,0.1146,signal_month_t_to_return_month_t_plus_1
2016-03,risk_relief,True,-0.455626,0.455626,0,4,4,2016-04,-0.221,0.0714,0.1145,signal_month_t_to_return_month_t_plus_1
2016-04,risk_relief,True,-0.178352,0.178352,0,3,4,2016-05,-0.6135,0.0268,0.0895,signal_month_t_to_return_month_t_plus_1
2016-05,risk_relief,True,-0.232504,0.236953,0,3,4,2016-06,0.4115,0.7696,0.1888,signal_month_t_to_return_month_t_plus_1
2016-06,conflict,True,0.015039,0.225086,1,2,4,2016-07,2.9712,0.2045,0.1091,signal_month_t_to_return_month_t_plus_1
2016-07,risk_relief,True,-0.354979,0.354979,0,4,4,2016-08,1.8714,-0.1685,0.0694,signal_month_t_to_return_month_t_plus_1
2016-08,risk_relief,True,-0.340344,0.340344,0,4,4,2016-09,0.3127,0.2691,0.0941,signal_month_t_to_return_month_t_plus_1
2016-09,conflict,True,-0.049097,0.190211,2,2,4,2016-10,-0.526,-0.48,0.0495,signal_month_t_to_return_month_t_plus_1
2016-10,conflict,True,0.022535,0.16529,2,1,4,2016-11,-0.47,-0.7681,0.0099,signal_month_t_to_return_month_t_plus_1
2016-11,neutral_watch,True,0.028318,0.068053,0,0,4,2016-12,3.601,0.4439,0.1744,signal_month_t_to_return_month_t_plus_1
2016-12,risk_relief,True,-0.407481,0.407481,0,4,4,2017-01,3.4758,-0.054,0.14,signal_month_t_to_return_month_t_plus_1
2017-01,risk_relief,True,-0.43027,0.43027,0,4,4,2017-02,0.4589,0.1351,0.1248,signal_month_t_to_return_month_t_plus_1
2017-02,risk_relief,True,-0.212718,0.295179,1,3,4,2017-03,4.2938,0.2693,0.1146,signal_month_t_to_return_month_t_plus_1
2017-03,risk_relief,True,-0.507495,0.507495,0,4,4,2017-04,2.3893,0.0629,0.1096,signal_month_t_to_return_month_t_plus_1
2017-04,risk_relief,True,-0.451542,0.451542,0,4,4,2017-05,6.4011,0.2157,0.1194,signal_month_t_to_return_month_t_plus_1
2017-05,risk_relief,True,-0.550409,0.705343,1,3,4,2017-06,2.4195,-0.038,0.0944,signal_month_t_to_return_month_t_plus_1
2017-06,risk_relief,True,-0.341243,0.341243,0,3,4,2017-07,0.744,0.1081,0.1241,signal_month_t_to_return_month_t_plus_1
2017-07,conflict,True,0.014822,0.169839,1,1,4,2017-08,-2.0661,0.072,0.0942,signal_month_t_to_return_month_t_plus_1
2017-08,accident_zone,True,0.436644,0.436644,4,0,4,2017-09,2.8887,-0.2417,0.0891,signal_month_t_to_return_month_t_plus_1
2017-09,conflict,True,0.043978,0.12127,2,1,4,2017-10,5.3798,-0.6236,-0.0099,signal_month_t_to_return_month_t_plus_1
2017-10,risk_relief,True,-0.258642,0.26438,0,3,4,2017-11,-2.5169,0.3638,0.1039,signal_month_t_to_return_month_t_plus_1
2017-11,accident_zone,True,0.545254,0.545254,3,0,4,2017-12,0.753,0.0635,0.1388,signal_month_t_to_return_month_t_plus_1
2017-12,accident_zone,True,0.569747,0.569747,4,0,4,2018-01,2.8218,-0.3912,0.17,signal_month_t_to_return_month_t_plus_1
2018-01,risk_warning,True,0.255661,0.255661,3,0,4,2018-02,-5.9783,0.3653,0.1447,signal_month_t_to_return_month_t_plus_1
2018-02,accident_zone,True,0.918214,0.918214,4,0,4,2018-03,0.852,0.3672,0.1146,signal_month_t_to_return_month_t_plus_1
2018-03,accident_zone,True,0.412582,0.412582,3,0,4,2018-04,2.5258,0.1819,0.1493,signal_month_t_to_return_month_t_plus_1
2018-04,conflict,True,0.096517,0.183857,1,1,4,2018-05,-3.7152,0.1997,0.1441,signal_month_t_to_return_month_t_plus_1
2018-05,accident_zone,True,0.39405,0.445097,3,1,4,2018-06,-3.3923,0.421,0.1191,signal_month_t_to_return_month_t_plus_1
2018-06,accident_zone,True,0.485679,0.485679,3,0,4,2018-07,-0.5827,0.2177,0.1338,signal_month_t_to_return_month_t_plus_1
2018-07,conflict,True,0.013344,0.41413,2,2,4,2018-08,0.52,0.6878,0.1634,signal_month_t_to_return_month_t_plus_1
2018-08,conflict,True,-0.086159,0.234135,1,2,4,2018-09,0.5507,-0.0691,0.0988,signal_month_t_to_return_month_t_plus_1
2018-09,neutral_watch,True,-0.117962,0.159827,0,3,4,2018-10,-12.1297,0.3971,0.1382,signal_month_t_to_return_month_t_plus_1
2018-10,accident_zone,True,0.946661,0.946661,4,0,4,2018-11,2.9178,0.3416,0.1331,signal_month_t_to_return_month_t_plus_1
2018-11,conflict,True,0.058974,0.231772,2,2,4,2018-12,-2.1355,0.2924,0.153,signal_month_t_to_return_month_t_plus_1
2018-12,risk_warning,True,0.256639,0.256639,4,0,4,2019-01,9.1987,0.2067,0.1599,signal_month_t_to_return_month_t_plus_1
2019-01,risk_relief,True,-0.783788,0.783788,0,4,4,2019-02,-0.758,0.1345,0.1198,signal_month_t_to_return_month_t_plus_1
2019-02,risk_relief,True,-0.367511,0.367511,0,4,4,2019-03,-2.1871,0.5195,0.1495,signal_month_t_to_return_month_t_plus_1
2019-03,conflict,True,-0.15681,0.23138,1,3,4,2019-04,2.8088,0.0713,0.1443,signal_month_t_to_return_month_t_plus_1
2019-04,risk_relief,True,-0.287731,0.287731,0,4,4,2019-05,-7.475,0.4541,0.1739,signal_month_t_to_return_month_t_plus_1
2019-05,risk_warning,True,0.27855,0.27855,3,0,4,2019-06,5.5187,0.3723,0.1588,signal_month_t_to_return_month_t_plus_1
2019-06,risk_relief,True,-0.479186,0.479186,0,4,4,2019-07,-3.9197,0.6005,0.213,signal_month_t_to_return_month_t_plus_1
2019-07,neutral_watch,True,0.124344,0.127007,3,0,4,2019-08,-2.9809,0.3775,0.1631,signal_month_t_to_return_month_t_plus_1
2019-08,risk_warning,True,0.169346,0.169346,4,0,4,2019-09,6.0097,-0.2798,0.0296,signal_month_t_to_return_month_t_plus_1
2019-09,risk_relief,True,-0.432881,0.432881,0,4,4,2019-10,1.0928,-0.4473,0.0789,signal_month_t_to_return_month_t_plus_1
2019-10,risk_relief,True,-0.201764,0.201764,0,2,4,2019-11,0.1446,0.3347,0.0887,signal_month_t_to_return_month_t_plus_1
2019-11,conflict,True,-0.014515,0.239105,2,1,4,2019-12,7.509,0.0878,0.1034,signal_month_t_to_return_month_t_plus_1
2019-12,risk_relief,True,-0.577673,0.577673,0,4,4,2020-01,-2.9096,0.3684,0.1574,signal_month_t_to_return_month_t_plus_1
2020-01,accident_zone,True,0.356987,0.398227,3,0,4,2020-02,-5.8029,0.5856,0.1179,signal_month_t_to_return_month_t_plus_1
2020-02,accident_zone,True,0.704018,0.704018,4,0,4,2020-03,-11.4197,0.0,0.1717,signal_month_t_to_return_month_t_plus_1
2020-03,accident_zone,True,0.819877,0.819877,4,0,4,2020-04,8.9908,0.3215,0.1421,signal_month_t_to_return_month_t_plus_1
2020-04,conflict,True,-0.042194,0.232697,1,1,4,2020-05,3.6987,0.5456,0.1369,signal_month_t_to_return_month_t_plus_1
2020-05,neutral_watch,True,-0.134614,0.134614,0,2,4,2020-06,4.8366,0.0086,0.0195,signal_month_t_to_return_month_t_plus_1
2020-06,conflict,True,-0.087181,0.276658,1,2,4,2020-07,6.821,0.3015,0.0537,signal_month_t_to_return_month_t_plus_1
2020-07,risk_relief,True,-0.296666,0.296666,0,4,4,2020-08,2.723,-0.4208,0.0098,signal_month_t_to_return_month_t_plus_1
2020-08,risk_relief,True,-0.155931,0.155931,0,2,4,2020-09,1.1059,0.3967,0.0341,signal_month_t_to_return_month_t_plus_1
2020-09,risk_relief,True,-0.17203,0.211077,0,2,4,2020-10,-2.8852,-0.1804,0.0537,signal_month_t_to_return_month_t_plus_1
2020-10,conflict,True,0.021541,0.197473,2,1,4,2020-11,15.0796,-0.1291,0.0244,signal_month_t_to_return_month_t_plus_1
2020-11,risk_relief,True,-0.425675,0.425675,0,4,4,2020-12,13.8821,0.0431,0.0341,signal_month_t_to_return_month_t_plus_1
2020-12,risk_relief,True,-0.526847,0.526847,0,4,4,2021-01,4.2354,0.112,0.0682,signal_month_t_to_return_month_t_plus_1
2021-01,conflict,True,-0.160887,0.243782,1,2,4,2021-02,1.4103,-0.0516,0.0487,signal_month_t_to_return_month_t_plus_1
2021-02,conflict,True,0.000719,0.141041,1,1,4,2021-03,1.151,-0.1808,0.0438,signal_month_t_to_return_month_t_plus_1
2021-03,conflict,True,-0.029647,0.223012,2,2,4,2021-04,1.8326,0.0949,0.0487,signal_month_t_to_return_month_t_plus_1
2021-04,conflict,True,0.03603,0.365496,2,1,4,2021-05,1.0994,-0.1551,0.034,signal_month_t_to_return_month_t_plus_1
2021-05,conflict,True,0.166612,0.340135,3,1,4,2021-06,2.6544,-0.2934,-0.0778,signal_month_t_to_return_month_t_plus_1
2021-06,conflict,True,0.067437,0.372066,3,1,4,2021-07,-3.0883,0.4327,0.073,signal_month_t_to_return_month_t_plus_1
2021-07,risk_warning,True,0.348931,0.533099,3,1,4,2021-08,-1.1769,0.1896,0.0097,signal_month_t_to_return_month_t_plus_1
2021-08,accident_zone,True,0.366847,0.366847,3,0,4,2021-09,-4.2634,-0.6536,0.0729,signal_month_t_to_return_month_t_plus_1
2021-09,accident_zone,True,0.364383,0.464276,3,1,4,2021-10,-3.2009,-1.2119,-0.0097,signal_month_t_to_return_month_t_plus_1
2021-10,accident_zone,True,0.395427,0.395427,3,0,4,2021-11,-3.593,1.0252,0.068,signal_month_t_to_return_month_t_plus_1
2021-11,accident_zone,True,0.424615,0.424615,3,0,4,2021-12,6.5188,0.2949,0.1117,signal_month_t_to_return_month_t_plus_1
2021-12,conflict,True,-0.012848,0.239586,2,2,4,2022-01,-8.9301,-0.8908,0.0485,signal_month_t_to_return_month_t_plus_1
2022-01,accident_zone,True,0.677606,0.677606,4,0,4,2022-02,0.9793,0.0785,0.097,signal_month_t_to_return_month_t_plus_1
2022-02,accident_zone,True,0.356831,0.414384,3,1,4,2022-03,1.2976,-0.9678,0.0436,signal_month_t_to_return_month_t_plus_1
2022-03,conflict,True,0.053065,0.231858,2,1,4,2022-04,-2.8518,-0.81,0.0629,signal_month_t_to_return_month_t_plus_1
2022-04,neutral_watch,True,0.120965,0.120965,2,0,4,2022-05,-0.1971,0.1953,0.0774,signal_month_t_to_return_month_t_plus_1
2022-05,conflict,True,-0.07599,0.256449,1,2,4,2022-06,-12.8809,-1.2314,-0.0435,signal_month_t_to_return_month_t_plus_1
2022-06,accident_zone,True,0.882407,0.882407,4,0,4,2022-07,4.8907,1.9912,0.0967,signal_month_t_to_return_month_t_plus_1
2022-07,risk_relief,True,-0.330579,0.330579,0,3,4,2022-08,-0.4786,-1.7325,0.0821,signal_month_t_to_return_month_t_plus_1
2022-08,risk_relief,True,-0.161532,0.161532,0,3,4,2022-09,-12.2712,-1.056,0.14,signal_month_t_to_return_month_t_plus_1
2022-09,accident_zone,True,0.757727,0.757727,4,0,4,2022-10,6.6564,0.2442,0.1494,signal_month_t_to_return_month_t_plus_1
2022-10,risk_relief,True,-0.279552,0.401883,1,3,4,2022-11,7.0415,1.9128,0.2792,signal_month_t_to_return_month_t_plus_1
2022-11,risk_relief,True,-0.465292,0.564963,1,3,4,2022-12,-7.7319,-0.1505,0.2928,signal_month_t_to_return_month_t_plus_1
2022-12,conflict,True,-0.007014,0.301076,1,2,4,2023-01,8.8957,1.4896,0.3924,signal_month_t_to_return_month_t_plus_1
2023-01,risk_relief,True,-0.607821,0.607821,0,4,4,2023-02,-0.7775,-1.0397,0.1668,signal_month_t_to_return_month_t_plus_1
2023-02,risk_relief,True,-0.167525,0.169506,0,2,4,2023-03,2.4604,1.9246,0.4901,signal_month_t_to_return_month_t_plus_1
2023-03,risk_relief,True,-0.46095,0.46095,0,4,4,2023-04,1.1698,0.2425,0.2557,signal_month_t_to_return_month_t_plus_1
2023-04,risk_relief,True,-0.390299,0.390299,0,4,4,2023-05,4.1226,-0.2074,0.1559,signal_month_t_to_return_month_t_plus_1
2023-05,risk_relief,True,-0.487228,0.487228,0,4,4,2023-06,-0.0294,-0.4849,0.283,signal_month_t_to_return_month_t_plus_1
2023-06,risk_relief,True,-0.352207,0.358511,0,3,4,2023-07,1.5312,0.3915,0.2681,signal_month_t_to_return_month_t_plus_1
2023-07,conflict,True,-0.044323,0.292393,1,2,4,2023-08,-2.6247,0.1993,0.3095,signal_month_t_to_return_month_t_plus_1
2023-08,conflict,True,-0.081036,0.238426,1,1,4,2023-09,-2.0849,-0.3633,0.2712,signal_month_t_to_return_month_t_plus_1
2023-09,conflict,True,0.081859,0.272857,3,1,4,2023-10,-6.4364,-0.2865,0.2285,signal_month_t_to_return_month_t_plus_1
2023-10,accident_zone,True,0.606603,0.606603,4,0,4,2023-11,10.7469,1.8544,0.3768,signal_month_t_to_return_month_t_plus_1
2023-11,conflict,True,-0.127993,0.353241,1,3,4,2023-12,6.5234,1.4446,0.3522,signal_month_t_to_return_month_t_plus_1
2023-12,risk_relief,True,-0.551532,0.551532,0,4,4,2024-01,-6.2085,-0.0506,0.3233,signal_month_t_to_return_month_t_plus_1
2024-01,risk_warning,True,0.339293,0.339293,4,0,4,2024-02,5.9267,-0.0927,0.2348,signal_month_t_to_return_month_t_plus_1
2024-02,risk_relief,True,-0.203809,0.33325,1,3,4,2024-03,5.902,0.3882,0.2664,signal_month_t_to_return_month_t_plus_1
2024-03,risk_relief,True,-0.403428,0.460523,1,3,4,2024-04,-2.2506,-0.3698,0.252,signal_month_t_to_return_month_t_plus_1
2024-04,conflict,True,0.0706,0.312187,2,1,4,2024-05,-1.7462,0.5653,0.3016,signal_month_t_to_return_month_t_plus_1
2024-05,risk_warning,True,0.202972,0.217073,3,0,4,2024-06,7.0397,0.9815,0.2961,signal_month_t_to_return_month_t_plus_1
