strategy_name,signal_month,return_month,hsi_state,monthly_return,monthly_return_pct,growth_index,cumulative_return,cumulative_return_pct,drawdown,drawdown_pct
EW_1_3,,2012-08,benchmark,0.24376666666666666,24.376666666666665,1.2437666666666667,0.2437666666666667,24.37666666666667,0.0,0.0
EW_1_3,,2012-09,benchmark,1.7588666666666668,175.88666666666668,3.431386397777778,2.431386397777778,243.1386397777778,0.0,0.0
EW_1_3,,2012-10,benchmark,-1.3575,-135.75,-1.2267206372055555,-2.2267206372055552,-222.6720637205555,-1.3575,-135.75
EW_1_3,,2012-11,benchmark,0.6960000000000001,69.60000000000001,-2.0805182007006224,-3.0805182007006224,-308.05182007006226,-1.60632,-160.632
EW_1_3,,2012-12,benchmark,1.5110666666666666,151.10666666666665,-5.224319903172642,-6.224319903172642,-622.4319903172642,-2.522509941333333,-252.2509941333333
EW_1_3,,2013-01,benchmark,-0.5105666666666667,-51.05666666666667,-2.556956304609463,-3.556956304609463,-355.6956304609463,-1.745167115619911,-174.5167115619911
EW_1_3,,2013-02,benchmark,1.5983999999999998,159.83999999999997,-6.643995261897228,-7.643995261897228,-764.3995261897228,-2.936242233226776,-293.6242233226776
EW_1_3,,2013-03,benchmark,-0.3405,-34.050000000000004,-4.381714875221221,-5.381714875221221,-538.1714875221221,-2.2769517528130585,-227.69517528130586
EW_1_3,,2013-04,benchmark,-0.8376999999999999,-83.76999999999998,-0.7111523242484047,-1.7111523242484048,-171.11523242484049,-1.2072492694815595,-120.72492694815595
EW_1_3,,2013-05,benchmark,0.5842333333333334,58.42333333333334,-1.1266312171517976,-2.1266312171517976,-212.66312171517976,-1.3283312010216695,-132.83312010216696
EW_1_3,,2013-06,benchmark,-2.538,-253.79999999999998,1.7327588119794646,0.7327588119794646,73.27588119794646,-0.49502661282867255,-49.50266128286726
EW_1_3,,2013-07,benchmark,1.0102333333333333,101.02333333333333,3.4832495224681854,2.4832495224681854,248.32495224681855,0.0,0.0
EW_1_3,,2013-08,benchmark,0.5953,59.53000000000001,5.556827963193496,4.556827963193496,455.68279631934956,0.0,0.0
EW_1_3,,2013-09,benchmark,1.5635999999999999,156.35999999999999,14.245484166442846,13.245484166442846,1324.5484166442845,0.0,0.0
EW_1_3,,2013-10,benchmark,0.9636999999999999,96.36999999999999,27.973857257643814,26.973857257643814,2697.3857257643813,0.0,0.0
EW_1_3,,2013-11,benchmark,0.23223333333333337,23.223333333333336,34.4703193747773,33.4703193747773,3347.0319374777296,0.0,0.0
EW_1_3,,2013-12,benchmark,-0.07729999999999995,-7.729999999999995,31.805763687107014,30.805763687107014,3080.5763687107014,-0.07729999999999992,-7.729999999999992
EW_1_3,,2014-01,benchmark,-1.2654,-126.54,-8.441249682558205,-9.441249682558205,-944.1249682558205,-1.2448845800000001,-124.48845800000001
EW_1_3,,2014-02,benchmark,0.7808666666666667,78.08666666666667,-15.03274018467849,-16.032740184678488,-1603.2740184678487,-1.436106785702667,-143.6106785702667
