year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,weight_069500,weight_114260,weight_153130,turnover,macro_data_available,macro_risk_flag,macro_defense_addon,macro_companion_regime,gdp_data_available,rate_up_flag,fx_up_flag,base_weight_069500,base_weight_114260,base_weight_153130,macro_hsi_overlap_type,overlay_strength,macro_overlay_delta
2012-03,2012-04,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2012-04,2012-05,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2012-05,2012-06,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2012-06,2012-07,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2012-07,2012-08,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.19999999999999998,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2012-08,2012-09,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2012-09,2012-10,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2012-10,2012-11,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.19999999999999998,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2012-11,2012-12,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.19999999999999998,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2012-12,2013-01,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2013-01,2013-02,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2013-02,2013-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2013-03,2013-04,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.19999999999999998,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2013-04,2013-05,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2013-05,2013-06,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.19999999999999998,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2013-06,2013-07,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.7,0,0,0.0,macro_data_unavailable,0,,,0.0,0.3,0.7,macro_data_unavailable,0.0,0.0
2013-07,2013-08,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.55,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2013-08,2013-09,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0
2013-09,2013-10,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.19999999999999998,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2013-10,2013-11,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2013-11,2013-12,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2013-12,2014-01,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0
2014-01,2014-02,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.2,0.45,0.35,0.5,1,0,0.0,neutral,0,0.0,0.0,0.2,0.45,0.35,hsi_risk_only,0.0,0.0
2014-02,2014-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.5,1,0,0.0,neutral,0,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0
2014-03,2014-04,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.19999999999999998,1,0,0.0,neutral,0,1.0,1.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0
2014-04,2014-05,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175000000000001,0.1975,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025
2014-05,2014-06,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.002500000000000009,1,0,0.0,neutral,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0
2014-06,2014-07,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.19999999999999998,1,0,0.0,neutral,1,0.0,0.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0
2014-07,2014-08,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.19999999999999998,1,0,0.0,neutral,1,0.0,1.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0
2014-08,2014-09,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.19999999999999998,1,0,0.0,neutral,1,0.0,0.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0
2014-09,2014-10,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.55,1,0,0.0,neutral,1,0.0,1.0,0.0,0.3,0.7,hsi_risk_only,0.0,0.0
2014-10,2014-11,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.0,1,1,0.005,neutral,1,0.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0
2014-11,2014-12,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.69875,0.200375,0.100875,0.69875,1,1,0.005,neutral,1,0.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.00125
2014-12,2015-01,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.19,0.453,0.357,0.50875,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.2,0.45,0.35,both_hsi_and_macro_risk,1.0,0.01
2015-01,2015-02,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.51,1,0,0.0,neutral,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0
2015-02,2015-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175000000000001,0.002500000000000009,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025
2015-03,2015-04,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.002500000000000009,1,0,0.0,neutral,1,0.0,1.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0
2015-04,2015-05,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175000000000001,0.002500000000000009,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025
2015-05,2015-06,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.195,0.4515,0.3535,0.5025,1,1,0.005,neutral,1,0.0,1.0,0.2,0.45,0.35,both_hsi_and_macro_risk,1.0,0.005
2015-06,2015-07,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.4875,0.35374999999999995,0.15875,0.2925,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.5,0.35,0.15,macro_risk_only,0.5,0.0125
