strategy_name,signal_month,return_month,ticker,weight,hsi_state,hsi_direction,hsi_intensity,allocation_rule
HSI_main_v2b_baseline,2012-07,2012-08,069500,0.3333333333333333,risk_relief,-0.370055,0.516154,main_v2b_baseline
HSI_main_v2b_baseline,2012-07,2012-08,114260,0.3333333333333333,risk_relief,-0.370055,0.516154,main_v2b_baseline
HSI_main_v2b_baseline,2012-07,2012-08,153130,0.3333333333333333,risk_relief,-0.370055,0.516154,main_v2b_baseline
HSI_main_v2b_baseline,2012-08,2012-09,069500,0.3333333333333333,risk_relief,-0.173529,0.173529,main_v2b_baseline
HSI_main_v2b_baseline,2012-08,2012-09,114260,0.3333333333333333,risk_relief,-0.173529,0.173529,main_v2b_baseline
HSI_main_v2b_baseline,2012-08,2012-09,153130,0.3333333333333333,risk_relief,-0.173529,0.173529,main_v2b_baseline
HSI_main_v2b_baseline,2012-09,2012-10,069500,0.3333333333333333,risk_relief,-0.329276,0.39635,main_v2b_baseline
HSI_main_v2b_baseline,2012-09,2012-10,114260,0.3333333333333333,risk_relief,-0.329276,0.39635,main_v2b_baseline
HSI_main_v2b_baseline,2012-09,2012-10,153130,0.3333333333333333,risk_relief,-0.329276,0.39635,main_v2b_baseline
HSI_main_v2b_baseline,2012-10,2012-11,069500,0.3333333333333333,conflict,0.043037,0.253095,main_v2b_baseline
HSI_main_v2b_baseline,2012-10,2012-11,114260,0.3333333333333333,conflict,0.043037,0.253095,main_v2b_baseline
HSI_main_v2b_baseline,2012-10,2012-11,153130,0.3333333333333333,conflict,0.043037,0.253095,main_v2b_baseline
HSI_main_v2b_baseline,2012-11,2012-12,069500,0.3333333333333333,risk_relief,-0.335334,0.335334,main_v2b_baseline
HSI_main_v2b_baseline,2012-11,2012-12,114260,0.3333333333333333,risk_relief,-0.335334,0.335334,main_v2b_baseline
HSI_main_v2b_baseline,2012-11,2012-12,153130,0.3333333333333333,risk_relief,-0.335334,0.335334,main_v2b_baseline
HSI_main_v2b_baseline,2012-12,2013-01,069500,0.3333333333333333,risk_relief,-0.599845,0.599845,main_v2b_baseline
HSI_main_v2b_baseline,2012-12,2013-01,114260,0.3333333333333333,risk_relief,-0.599845,0.599845,main_v2b_baseline
HSI_main_v2b_baseline,2012-12,2013-01,153130,0.3333333333333333,risk_relief,-0.599845,0.599845,main_v2b_baseline
HSI_main_v2b_baseline,2013-01,2013-02,069500,0.3333333333333333,conflict,-0.104277,0.270175,main_v2b_baseline
HSI_main_v2b_baseline,2013-01,2013-02,114260,0.3333333333333333,conflict,-0.104277,0.270175,main_v2b_baseline
HSI_main_v2b_baseline,2013-01,2013-02,153130,0.3333333333333333,conflict,-0.104277,0.270175,main_v2b_baseline
HSI_main_v2b_baseline,2013-02,2013-03,069500,0.3333333333333333,risk_relief,-0.407189,0.407189,main_v2b_baseline
HSI_main_v2b_baseline,2013-02,2013-03,114260,0.3333333333333333,risk_relief,-0.407189,0.407189,main_v2b_baseline
HSI_main_v2b_baseline,2013-02,2013-03,153130,0.3333333333333333,risk_relief,-0.407189,0.407189,main_v2b_baseline
