strategy_name,combo_id,combo_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,strategy_return,turnover,weight_069500,return_069500,contribution_069500,weight_114260,return_114260,contribution_114260,weight_153130,return_153130,contribution_153130,cumulative_return,running_max,drawdown
EW,EW,Equal Weight,2012-03,2012-04,EW,동일가중,equal_weight,0.001501,0.0,0.3333333333333333,-0.005421,-0.0018069999999999998,0.3333333333333333,0.006984,0.0023279999999999998,0.3333333333333333,0.00294,0.00098,1.001501,1.001501,0.0
EW,EW,Equal Weight,2012-04,2012-05,EW,동일가중,equal_weight,-0.022649666666666665,0.0,0.3333333333333333,-0.077546,-0.025848666666666666,0.3333333333333333,0.006467,0.0021556666666666664,0.3333333333333333,0.00313,0.0010433333333333332,0.9788173361836666,1.001501,-0.02264966666666668
EW,EW,Equal Weight,2012-05,2012-06,EW,동일가중,equal_weight,0.002993333333333333,0.0,0.3333333333333333,0.003673,0.0012243333333333333,0.3333333333333333,0.002782,0.0009273333333333334,0.3333333333333333,0.002525,0.0008416666666666666,0.9817472627433098,1.001501,-0.019724131335555506
EW,EW,Equal Weight,2012-06,2012-07,EW,동일가중,equal_weight,0.012929666666666667,0.0,0.3333333333333333,0.020355,0.006785,0.3333333333333333,0.014828,0.004942666666666666,0.3333333333333333,0.003606,0.001202,0.9944409276014933,1.001501,-0.007049491112347095
EW,EW,Equal Weight,2012-07,2012-08,EW,동일가중,equal_weight,0.0024376666666666665,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.004901,0.0016336666666666665,0.3333333333333333,0.002412,0.000804,0.9968650431026764,1.001501,-0.004629008755182018
EW,EW,Equal Weight,2012-08,2012-09,EW,동일가중,equal_weight,0.017588666666666666,0.0,0.3333333333333333,0.049252,0.016417333333333332,0.3333333333333333,0.001501,0.0005003333333333333,0.3333333333333333,0.002013,0.0006709999999999999,1.0143985700574618,1.0143985700574618,0.0
EW,EW,Equal Weight,2012-09,2012-10,EW,동일가중,equal_weight,-0.013575,0.0,0.3333333333333333,-0.04599,-0.01533,0.3333333333333333,0.002864,0.0009546666666666666,0.3333333333333333,0.002401,0.0008003333333333332,1.0006281094689318,1.0143985700574618,-0.013575000000000004
EW,EW,Equal Weight,2012-10,2012-11,EW,동일가중,equal_weight,0.006960333333333332,0.0,0.3333333333333333,0.018128,0.006042666666666666,0.3333333333333333,0.000553,0.00018433333333333333,0.3333333333333333,0.0022,0.0007333333333333333,1.0075928146535387,1.0143985700574618,-0.00670915319166665
EW,EW,Equal Weight,2012-11,2012-12,EW,동일가중,equal_weight,0.015110333333333332,0.0,0.3333333333333333,0.041283,0.013760999999999999,0.3333333333333333,0.00188,0.0006266666666666666,0.3333333333333333,0.002168,0.0007226666666666666,1.0228178779472252,1.0228178779472252,0.0
EW,EW,Equal Weight,2012-12,2013-01,EW,동일가중,equal_weight,-0.005105666666666666,0.0,0.3333333333333333,-0.021421,-0.007140333333333333,0.3333333333333333,0.003805,0.0012683333333333331,0.3333333333333333,0.002299,0.0007663333333333333,1.0175957108017193,1.0228178779472252,-0.005105666666666675
EW,EW,Equal Weight,2013-01,2013-02,EW,동일가중,equal_weight,0.015983999999999998,0.0,0.3333333333333333,0.039171,0.013057,0.3333333333333333,0.006288,0.0020959999999999998,0.3333333333333333,0.002493,0.0008309999999999999,1.033860960643174,1.033860960643174,0.0
