year_month,score_date,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2012-03,2012-03-31,,,,,,,,,,,,,,,
2012-04,2012-04-30,,,,,,,,,,,,,,,
2012-05,2012-05-31,,,,,,,,,,,,,,,
2012-06,2012-06-30,,,,-0.6828448558815157,-0.7741466514600446,-4.618982749589963,,,,,,,,,
2012-07,2012-07-31,-4.260848779296882,-7.688335257122699,-7.813335553439683,-9.856071593825954,-4.572910647462699,-4.043842833249743,-3.607291035068339,-6.985247073119783,-4.973024648671775,2.922065872254982,9.240050696396574,8.827007912065007,,4.166335732488811,5.154079947921097
2012-08,2012-08-31,-1.111889926808045,2.734530915191354,6.636191393592682,-0.3423317050944718,-6.993085837449481,-10.0,-3.464110119208117,-1.74844301018278,-1.880996282910425,-2.02301189039137,-0.8425029591048628,-4.14640964079492,,0.8233573669355032,0.7146551107961405
2012-09,2012-09-30,-4.704941101634016,4.041926995303796,5.686467286439946,-5.037062655269462,-1.94571446577912,-5.551171419197201,-4.770573945972488,-5.523425122803214,-7.270778224163028,1.341521908512817,-0.691603921284767,-1.593620997144371,,4.654780890592315,4.487739441603863
2012-10,2012-10-31,3.444205808257003,2.797219330755433,2.960129648320758,0.9893590627899298,-0.0922611988253743,-4.021418054311729,1.489170602525685,-1.500926468045316,-4.721944784052519,-4.201293253275571,-4.013194871408492,-0.7507184966725827,,-3.118138212528545,-3.427299995170393
2012-11,2012-11-30,-2.246816288536872,4.280665186732809,5.055455813589582,-2.661433747558147,3.288140717000172,-1.709454592158728,-4.705859135626024,1.547575738975744,-2.966019292690734,-3.799299734554263,-3.292241728593777,10.0,,3.690350994569397,3.434498535274547
2012-12,2012-12-31,-4.996433509521657,2.2187781308234,0.5386270862601218,-5.408667881506645,2.548430253404331,-2.770792718511972,-6.443225210820022,0.8701711367882446,-3.34777692630156,-7.145594830715529,-0.2338978939547574,-1.48384550782931,,4.431990527703674,4.424676772170701
2013-01,2013-01-31,3.317969114131148,2.606118486625532,3.867321178593173,-0.1098207556181096,2.648732115954087,-1.5093917152999,-2.436877314373411,2.983126092711754,-1.808911921647023,-4.942436422496691,-3.43542074247135,-1.249328801843568,,-3.402315068506401,-3.523296970045816
2013-02,2013-02-28,-3.555294963619224,-2.254033807981792,-0.6823110212812704,-4.428230229598647,-2.477976835103927,-3.129190384839651,-5.73834157489177,0.0478553362128478,-2.896642020996596,-2.565575737715107,-5.571979918750568,-1.422554342079045,,3.701313802836543,3.926448227663497
2013-03,2013-03-31,1.741623774520669,-1.654576801728204,1.700096970896338,-1.423878927799073,-5.032638832325217,-2.620617596380145,-0.1873524849647368,-2.878581427747398,-2.4796436089214,-3.765014427756009,-0.2316505423218874,-1.113358453417711,,-0.904826137538471,-0.7629084057777347
