Date,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2019-07-02,-3.676425913462318,-1.188208434222165,-2.336271479929981,-2.358243563572914,-1.822574559259754,-4.476756613875177,-5.260844542319943,-0.9706080714207732,-7.364873062182556,-5.172524800665719,5.142556234170884,1.643219083443225,,5.060333146676453,5.137036546149036
2019-07-03,-2.627191965587347,-1.999529223164929,-2.320533363351947,-0.6860277580781883,-4.794294001054605,-3.878937793207492,-3.525857844502097,-3.605019666066577,-6.610569784503621,-3.588609766535777,5.780967191363108,1.625625096923733,,2.273478481502501,2.443250658762716
2019-07-04,-3.275252600677764,-1.042122736545143,-3.232272942183952,-1.677344526255682,-5.018198143321611,-7.506294975703691,-4.263422731143844,-3.336831154953063,-9.694248914053166,-3.177218448375284,5.430057558861961,2.915561582275916,,3.217739079480926,3.332083377408486
2019-07-05,-3.080507298396772,-0.7181961326999673,-3.205199464819005,-1.440984625418327,-4.738773071278296,-6.818488975655812,-3.682742797681313,-2.677618611858516,-7.321560229835864,-3.103519434940733,5.399224542835238,2.891780534809864,,3.023055795388777,3.085509050663827
2019-07-08,0.18427793298154,-1.843541886084072,-3.175220165786044,1.145952841069487,-5.419822476482395,-7.190997937567644,-1.702965206968352,-4.042600377093074,-8.125436033437664,-1.298984878442921,5.297260110480072,2.866274954355792,,1.072964540920579,1.126905216082403
2019-07-09,0.8914784052328761,-3.291380855075801,-2.214006988667873,1.326344590362521,-5.074367367107366,-5.495621825682107,-1.520401337442309,-2.95159616608004,-7.142122180359832,-1.539560687507228,4.466860085086364,3.307953685412735,,-0.4108955209855186,-0.3389719571503972
2019-07-10,0.2620123162912586,0.07638192890234098,-2.195585256087719,0.818363313526703,-3.613631316643371,-4.870879416252789,-1.896994490745433,-2.578467102445635,-5.734043965794977,-1.455632743590723,3.065613339613965,3.282510925318683,,-0.6330401270342443,-0.530719403085193
2019-07-11,-1.588245937664737,1.191926308221891,0.6300672553559625,-0.7051482416098782,-3.402008759977973,-5.350404065785544,-2.632982546188228,-2.107733425046632,-6.123311674201812,-0.9375632605303931,2.730235751354911,0.487233324831107,,0.8495204441490052,0.8355534519345815
2019-07-12,-1.786632917433989,2.775266804800119,0.6417753379164431,-0.9719597394041173,-2.014605627538308,-6.829459743539708,-2.671494534259966,-0.8788945380379093,-6.068813924519388,-0.9170275638319937,2.755359572010704,0.4690083262099061,,1.858560868566919,1.769082277712796
2019-07-15,-1.662944620900235,1.157232269762975,0.6523854401009875,-0.8959272272477217,-2.542747673179488,-6.218304453564148,-2.144964256535694,-1.213688269250043,-5.575881848908702,-0.9003002544331653,2.403090535414484,0.4545952284035893,,1.820807972629154,1.724587848526008
2019-07-16,-1.583975009657015,1.456894492324071,-0.2756369977101485,-1.435452051301537,-1.373032771530154,-6.632006710092182,-2.37827190949236,-1.016630736107432,-5.741739043854635,-0.9261197493994218,2.506260657264454,0.4756673342521635,,2.118706136021445,2.045275151499962
2019-07-17,0.4086203356219493,0.3098807931353895,-2.140657591576377,-0.3240491602001073,-3.136957874797371,-8.00316153658448,-1.189037641891842,-2.568013869432991,-7.840825411807146,-1.405053150188456,2.958432602393388,0.9439913709130204,,0.763066138350036,0.7481456100050597
2019-07-18,0.9497281664828885,0.1406440430247574,-1.17737986842899,-0.09405815084168709,-7.257903177272354,-8.32043748869409,-0.9090058763568204,-6.111007510657163,-7.954824041338614,-1.491353826593242,3.205440464215324,0.4507096031551567,,-0.6968848397266567,-0.5932454808909713
2019-07-19,-0.5604759985412846,-1.164693098569735,-3.037556133712283,-1.892185265688338,-8.081040393644807,-9.563734457323077,-1.811525409408379,-5.014940378328967,-8.273399540439978,-0.2102506267611066,3.207221263068748,0.869619660494872,,0.3075217130813944,0.3244683911152147
