year_month,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2012-03,,,,,,,,,,,,,,,
2012-04,,,,,,,,,,,,,,,
2012-05,,,,,,,,,,,,,,,
2012-06,,,,-0.6828257102259722,-0.7738252113054702,-4.619091512008257,,,,,,,,,
2012-07,-4.260854652089762,-7.688266323312558,-7.816239984386188,-9.856049530507685,-4.572579384596546,-4.044370513811665,-3.607265640201077,-6.985062136687925,-4.973536369983736,2.9219705062511023,9.239987538748686,8.83025476562497,,4.166327462214915,5.154044651966125
2012-08,-1.1118317316062454,2.734678612680284,6.635608156595733,-0.3423269517569633,-6.992976642250691,-10.0,-3.4641173537614804,-1.7484237419685695,-1.8813349877952803,-2.022883178666613,-0.8430402811660004,-4.145652750999038,,0.8233820441559847,0.7146806806703023
2012-09,-4.704920088374592,4.041858568536474,5.685517889699044,-5.037031508089116,-1.9456536397236055,-5.551528066396994,-4.770571006418584,-5.523457057522584,-7.270867069635046,1.341473644562795,-0.6912128969756444,-1.5986760730267546,,4.654815017682278,4.487772859849422
2012-10,3.4441934925014026,2.7972921702605658,2.9615098387463217,0.9893132372946682,-0.0921371350683176,-4.020576996836492,1.489135240588893,-1.5008708003022146,-4.721468202441335,-4.20114910280333,-4.013493937724187,-0.7466404268425088,,-3.118077820124028,-3.427220346892187
2012-11,-2.246794900101813,4.280655255268676,5.055989128914787,-2.661430264198448,3.288263274123161,-1.7083076216560338,-4.705855852251303,1.5475393352245854,-2.965557228519936,-3.799278308385991,-3.291052598336127,10.0,,3.6903156718608647,3.434527640876057
2012-12,-4.996448796406785,2.218777277602088,0.5395953946401498,-5.40869442570034,2.5483272279295868,-2.7705913829474187,-6.443244156907527,0.8700452729618507,-3.347721775261014,-7.145424694939788,-0.2354093528406232,-1.4837119651540402,,4.431983889238275,4.424709297260177
2013-01,3.31796767497228,2.606523266169789,3.8673564424810496,-0.109813273002213,2.649011054183357,-1.5097337236039272,-2.4368881046393693,2.9831915933833217,-1.8088170976880888,-4.942338957312657,-3.4360001486147462,-1.249834760276448,,-3.402312243632603,-3.5233127184676247
2013-02,-3.5553284218929804,-2.253842924965588,-0.6839088012244079,-4.428265103606426,-2.477904586475892,-3.1295023039425987,-5.738376752900698,0.0479629652859556,-2.896546350202281,-2.5655737693110714,-5.572535650361368,-1.4219020078417444,,3.701336717670822,3.926472723443583
2013-03,1.7416577738417098,-1.6542967826954311,1.7000953153005252,-1.4238584492985145,-5.032173881644251,-2.6210192797852034,-0.1873397102993176,-2.878502699113002,-2.4798955159183134,-3.765137602988719,-0.2332867810751446,-1.11237385139146,,-0.9048103828670364,-0.7629258977636066
