year_month,ticker,hsi_state,state_kr,hsi_direction,state_valid,score_return,call_rate,cd91_rate,corp_aa3y_rate,gov1y_rate,gov3y_rate,gov10y_rate,corp_bbb3y_rate,cp91_rate,rp_rate,rate_level,rate_source,rate_change_1m,rate_up_flag,rate_z,term_spread_10y_1y,credit_spread_aa_gov3y,cp_cd_spread,usdkrw,jpykrw_100,eurkrw,usdkrw_return_1m,usdkrw_change_1m,fx_up_flag,fx_z,gdp_level_billion_krw,gdp_growth_decimal,gdp_growth_decimal_lagged,gdp_growth_pct_lagged,gdp_unit_detected,gdp_growth_band,gdp_below_2_flag,gdp_stable_2_3_flag,rate_fx_departure,rate_fx_risk_departure_flag,rate_fx_relief_departure_flag,policy_growth_pressure_flag,macro_defense_addon,macro_relief_addon,macro_companion_regime,macro_data_available,gdp_data_available,macro_companion_regime_filled,gdp_availability_status,hsi_risk_flag,hsi_relief_flag,macro_risk_flag,macro_relief_flag,hsi_macro_overlap_type,hsi_macro_risk_agreement_flag,hsi_macro_disagreement_flag
2012-03,069500,insufficient_data,자료 부족,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,,,0,0,0,0,macro_data_unavailable,0,0
2012-04,069500,insufficient_data,자료 부족,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2012-05,069500,insufficient_data,자료 부족,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2012-06,069500,insufficient_data,자료 부족,-0.0136568971176303,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2012-07,069500,risk_relief,위험 완화 우세,-0.2960429107187238,True,-4.260848779296882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2012-08,069500,risk_relief,위험 완화 우세,-0.1388268728300401,True,-1.111889926808045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2012-09,069500,risk_relief,위험 완화 우세,-0.263421115887263,True,-4.704941101634016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2012-10,069500,neutral_watch,중립 관찰,0.0344288444059409,True,3.444205808257003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2012-11,069500,risk_relief,위험 완화 우세,-0.2682681781255061,True,-2.246816288536872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2012-12,069500,risk_relief,위험 완화 우세,-0.4798784286512771,True,-4.996433509521657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2013-01,069500,risk_relief,위험 완화 우세,-0.0834233075671412,True,3.317969114131148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2013-02,069500,risk_relief,위험 완화 우세,-0.325748850116495,True,-3.555294963619224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2013-03,069500,neutral_watch,중립 관찰,-0.072692441319983,True,1.741623774520669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2013-04,069500,neutral_watch,중립 관찰,0.0096160691326132,True,1.454078400571962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2013-05,069500,risk_relief,위험 완화 우세,-0.1515900553754158,True,-2.506835910540739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2013-06,069500,accident_zone,강한 위험 구간,0.5572577497098989,True,7.695177341570094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,1,0,0,0,macro_data_unavailable,0,0
2013-07,069500,neutral_watch,중립 관찰,-0.0131961412078488,True,-4.422122902719886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2013-08,069500,neutral_watch,중립 관찰,-0.0052060839966984,True,-1.385608070568807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0
2013-09,069500,risk_relief,위험 완화 우세,-0.4016313929884603,True,-6.159896748010485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2013-10,069500,risk_relief,위험 완화 우세,-0.2555528839146858,True,-1.872211831073735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2013-11,069500,risk_relief,위험 완화 우세,-0.1099264304645262,True,-0.0270264837712376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2013-12,069500,risk_relief,위험 완화 우세,-0.1670656883273387,True,1.415351616648068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0
2014-01,069500,risk_warning,위험 악화 우세,0.2171707668090526,True,4.570075223523725,2.51,2.65,3.302,2.653,2.88,3.612,9.004,2.81,2.57,2.88,gov3y_rate,,0.0,0.0,0.959,0.4220000000000001,0.1600000000000001,1079.2,1043.71,1473.59,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,neutral,gdp_unavailable,1,0,0,0,hsi_risk_only,0,1
2014-02,069500,risk_relief,위험 완화 우세,-0.132839779663757,True,-2.087958387499685,2.49,2.65,3.279,2.644,2.85,3.498,8.966,2.74,2.57,2.85,gov3y_rate,-0.0299999999999998,0.0,0.0,0.8540000000000001,0.4289999999999998,0.0900000000000003,1067.7,1044.82,1463.6,-0.0106560415122313,-11.5,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,neutral,gdp_unavailable,0,1,0,0,no_risk_overlap,0,0
