date,069500_ma20_gap_raw,069500_ma60_gap_raw,069500_vol20_raw,069500_drawdown_60_raw,069500_risk_vs_cash_ret20_raw,114260_ma20_gap_raw,114260_ma60_gap_raw,114260_vol20_raw,114260_drawdown_60_raw,114260_risk_vs_cash_ret20_raw,153130_ma20_gap_raw,153130_ma60_gap_raw,153130_vol20_raw,153130_drawdown_60_raw,153130_risk_vs_cash_ret20_raw,069500_ma20_gap_direction,069500_ma60_gap_direction,069500_vol20_direction,069500_drawdown_60_direction,069500_risk_vs_cash_ret20_direction,114260_ma20_gap_direction,114260_ma60_gap_direction,114260_vol20_direction,114260_drawdown_60_direction,114260_risk_vs_cash_ret20_direction,153130_ma20_gap_direction,153130_ma60_gap_direction,153130_vol20_direction,153130_drawdown_60_direction,153130_risk_vs_cash_ret20_direction,069500_ma20_gap_score,069500_ma60_gap_score,069500_vol20_score,069500_drawdown_60_score,069500_risk_vs_cash_ret20_score,114260_ma20_gap_score,114260_ma60_gap_score,114260_vol20_score,114260_drawdown_60_score,114260_risk_vs_cash_ret20_score,153130_ma20_gap_score,153130_ma60_gap_score,153130_vol20_score,153130_drawdown_60_score,153130_risk_vs_cash_ret20_score
2012-04-12,-0.014169859391074291,,0.10794500532244107,,-0.022705653713396612,0.0029890714436000554,,0.015809343322739117,,-0.0012961624597573884,0.0015895024917262912,,0.0013578256888959245,,0.0,0.014169859391074291,,0.10794500532244107,,0.022705653713396612,-0.0029890714436000554,,0.015809343322739117,,0.0012961624597573884,-0.0015895024917262912,,0.0013578256888959245,,-0.0,,,,,,,,,,,,,,,
2012-04-13,-0.004995050851286931,,0.11333580290242871,,-0.013896285582701395,0.003295392503878336,,0.015184365719588047,,0.00036106151568149336,0.0015919906822323693,,0.0013447895407086984,,0.0,0.004995050851286931,,0.11333580290242871,,0.013896285582701395,-0.003295392503878336,,0.015184365719588047,,-0.00036106151568149336,-0.0015919906822323693,,0.0013447895407086984,,-0.0,,,,,,,,,,,,,,,
2012-04-16,-0.011973540799940063,,0.1156816474570409,,-0.017786857456833505,0.003568773583314977,,0.015160735261675901,,0.0010231351991951687,0.0014944707959485548,,0.00134475410168889,,0.0,0.011973540799940063,,0.1156816474570409,,0.017786857456833505,-0.003568773583314977,,0.015160735261675901,,-0.0010231351991951687,-0.0014944707959485548,,0.00134475410168889,,-0.0,,,,,,,,,,,,,,,
2012-04-17,-0.01380852389460352,,0.11418707051062779,,-0.025197633442004874,0.0029022062159635986,,0.012551308439102097,,0.002830899291434985,0.001496880909541698,,0.0013447374372250146,,0.0,0.01380852389460352,,0.11418707051062779,,0.025197633442004874,-0.0029022062159635986,,0.012551308439102097,,-0.002830899291434985,-0.001496880909541698,,0.0013447374372250146,,-0.0,,,,,,,,,,,,,,,
2012-04-18,-0.004280004678461791,,0.11948824490650096,,-0.013189759870838258,0.0036230851838279232,,0.012816842283400357,,0.0033957044416950133,0.0013994127941268086,,0.001344877464233302,,0.0,0.004280004678461791,,0.11948824490650096,,0.013189759870838258,-0.0036230851838279232,,0.012816842283400357,,-0.0033957044416950133,-0.0013994127941268086,,0.001344877464233302,,-0.0,,,,,,,,,,,,,,,
2012-04-19,-0.005459604440950172,,0.1178798349896524,,-0.008981706538253809,0.003447313800434504,,0.012190962183311213,,0.004198255881651791,0.0014937691249850005,,0.0013790318908850747,,0.0,0.005459604440950172,,0.1178798349896524,,0.008981706538253809,-0.003447313800434504,,0.012190962183311213,,-0.004198255881651791,-0.0014937691249850005,,0.0013790318908850747,,-0.0,,,,,,,,,,,,,,,
2012-04-20,-0.017916384684677378,,0.12678721883912664,,-0.02298958641385007,0.003399076552442537,,0.011995959229386266,,0.0036795537052851657,0.0013963399634435714,,0.0014161933164828261,,0.0,0.017916384684677378,,0.12678721883912664,,0.02298958641385007,-0.003399076552442537,,0.011995959229386266,,-0.0036795537052851657,-0.0013963399634435714,,0.0014161933164828261,,-0.0,,,,,,,,,,,,,,,
2012-04-23,-0.017694061141640294,,0.1267843641454065,,-0.022412848264236063,0.003275058688836374,,0.010495065743031474,,0.005252786608477056,0.0013515146608948925,,0.00142600918131229,,0.0,0.017694061141640294,,0.1267843641454065,,0.022412848264236063,-0.003275058688836374,,0.010495065743031474,,-0.005252786608477056,-0.0013515146608948925,,0.00142600918131229,,-0.0,,,,,,,,,,,,,,,
2012-04-24,-0.02152017464918221,,0.12762275807107074,,-0.026486361744307962,0.003382366284709226,,0.00992441736511947,,0.004391119341451422,0.001256875098210486,,0.0014259751961907697,,0.0,0.02152017464918221,,0.12762275807107074,,0.026486361744307962,-0.003382366284709226,,0.00992441736511947,,-0.004391119341451422,-0.001256875098210486,,0.0014259751961907697,,-0.0,,,,,,,,,,,,,,,
2012-04-25,-0.019651673063492248,,0.1196417057938501,,-0.0367585196982102,0.002397271598435058,,0.010534068348527532,,0.0036841328690901953,0.0011148632051762863,,0.001479967298727656,,0.0,0.019651673063492248,,0.1196417057938501,,0.0367585196982102,-0.002397271598435058,,0.010534068348527532,,-0.0036841328690901953,-0.0011148632051762863,,0.001479967298727656,,-0.0,,,,,,,,,,,,,,,
