year_month,069500,114260,153130
2012-04,-0.5421,0.6984,0.294
2012-05,-7.7546,0.6467,0.313
2012-06,0.3673,0.2782,0.2525
2012-07,2.0355,1.4828,0.3606
2012-08,0.0,0.4901,0.2412
2012-09,4.9252,0.1501,0.2013
2012-10,-4.599,0.2864,0.2401
2012-11,1.8128,0.0553,0.22
2012-12,4.1283,0.188,0.2168
2013-01,-2.1421,0.3805,0.2299
2013-02,3.9171,0.6288,0.2493
2013-03,-1.8478,0.6076,0.2188
2013-04,-2.8992,0.1926,0.1936
2013-05,2.1297,-0.595,0.2179
2013-06,-7.5186,-0.2782,0.1829
2013-07,2.6278,0.1958,0.2072
2013-08,1.2109,0.3535,0.2215
2013-09,3.988,0.5015,0.2014
2013-10,2.397,0.2686,0.2255
2013-11,0.8989,-0.388,0.1859
2013-12,-1.0393,0.5944,0.2131
2014-01,-4.2386,0.2324,0.2098
2014-02,1.7822,0.3711,0.1894
2014-03,0.0193,0.2605,0.1991
2014-04,-0.9277,0.1853,0.2284
2014-05,1.9009,0.4809,0.1833
2014-06,0.0,0.6383,0.2176
2014-07,3.8425,0.6366,0.3109
2014-08,-1.8896,0.2842,0.1919
2014-09,-3.2666,0.8171,0.2455
2014-10,-2.5181,0.7653,0.2302
2014-11,1.2615,0.3074,0.1661
2014-12,-2.4323,0.11,0.1305
2015-01,2.7766,0.6721,0.2199
2015-02,0.2367,-0.0361,0.1297
2015-03,2.0067,1.0484,0.264
2015-04,4.0226,-0.3139,0.1391
2015-05,-2.2514,0.4139,0.124
2015-06,-3.4357,-0.0266,0.1635
2015-07,-3.3594,0.2437,0.1434
2015-08,-4.711,0.2972,0.1037
2015-09,2.0725,0.6315,0.1481
2015-10,6.0703,-0.0716,0.0936
2015-11,-2.333,-0.3134,0.0542
2015-12,-0.5921,0.5356,0.1756
2016-01,-3.3682,0.3414,0.13
2016-02,1.7216,0.5282,0.1448
2016-03,4.2833,0.1058,0.1147
2016-04,-0.221,0.0714,0.1145
2016-05,-0.6135,0.0267,0.0895
2016-06,0.4115,0.7696,0.1888
2016-07,2.9712,0.2045,0.1091
2016-08,1.8714,-0.1686,0.0693
2016-09,0.3127,0.2691,0.0941
2016-10,-0.526,-0.48,0.0495
2016-11,-0.47,-0.7681,0.0099
2016-12,3.6009,0.4439,0.1744
2017-01,3.4758,-0.054,0.14
2017-02,0.4589,0.1351,0.1248
2017-03,4.2938,0.2693,0.1147
2017-04,2.3893,0.0629,0.1096
2017-05,6.4011,0.2157,0.1194
2017-06,2.4195,-0.038,0.0944
2017-07,0.744,0.1081,0.1241
2017-08,-2.0661,0.072,0.0942
2017-09,2.8887,-0.2417,0.0892
2017-10,5.3798,-0.6236,-0.0099
2017-11,-2.5169,0.3638,0.1039
2017-12,0.753,0.0635,0.1388
2018-01,2.8219,-0.3912,0.17
2018-02,-5.9784,0.3653,0.1447
2018-03,0.852,0.3671,0.1146
2018-04,2.5258,0.1819,0.1493
2018-05,-3.7152,0.1997,0.1441
2018-06,-3.3923,0.421,0.1191
2018-07,-0.5827,0.2177,0.1338
2018-08,0.5201,0.6878,0.1633
2018-09,0.5507,-0.0691,0.0988
2018-10,-12.1297,0.3971,0.1382
2018-11,2.9177,0.3416,0.1331
2018-12,-2.1355,0.2924,0.1531
2019-01,9.1986,0.2067,0.1599
2019-02,-0.758,0.1345,0.1198
2019-03,-2.1871,0.5195,0.1495
2019-04,2.8088,0.0713,0.1443
2019-05,-7.475,0.4541,0.1739
2019-06,5.5187,0.3723,0.1588
2019-07,-3.9196,0.6005,0.213
2019-08,-2.9809,0.3775,0.1631
2019-09,6.0096,-0.2798,0.0296
2019-10,1.0928,-0.4473,0.0789
2019-11,0.1446,0.3347,0.0887
2019-12,7.5091,0.0878,0.1034
2020-01,-2.9096,0.3684,0.1574
2020-02,-5.8029,0.5856,0.1179
2020-03,-11.4196,0.0,0.1717
2020-04,8.9907,0.3215,0.142
2020-05,3.6987,0.5456,0.137
2020-06,4.8366,0.0086,0.0195
2020-07,6.8209,0.3015,0.0537
2020-08,2.723,-0.4208,0.0098
2020-09,1.1059,0.3967,0.0341
2020-10,-2.8852,-0.1804,0.0537
2020-11,15.0796,-0.1291,0.0244
2020-12,13.8821,0.0431,0.0341
2021-01,4.2354,0.112,0.0682
2021-02,1.4104,-0.0516,0.0487
2021-03,1.1509,-0.1808,0.0438
2021-04,1.8326,0.0949,0.0487
2021-05,1.0994,-0.1551,0.034
2021-06,2.6544,-0.2934,-0.0778
2021-07,-3.0883,0.4327,0.073
2021-08,-1.1769,0.1896,0.0097
2021-09,-4.2634,-0.6536,0.0729
2021-10,-3.2009,-1.2119,-0.0097
2021-11,-3.593,1.0252,0.068
2021-12,6.5188,0.2949,0.1117
2022-01,-8.9301,-0.8908,0.0485
2022-02,0.9793,0.0785,0.0969
2022-03,1.2976,-0.9678,0.0436
2022-04,-2.8518,-0.81,0.0629
2022-05,-0.1971,0.1953,0.0774
2022-06,-12.8809,-1.2314,-0.0435
2022-07,4.8907,1.9912,0.0967
2022-08,-0.4786,-1.7325,0.0821
2022-09,-12.2712,-1.056,0.14
2022-10,6.6564,0.2442,0.1494
2022-11,7.0416,1.9128,0.2792
2022-12,-7.7319,-0.1505,0.2928
2023-01,8.8956,1.4896,0.3924
2023-02,-0.7775,-1.0397,0.1668
2023-03,2.4604,1.9246,0.4901
2023-04,1.1698,0.2425,0.2557
2023-05,4.1226,-0.2074,0.1559
2023-06,-0.0294,-0.4849,0.283
2023-07,1.5312,0.3915,0.2681
2023-08,-2.6247,0.1993,0.3095
2023-09,-2.0849,-0.3633,0.2712
2023-10,-6.4364,-0.2865,0.2285
2023-11,10.7469,1.8544,0.3768
2023-12,6.5233,1.4446,0.3523
2024-01,-6.2085,-0.0506,0.3233
2024-02,5.9267,-0.0927,0.2348
2024-03,5.9021,0.3882,0.2664
2024-04,-2.2506,-0.3698,0.2519
2024-05,-1.7462,0.5653,0.3016
2024-06,7.0397,0.9815,0.2961
2024-07,-0.6985,0.6895,0.3497
2024-08,-4.7869,0.429,0.2942
2024-09,-4.3526,0.5094,0.3249
2024-10,-1.4911,-0.2125,0.2474
2024-11,-4.2394,1.1714,0.2737
2024-12,-1.777,-0.1619,0.2103
2025-01,4.6618,0.5596,0.2724
2025-02,1.0016,0.2097,0.2182
2025-03,0.2516,0.169,0.2089
2025-04,1.4797,1.0284,0.3149
2025-05,6.4977,-0.1034,0.1989
2025-06,15.3846,-0.0239,0.1721
2025-07,5.7604,0.215,0.2246
2025-08,-1.6505,0.2463,0.1972
2025-09,10.2662,-0.3091,0.1408
2025-10,22.3621,-0.167,0.1577
2025-11,-4.291,-0.5734,0.1208
2025-12,9.425,-1.0412,0.2365
2026-01,27.0815,-0.2833,0.1544
2026-02,21.7515,0.6494,0.1942
2026-03,-19.8576,-1.2016,0.1042
2026-04,33.0365,0.1877,0.2261
2026-05,34.9432,0.0326,0.1431
2026-06,2.7816,0.505,0.2025
