combo_id,combo_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,turnover,weight_069500,weight_114260,weight_153130
EW,Equal Weight,2015-09,2015-10,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2015-10,2015-11,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2015-11,2015-12,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2015-12,2016-01,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-01,2016-02,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-02,2016-03,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-03,2016-04,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-04,2016-05,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-05,2016-06,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-06,2016-07,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-07,2016-08,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-08,2016-09,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-09,2016-10,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-10,2016-11,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-11,2016-12,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2016-12,2017-01,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-01,2017-02,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-02,2017-03,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-03,2017-04,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-04,2017-05,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-05,2017-06,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-06,2017-07,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-07,2017-08,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-08,2017-09,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-09,2017-10,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-10,2017-11,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-11,2017-12,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2017-12,2018-01,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-01,2018-02,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-02,2018-03,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-03,2018-04,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-04,2018-05,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-05,2018-06,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-06,2018-07,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-07,2018-08,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-08,2018-09,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-09,2018-10,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-10,2018-11,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-11,2018-12,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2018-12,2019-01,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-01,2019-02,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-02,2019-03,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-03,2019-04,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-04,2019-05,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-05,2019-06,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
