year_month,ticker,ticker_name,ticker_role,score_date,hsi_direction,raw3_signal,score_return,score_ma_pos,score_momentum,score_vol,score_rs,risk_component,relief_component,state_direction,state_intensity,valid_score_count,hsi_state,state_reason,combo_id,combo_name,score_cols_used,state_kr,state_rule_version,score_relative_speed
2012-03,069500,KODEX 200,위험자산,2012-03-31,0.0,watch,,,,,,,,,,0,insufficient_data,valid_score_count_below_minimum,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",자료 부족,combo_state5_v1,
2012-04,069500,KODEX 200,위험자산,2012-04-30,0.0,watch,,,,,,,,,,0,insufficient_data,valid_score_count_below_minimum,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",자료 부족,combo_state5_v1,
2012-05,069500,KODEX 200,위험자산,2012-05-31,0.0,watch,,,,,,,,,,0,insufficient_data,valid_score_count_below_minimum,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",자료 부족,combo_state5_v1,
2012-06,069500,KODEX 200,위험자산,2012-06-30,-0.0136568971176303,watch,,-0.6828448558815157,,,,,,,,1,insufficient_data,valid_score_count_below_minimum,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",자료 부족,combo_state5_v1,
2012-07,069500,KODEX 200,위험자산,2012-07-31,-0.2960429107187238,watch,-4.260848779296882,-9.856071593825954,-3.607291035068339,2.922065872254982,,0.07305164680637455,0.4431052852047793,-0.37005363839840477,0.5161569320111539,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2012-08,069500,KODEX 200,위험자산,2012-08-31,-0.1388268728300401,watch,-1.111889926808045,-0.3423317050944718,-3.464110119208117,-2.02301189039137,,0.0,0.1735335910375501,-0.1735335910375501,0.1735335910375501,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2012-09,069500,KODEX 200,위험자산,2012-09-30,-0.263421115887263,watch,-4.704941101634016,-5.037062655269462,-4.770573945972488,1.341521908512817,,0.03353804771282042,0.36281444257189915,-0.3292763948590787,0.3963524902847196,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2012-10,069500,KODEX 200,위험자산,2012-10-31,0.0344288444059409,watch,3.444205808257003,0.9893590627899298,1.489170602525685,-4.201293253275571,,0.14806838683931545,0.10503233133188927,0.043036055507426174,0.2531007181712047,4,neutral_watch,weak_or_balanced_signal,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",중립 관찰,combo_state5_v1,
2012-11,069500,KODEX 200,위험자산,2012-11-30,-0.2682681781255061,watch,-2.246816288536872,-2.661433747558147,-4.705859135626024,-3.799299734554263,,0.0,0.3353352226568827,-0.3353352226568827,0.3353352226568827,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2012-12,069500,KODEX 200,위험자산,2012-12-31,-0.4798784286512771,buy,-4.996433509521657,-5.408667881506645,-6.443225210820022,-7.145594830715529,,0.0,0.5998480358140963,-0.5998480358140963,0.5998480358140963,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2013-01,069500,KODEX 200,위험자산,2013-01-31,-0.0834233075671412,watch,3.317969114131148,-0.1098207556181096,-2.436877314373411,-4.942436422496691,,0.0829492278532787,0.18722836231220527,-0.10427913445892657,0.270177590165484,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2013-02,069500,KODEX 200,위험자산,2013-02-28,-0.325748850116495,buy,-3.555294963619224,-4.428230229598647,-5.73834157489177,-2.565575737715107,,0.0,0.40718606264561863,-0.40718606264561863,0.40718606264561863,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2013-03,069500,KODEX 200,위험자산,2013-03-31,-0.072692441319983,watch,1.741623774520669,-1.423878927799073,-0.1873524849647368,-3.765014427756009,,0.04354059436301673,0.13440614601299547,-0.09086555164997874,0.1779467403760122,4,neutral_watch,weak_or_balanced_signal,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",중립 관찰,combo_state5_v1,
2013-04,069500,KODEX 200,위험자산,2013-04-30,0.0096160691326132,watch,1.454078400571962,0.5332414325260137,-0.4284460637854777,-1.078070312681835,,0.049682995827449394,0.037662909411682814,0.01202008641576658,0.08734590523913222,4,neutral_watch,weak_or_balanced_signal,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",중립 관찰,combo_state5_v1,
2013-05,069500,KODEX 200,위험자산,2013-05-31,-0.1515900553754158,watch,-2.506835910540739,-1.636699783348437,-1.095690461928748,-2.340276612952866,,0.0,0.18948756921926974,-0.18948756921926974,0.18948756921926974,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2013-06,069500,KODEX 200,위험자산,2013-06-30,0.5572577497098989,caution,7.695177341570094,6.010180745254901,7.89718941407547,6.260339984594482,,0.6965721871373736,0.0,0.6965721871373736,0.6965721871373736,4,accident_zone,risk_component_above_accident_threshold,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",강한 위험 구간,combo_state5_v1,
2013-07,069500,KODEX 200,위험자산,2013-07-31,-0.0131961412078488,watch,-4.422122902719886,0.3018431337682679,1.809589789925745,1.65088291863343,,0.09405789605818607,0.11055307256799715,-0.016495176509811083,0.20461096862618322,4,neutral_watch,weak_or_balanced_signal,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",중립 관찰,combo_state5_v1,
2013-08,069500,KODEX 200,위험자산,2013-08-31,-0.0052060839966984,watch,-1.385608070568807,-3.15941995494074,3.183851885504671,1.100871940169954,,0.10711809564186563,0.11362570063773866,-0.006507604995873037,0.22074379627960428,4,neutral_watch,weak_or_balanced_signal,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",중립 관찰,combo_state5_v1,
2013-09,069500,KODEX 200,위험자산,2013-09-30,-0.4016313929884603,buy,-6.159896748010485,-5.171062862508712,-5.175114119854383,-3.575495919049434,,0.0,0.5020392412355753,-0.5020392412355753,0.5020392412355753,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2013-10,069500,KODEX 200,위험자산,2013-10-31,-0.2555528839146858,watch,-1.872211831073735,-4.179231462350772,-4.398257394990165,-2.327943507319617,,0.0,0.31944110489335725,-0.31944110489335725,0.31944110489335725,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
2013-11,069500,KODEX 200,위험자산,2013-11-30,-0.1099264304645262,watch,-0.0270264837712376,-4.188390382658989,-3.843215232588809,2.562310575792725,,0.06405776439481813,0.2014658024754759,-0.13740803808065777,0.26552356687029405,4,risk_relief,relief_component_dominant,combo_00_core5,기본 5개 HSI 점수,"score_return, score_ma_pos, score_momentum, score_vol, score_rs",위험 완화 우세,combo_state5_v1,
