strategy_name,lambda_value,year_month,return_year_month,hsi_state,state_kr,strategy_return,turnover,weight_069500,return_069500,contribution_069500,weight_114260,return_114260,contribution_114260,weight_153130,return_153130,contribution_153130,cumulative_return,running_max,drawdown
lambda_0.1,0.1,2018-08,2018-09,risk_relief,위험 완화 우세,0.0020141738544245643,0.04034281618278596,0.3369146543549266,0.005507,0.0018553890015325807,0.2956185042318935,-0.000691,-0.00020427238642423842,0.3674668414131799,0.000988,0.00036305723931622175,1.2352238256670107,1.267249204284413,-0.02527157129720692
lambda_0.1,0.1,2018-09,2018-10,neutral_watch,중립 관찰,-0.041171631916736506,0.021746684141317973,0.35322318891943394,-0.121297,-0.04284491314636058,0.30105665380870417,0.003971,0.001195495972274364,0.34572015727186195,0.001382,0.0004777852573497132,1.1843676449818654,1.267249204284413,-0.06540273138253727
lambda_0.1,0.1,2018-10,2018-11,accident_zone,강한 위험 구간,0.010810750437657536,0.035427984272813795,0.31790087002749057,0.029177,0.009275393684792093,0.30095098842783374,0.003416,0.0010280485764694802,0.38114814154467574,0.001331,0.0005073081763959634,1.1971715480182006,1.267249204284413,-0.05529903355179744
lambda_0.1,0.1,2018-11,2018-12,neutral_watch,중립 관찰,-0.005735174126112259,0.02311481415446759,0.3361107830247415,-0.021355,-0.007177645771493354,0.3058558895850504,0.002924,0.0008943226211466873,0.35803332739020816,0.001531,0.0005481490242344087,1.190305560731489,1.267249204284413,-0.06071705809148442
lambda_0.1,0.1,2018-12,2019-01,risk_warning,위험 악화 우세,0.0308986673114248,0.01441441104149499,0.32249970472226736,0.091986,0.029665457838582484,0.3202703006265454,0.002067,0.0006619987113950693,0.3572299946511873,0.001599,0.0005712107614472485,1.2270844162514702,1.267249204284413,-0.03169446695815681
lambda_0.1,0.1,2019-01,2019-02,risk_relief,위험 완화 우세,-0.0019189604064739642,0.03775002952777326,0.3602497342500406,-0.00758,-0.0027306929856153075,0.30824327056389084,0.001345,0.0004145871989084332,0.3315069951860686,0.001198,0.00039714538023291016,1.2247296898412825,1.267249204284413,-0.03355260693743367
lambda_0.1,0.1,2019-02,2019-03,risk_relief,위험 완화 우세,-0.006616005670460048,0.03397502657499596,0.39422476082503655,-0.021871,-0.008622089744004375,0.29741894350750175,0.005195,0.0015450914115214716,0.3083562956674617,0.001495,0.00046099266202285523,1.2166268712685118,1.267249204284413,-0.03994662837013696
lambda_0.1,0.1,2019-03,2019-04,risk_relief,위험 완화 우세,0.012551852631080359,0.030577523917496352,0.4248022847425329,0.028088,0.011931846573848263,0.2876770491567516,0.000713,0.00020511373604876386,0.2875206661007155,0.001443,0.0004148923211833325,1.2318977924636865,1.267249204284413,-0.02789617993146709
lambda_0.1,0.1,2019-04,2019-05,risk_relief,위험 완화 우세,-0.03207715777934094,0.027519771525746695,0.4523220562682796,-0.07475,-0.0338110737060539,0.27890934424107644,0.004541,0.001266527332198728,0.26876859949064397,0.001739,0.0004673885945142299,1.192382012606807,1.267249204284413,-0.05907850754570554
lambda_0.1,0.1,2019-05,2019-06,risk_warning,위험 악화 우세,0.025111588209490398,0.025232205626827958,0.42708985064145166,0.055187,0.023569807587349792,0.2960184098169688,0.003723,0.0011020765397485748,0.2768917395415796,0.001588,0.0004397040823920284,1.2223246186957923,1.267249204284413,-0.03545047448973426
lambda_0.1,0.1,2019-06,2019-07,risk_relief,위험 완화 우세,-0.01553787944661109,0.02729101493585484,0.4543808655773065,-0.039196,-0.017809912407168105,0.28641656883527195,0.006005,0.001719931495855808,0.2592025655874216,0.00213,0.000552101464701208,1.2033322861258722,1.267249204284413,-0.05043752873739882
lambda_0.1,0.1,2019-07,2019-08,neutral_watch,중립 관찰,-0.012170451561150925,0.010920256558742167,0.45894277901957586,-0.029809,-0.013680625299794536,0.29277491195174477,0.003775,0.0011052252926178365,0.24828230902867945,0.001631,0.0004049484460257762,1.1886871888256083,1.267249204284413,-0.061994132798186996
lambda_0.1,0.1,2019-08,2019-09,risk_warning,위험 악화 우세,0.02523780934701274,0.02589427790195757,0.4330485011176183,0.060096,0.026024482723164388,0.3084974207565703,-0.002798,-0.0008631757832768837,0.2584540781258115,0.000296,7.65024071252402e-05,1.2186870494704254,1.267249204284413,-0.03832091955536843
lambda_0.1,0.1,2019-09,2019-10,risk_relief,위험 완화 우세,0.0038841187923294132,0.02669514988823818,0.45974365100585646,0.010928,0.005024078618192,0.29764767868091324,-0.004473,-0.001331378066739725,0.24260867031323036,0.000789,0.00019141824087713874,1.2234205747412419,1.267249204284413,-0.03458564376682338
lambda_0.1,0.1,2019-10,2019-11,risk_relief,위험 완화 우세,0.0018656189914205883,0.024025634899414353,0.4837692859052708,0.001446,0.0006995303874190216,0.2878829108128219,0.003347,0.000963544102490515,0.22834780328190732,0.000887,0.0002025445015110518,1.2257030113999738,1.267249204284413,-0.03278454840924472
lambda_0.1,0.1,2019-11,2019-12,neutral_watch,중립 관찰,0.03693482304497986,0.007834780328190738,0.4853923573147437,0.075091,0.036448597503121426,0.2940946197315397,0.000878,0.0002582150761242919,0.22051302295371658,0.001034,0.00022801046573414294,1.2709741352317308,1.2709741352317308,0.0
lambda_0.1,0.1,2019-12,2020-01,risk_relief,위험 완화 우세,-0.013370499556088678,0.02146076426852561,0.5068531215832693,-0.029096,-0.014747398425586805,0.28468515775838577,0.003684,0.0010487801211818933,0.20846172065834492,0.001574,0.00032811874831623495,1.2539805761208147,1.2709741352317308,-0.01337049955608871
lambda_0.1,0.1,2020-01,2020-02,accident_zone,강한 위험 구간,-0.024491148425879617,0.05068531215832696,0.4561678094249424,-0.058029,-0.026470961813119982,0.2862166419825472,0.005856,0.0016760846554497964,0.25761554859251046,0.001179,0.00030372873179056984,1.2232691517078698,1.2709741352317308,-0.03753418909281203
lambda_0.1,0.1,2020-02,2020-03,accident_zone,강한 위험 구간,-0.046365001941341646,0.04561678094249422,0.4105510284824482,-0.114196,-0.04688328524858165,0.2875949777842925,0.0,0.0,0.3018539937332594,0.001717,0.0005182833072400064,1.166552275114151,1.2709741352317308,-0.08215891828399868
