year_month,069500_ma20_gap,069500_ma60_gap,069500_vol20,069500_drawdown_60,069500_risk_vs_cash_ret20,114260_ma20_gap,114260_ma60_gap,114260_vol20,114260_drawdown_60,114260_risk_vs_cash_ret20,153130_ma20_gap,153130_ma60_gap,153130_vol20,153130_drawdown_60,153130_risk_vs_cash_ret20
2012-03,,,,,,,,,,,,,,,
2012-04,,,,,,,,,,,,,,,
2012-05,,,,,,,,,,,,,,,
2012-06,,,,,,,,,,,,,,,
2012-07,-2.3013295231106947,,0.7374881117930079,,-1.0625817424238233,-0.3404238427338128,,2.4068442609207117,,-1.9525286254462957,-0.03940746034238707,,2.292475816189031,,
2012-08,0.5421503852158363,-0.5600913872273346,-0.5088379297299632,-0.7330582935832693,-0.2932366456820064,0.03209915460099402,0.03672346765878782,-0.21182066216277254,-0.6645960006779513,0.5712580892496048,0.47085915435189707,1.080950164979349,-1.04710475855917,-0.12598815766974242,
2012-09,-0.6914790736949894,-1.0718939725149224,0.3368815382748474,-1.1463397749483246,-1.1968473329356872,0.4718309485130625,1.2885957460090751,-0.17355767263148317,-0.7305002942786377,0.945163217797814,0.6866044397739454,1.5786300075369808,-0.40012453478904925,-0.1924790207573173,
2012-10,0.37240519148770806,0.5460039285524788,-1.0580689108587296,0.01822515590754605,0.8550378126634004,0.5684081440956582,1.1277081949284087,-1.0103679733412319,-0.7082885793234627,0.6817474392302202,0.9950913495235967,1.146578479534597,-0.18889254367247288,-0.22364896933857747,
2012-11,-1.0100057113889056,-0.2047734402008179,-0.9553221709018509,-0.47335706685303336,-0.5791559113127512,0.9783408947334529,1.3706978916126789,-0.8271489862610416,-0.09327789378142044,0.9729816885960386,1.3547685390268192,1.246320254217705,5.968363127103007,5.195452338186258,
2012-12,-0.7913140213538256,-1.2186506005326463,-1.8071578389677114,-1.3754872900120392,-1.2534424174859344,0.054559069937031635,0.9866388603207262,-0.05864217473811733,-0.8668899512856703,0.582740348934285,-0.16511012574315906,0.717036420528839,-0.3721240293396706,1.316562506922082,
2013-01,0.450497063844787,-0.07641620282697303,-1.2432652074274788,-0.1889054244741378,0.8136671949396437,0.9495884690896941,0.6775083918517757,-0.8624162813431163,0.5805702682559903,0.5338965841191197,0.9358056425947964,0.9058853279723458,-0.3132160104757076,-0.2847308045026611,
2013-02,-1.0472739607525388,-0.6856934919144209,-0.6434027531037787,-1.2249348110435643,-0.8858176019696908,-0.633176990254883,-0.22973063654167772,-1.4021896637415576,-0.7986572111941523,-0.5861921644835121,-0.21222656365891002,0.11167371636614173,-0.3565656270915606,-0.46930749888485995,
2013-03,-0.27807931878408615,-0.061938305894437225,-0.944907874136463,-0.7121369099890951,0.42809399380508806,-1.026160388801242,-0.6330761448346106,-0.05794141611582719,-0.6616267431375402,-0.5327193604999143,0.00967236855415571,0.3010952264439768,-0.2787762704606794,-0.44164280333614925,
