Unnamed: 0,국가별수출액 합계(천달러),국가별수입액 합계(천달러),합계(천달러)
2024-07-31,57458788.0,53838742.0,413506683.0
2024-08-30,57642924.0,54054894.0,415916439.0
2024-09-30,58544693.0,52102925.0,419969772.0
2024-10-31,57500192.0,54331589.0,415689646.0
2024-11-29,56288629.0,50718992.0,415391699.0
2024-12-30,61359250.0,54866380.0,415603777.0
2025-01-31,49176984.0,51172292.0,411014873.0
2025-02-28,52292301.0,48328741.0,409210148.0
2025-03-31,58064562.0,53341032.0,409659446.0
2025-04-30,58035745.0,53232716.0,404672319.0
2025-05-30,57261063.0,50345116.0,404595704.0
2025-06-30,59833797.0,50825746.0,410202961.0
2025-07-31,60724322.0,54210371.0,411334711.0
2025-08-29,58259332.0,51856624.0,416285737.0
2025-09-30,65904118.0,56419614.0,422015555.0
2025-10-31,59511578.0,53510827.0,428819095.0
2025-11-28,60752618.0,51284605.0,430659280.0
2025-12-30,69513624.0,57367684.0,428054608.0
2026-01-30,65842410.0,57119785.0,425905754.0
2026-02-27,67558449.0,51864828.0,427624953.0
2026-03-31,87211190.0,60422878.0,423656488.0
2026-04-30,85867478.0,62112591.0,427875470.0
2026-05-29,,,426993548.0
2026-06-05,,,
