model_id,family,stage,decision,cagr,mdd,abs_mdd,sharpe,calmar,avg_turnover,max_turnover,cost_drag_20bp,hsi_relation,interpretation,source_note
Lambda 0.1,lambda,current,final_candidate,8.6924,-14.7442,14.7442,0.786526,0.589549,2.4554,6.0188,0.063987,HSI 상태별 목표비중으로 이동하되 λ 부분조정만 적용한 기준 후보입니다.,macro overlay를 얹지 않은 Lambda 기준 후보입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
Lambda 0.1 + Macro 0.25,lambda_macro_overlay,current,diagnostic,8.6712,-14.722,14.722,0.786714,0.588999,2.5009,6.6438,0.065126,Lambda 부분조정 후보 위에 GDP를 제외한 금리·환율 macro companion 보조값을 약하게 반영한 후보입니다.,macro_scale은 최적화 계수가 아니라 macro 보조 신호의 방어 강도 민감도 계수입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
Lambda 0.1 + Macro 0.50,lambda_macro_overlay,current,diagnostic,8.65,-14.6998,14.6998,0.786883,0.588444,2.5523,7.2688,0.066415,Lambda 부분조정 후보 위에 GDP를 제외한 금리·환율 macro companion 보조값을 약하게 반영한 후보입니다.,macro_scale은 최적화 계수가 아니라 macro 보조 신호의 방어 강도 민감도 계수입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
Lambda 0.1 + Macro 0.75,lambda_macro_overlay,current,diagnostic,8.6287,-14.6776,14.6776,0.787031,0.587884,2.6092,7.8938,0.067848,Lambda 부분조정 후보 위에 GDP를 제외한 금리·환율 macro companion 보조값을 약하게 반영한 후보입니다.,macro_scale은 최적화 계수가 아니라 macro 보조 신호의 방어 강도 민감도 계수입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
Lambda 0.3,lambda,current,final_candidate,9.1475,-15.2197,15.2197,0.779307,0.601032,6.8856,20.0119,0.180022,HSI 상태별 목표비중으로 이동하되 λ 부분조정만 적용한 기준 후보입니다.,macro overlay를 얹지 않은 Lambda 기준 후보입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
Lambda 0.3 + Macro 0.25,lambda_macro_overlay,current,diagnostic,9.1261,-15.1975,15.1975,0.779216,0.600498,6.9332,20.4807,0.181197,Lambda 부분조정 후보 위에 GDP를 제외한 금리·환율 macro companion 보조값을 약하게 반영한 후보입니다.,macro_scale은 최적화 계수가 아니라 macro 보조 신호의 방어 강도 민감도 계수입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
Lambda 0.3 + Macro 0.50,lambda_macro_overlay,current,diagnostic,9.1046,-15.1753,15.1753,0.779106,0.599959,6.9836,20.9494,0.182447,Lambda 부분조정 후보 위에 GDP를 제외한 금리·환율 macro companion 보조값을 약하게 반영한 후보입니다.,macro_scale은 최적화 계수가 아니라 macro 보조 신호의 방어 강도 민감도 계수입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
Lambda 0.3 + Macro 0.75,lambda_macro_overlay,current,diagnostic,9.083,-15.1531,15.1531,0.778976,0.599415,7.0387,21.4182,0.183816,Lambda 부분조정 후보 위에 GDP를 제외한 금리·환율 macro companion 보조값을 약하게 반영한 후보입니다.,macro_scale은 최적화 계수가 아니라 macro 보조 신호의 방어 강도 민감도 계수입니다.,"15번 lambda + macro overlay sensitivity, macro_signal_version=no_gdp_rate_fx_verified"
