strategy_name,combo_id,combo_name,months,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,Sharpe,Sortino,Calmar,WinRate_pct
EW,EW,Equal Weight,172,2.4694437257892248,6.510061939431955,7.97233104941412,-13.571143569546962,0.8317791325459929,1.5383921387649833,0.4796988482267804,60.46511627906976
combo_00_core5,combo_00_core5,기본 5개 HSI 점수,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744
combo_01_core4_no_rs,combo_01_core4_no_rs,기본 4개 HSI 점수,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744
combo_02_trend_only,combo_02_trend_only,추세 중심 신호,172,3.239019345866537,8.545106005908654,13.626128113818151,-20.90099361895191,0.6680303385312545,1.041085753338786,0.4088373099238882,63.95348837209303
combo_03_risk_damage_focus,combo_03_risk_damage_focus,추세+위험훼손 신호,172,2.4732492666700425,6.52150519513901,13.650058820627548,-26.72425126218131,0.5285171960615638,0.7959362486956456,0.2440294821044392,62.7906976744186
combo_04_core5_plus_relative_speed,combo_04_core5_plus_relative_speed,기본 5개 + 상대속도,172,2.8952239651851497,7.698680785469203,13.407004994782154,-19.864497263273286,0.6178568160322556,1.0396555348422427,0.38755981001860046,62.7906976744186
