hsi_state,state_kr,months,macro_data_available_months,hsi_risk_months,hsi_relief_months,macro_risk_months,macro_relief_months,agreement_months,disagreement_months,avg_rate_z,avg_fx_z,avg_macro_defense_addon,macro_risk_ratio_total_pct,macro_risk_ratio_available_pct
accident_zone,강한 위험 구간,34,33,34,0,18,5,18,15,0.3105519233589793,0.6023432906618811,0.006029411764705883,52.94117647058824,54.54545454545454
conflict,신호 충돌,4,4,0,0,3,0,0,3,0.8979286274257585,-0.11689911061514904,0.011250000000000001,75.0,75.0
insufficient_data,자료 부족,4,0,0,0,0,0,0,0,,,0.0,0.0,
neutral_watch,중립 관찰,35,30,0,0,15,5,0,15,0.218875477654057,0.025584356561112423,0.005285714285714286,42.857142857142854,50.0
risk_relief,위험 완화 우세,81,69,0,81,30,16,0,30,0.060130871642722565,-0.32735555546999373,0.004567901234567901,37.03703703703704,43.47826086956522
risk_warning,위험 악화 우세,14,14,14,0,8,2,8,6,0.018335586921846846,0.4917535801075664,0.008214285714285714,57.14285714285714,57.14285714285714
