ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
069500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
