file,path,purpose,final_report_use
main_final_experiment_flow_diagram.png,output\figures\main_final_experiment_flow_diagram.png,00~17 최종 실험 흐름을 발표용으로 축약한 구조도,main_or_appendix
main_final_time_alignment_diagram.png,output\figures\main_final_time_alignment_diagram.png,t월 말 신호를 t+1월 수익률에 적용하는 시간 정렬 설명도,main_or_appendix
main_final_hsi_state_timeline.png,output\figures\main_final_hsi_state_timeline.png,월별 HSI 5상태 변화 타임라인,main_or_appendix
main_final_lambda_weight_transition_01_03.png,output\figures\main_final_lambda_weight_transition_01_03.png,"HSI baseline, Lambda 0.1, Lambda 0.3의 069500 비중 전환 비교",main_or_appendix
main_final_tail_event_defense_comparison.png,output\figures\main_final_tail_event_defense_comparison.png,"Fixed 70/20/10 BM을 메인 BM으로, EW Benchmark를 보조 BM으로 함께 놓고 069500 하위 10% 손실월의 전략별 평균 방어 성과를 비교",main_or_appendix
main_final_benchmark_alignment_cumulative_return.png,output\figures\main_final_benchmark_alignment_cumulative_return.png,Fixed 70/20/10 BM을 메인 BM으로 포함한 17번 BM alignment 기준 5개 전략 누적수익률 비교,main_or_appendix
main_final_benchmark_alignment_drawdown.png,output\figures\main_final_benchmark_alignment_drawdown.png,Fixed 70/20/10 BM을 메인 BM으로 포함한 17번 BM alignment 기준 5개 전략 드로다운 비교,main_or_appendix
main_final_lambda_macro_sensitivity_tradeoff.png,output\figures\main_final_lambda_macro_sensitivity_tradeoff.png,15번 Lambda + macro overlay 민감도 trade-off 표 그림,main_or_appendix
