index,Date,signal_date,069500_weight,114260_weight,153130_weight,rule_signal,rule_description,strategy_return,cumulative_return,portfolio_value,running_max,drawdown
0,2012-04-30,2012-03-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0015006768828879,0.0015006768828877,1.0015006768828878,1.0015006768828878,0.0
1,2012-05-31,2012-04-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0226497180898505,-0.021183031115304,0.978816968884696,1.0015006768828878,-0.02264971808985039
2,2012-06-30,2012-05-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0029937000336713,-0.0182527467225959,0.981747253277404,1.0015006768828878,-0.019723824517987487
3,2012-07-31,2012-06-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0129292188864265,-0.0055595215938243,0.9944404784061756,1.0015006768828878,-0.007049619276031538
4,2012-08-31,2012-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0024376468962339,-0.0031354268481481,0.9968645731518518,1.0015006768828878,-0.004629156862345329
5,2012-09-30,2012-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0175888476427146,0.0143982722494395,1.0143982722494396,1.0143982722494396,0.0
6,2012-10-31,2012-09-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0135751388186701,0.0006276748862343,1.0006276748862344,1.0143982722494396,-0.013575138818670007
7,2012-11-30,2012-10-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0069600217702254,0.0075920652873326,1.0075920652873327,1.0143982722494396,-0.006709600310156327
8,2012-12-31,2012-11-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0151105969561896,0.0228173828821443,1.0228173828821443,1.0228173828821443,0.0
9,2013-01-31,2012-12-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0051054565707537,0.0175954331540275,1.0175954331540276,1.0228173828821443,-0.005105456570753675
10,2013-02-28,2013-01-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0159837398546007,0.0338604138347913,1.033860413834791,1.033860413834791,0.0
11,2013-03-31,2013-02-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0034046900530706,0.0303404395675446,1.0303404395675446,1.033860413834791,-0.003404690053070314
12,2013-04-30,2013-03-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.008376797057387,0.0217094868052682,1.0217094868052683,1.033860413834791,-0.011752966712839541
13,2013-05-31,2013-04-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0058422876396569,0.0276786075113508,1.0276786075113509,1.033860413834791,-0.005979343285338445
14,2013-06-30,2013-05-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0253800016945285,0.0015961227112821,1.0015961227112822,1.033860413834791,-0.031207589237152722
15,2013-07-31,2013-06-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0101025843697385,0.0117148320453757,1.0117148320453755,1.033860413834791,-0.021420282170659055
16,2013-08-31,2013-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0059530396055012,0.0177376105100148,1.0177376105100149,1.033860413834791,-0.015594758353280613
17,2013-09-30,2013-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0156364090307469,0.0336513720739246,1.0336513720739249,1.033860413834791,-0.00020219534288079544
18,2013-10-31,2013-09-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0096367395281661,0.0436124011095326,1.043612401109533,1.043612401109533,0.0
19,2013-11-30,2013-10-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0023225552066738,0.046036248525479,1.046036248525479,1.046036248525479,0.0
20,2013-12-31,2013-11-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0007731302831468,0.0452275262244745,1.0452275262244746,1.046036248525479,-0.0007731302831469611
21,2014-01-31,2013-12-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0126540914854339,0.0320011214845361,1.0320011214845362,1.046036248525479,-0.013417438507247859
22,2014-02-28,2014-01-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0078089783081393,0.0400599958561842,1.0400599958561842,1.046036248525479,-0.00571323668536261
23,2014-03-31,2014-02-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0015961368006335,0.041720073890437,1.041720073890437,1.046036248525479,-0.004126218992053232
24,2014-04-30,2014-03-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0017131378380782,0.0399354638151696,1.0399354638151697,1.046036248525479,-0.005832288048248091
