variant,strategy,months,cum_return,cagr,ann_vol,mdd,sharpe,calmar,monthly_win_rate,avg_turnover_ann
train60_test12,WF_selected_lambda,108,1.0657735987388386,0.08394985449947723,0.11636722322460055,-0.1533482376291937,0.7214218245755121,0.5474458382917552,0.5925925925925926,0.718397341853249
train60_test12,FixedBM_70_20_10,108,1.4751169079351887,0.10594328854309976,0.16917727141712813,-0.2567422378060885,0.6262264880835149,0.41264456307776004,0.5740740740740741,0.0
train60_test12,EW,108,0.7160627420798997,0.06184038843986661,0.08212297990657182,-0.13571143569546906,0.7530217304610727,0.45567558933378266,0.5925925925925926,0.0
train60_test12,static_lambda_0.1,108,1.0693540348070472,0.08415844070000245,0.11306105990181446,-0.14787873431449206,0.7443627432211241,0.5691044157912768,0.5833333333333334,0.3291042814781965
train60_test12,static_lambda_0.3,108,1.2184341786830832,0.09257086794451452,0.12606966616164642,-0.1533482376291937,0.7342834383793817,0.6036643744700678,0.5925925925925926,0.893506211990208
train60_test12,static_lambda_0.5,108,1.1347683217017388,0.08791390518702746,0.13161869358662626,-0.17688426057413964,0.6679439127631668,0.4970137246902137,0.6018518518518519,1.405636952731578
train60_test12,static_lambda_0.7,108,1.032089720127635,0.08197163496384907,0.13668653288802837,-0.20189338958528846,0.5997052762396062,0.4060144570965298,0.6111111111111112,1.9238851761723823
train60_test12,static_lambda_1.0,108,0.9656897031777536,0.07798513871533674,0.14610268165906126,-0.23861954954928832,0.5337693862274164,0.32681789426992625,0.6388888888888888,2.7222222222222223
train72_test12_colab,WF_selected_lambda,96,0.9076236013155792,0.08408063301656377,0.12173251192876458,-0.15334823762919358,0.6906998934332848,0.5482986587682633,0.5625,0.6779852023196105
train72_test12_colab,FixedBM_70_20_10,96,1.2461051314202702,0.10644227255712702,0.17736268512060635,-0.25674223780608874,0.6001390455086223,0.4145880844020699,0.5520833333333334,0.0
train72_test12_colab,EW,96,0.6297656460849419,0.06295687419355533,0.08621081008272957,-0.13571143569546973,0.7302665887623686,0.4639024992324721,0.5729166666666666,0.0
train72_test12_colab,static_lambda_0.1,96,0.900812146451178,0.08359601649241455,0.11821664039003901,-0.14787873431449194,0.7071425496157002,0.5653011359607115,0.5625,0.3308783008445385
train72_test12_colab,static_lambda_0.3,96,1.0263498979100358,0.09229338829828637,0.1323814790938062,-0.15334823762919336,0.6971774974117549,0.6018549004877263,0.5729166666666666,0.9046459791866559
train72_test12_colab,static_lambda_0.5,96,0.9602523272175876,0.08777480946512362,0.13839525018016177,-0.1768842605741392,0.6342328176065227,0.4962273589533633,0.5833333333333334,1.413295902362757
train72_test12_colab,static_lambda_0.7,96,0.8787558464546075,0.08201627483215734,0.14378566650773641,-0.20189338958528824,0.5704064725237716,0.40623556323774646,0.59375,1.9188482193368297
train72_test12_colab,static_lambda_1.0,96,0.8305291517263875,0.0785047972094921,0.15370018193945467,-0.23861954954928832,0.5107658053418348,0.3289956642604275,0.6354166666666666,2.7
train72_test24,WF_selected_lambda,96,0.8953048798309364,0.08320307719154663,0.12147450845820192,-0.1533482376291937,0.6849426949537805,0.5425760248561659,0.5625,0.6035838134540877
train72_test24,FixedBM_70_20_10,96,1.2461051314202702,0.10644227255712702,0.17736268512060635,-0.25674223780608874,0.6001390455086223,0.4145880844020699,0.5520833333333334,0.0
train72_test24,EW,96,0.6297656460849419,0.06295687419355533,0.08621081008272957,-0.13571143569546973,0.7302665887623686,0.4639024992324721,0.5729166666666666,0.0
train72_test24,static_lambda_0.1,96,0.900812146451178,0.08359601649241455,0.11821664039003901,-0.14787873431449194,0.7071425496157002,0.5653011359607115,0.5625,0.3308783008445385
train72_test24,static_lambda_0.3,96,1.0263498979100358,0.09229338829828637,0.1323814790938062,-0.15334823762919336,0.6971774974117549,0.6018549004877263,0.5729166666666666,0.9046459791866559
train72_test24,static_lambda_0.5,96,0.9602523272175876,0.08777480946512362,0.13839525018016177,-0.1768842605741392,0.6342328176065227,0.4962273589533633,0.5833333333333334,1.413295902362757
train72_test24,static_lambda_0.7,96,0.8787558464546075,0.08201627483215734,0.14378566650773641,-0.20189338958528824,0.5704064725237716,0.40623556323774646,0.59375,1.9188482193368297
train72_test24,static_lambda_1.0,96,0.8305291517263875,0.0785047972094921,0.15370018193945467,-0.23861954954928832,0.5107658053418348,0.3289956642604275,0.6354166666666666,2.7
