factor,VIF
market_ret,1.963674271612607
bond_ret,1.631779267448752
cash_ret,1.651435422826962
mom_3m,2.4352913059162673
mom_12m,2.2950909481239097
realized_vol,4.227532780528325
downside_semidev,4.47893670869215
stock_bond_corr_6m,1.073654005279644
