strategy_name,months,avg_turnover_pct,max_turnover_pct,total_turnover_pct,nonzero_turnover_months
EW,172,0.0,0.0,0.0,0
HSI_event_balance_filter_overlay,172,21.918604651162788,75.0,3769.9999999999995,114
HSI_final_baseline_overlay,172,22.093023255813954,70.0,3800.0,94
