n_months,gross_cum_return_pct,gross_cagr_pct,gross_ann_vol_pct,gross_mdd_pct,gross_sharpe,gross_calmar,gross_tail_strategy_avg_pct,gross_win_rate_pct,net10_cum_return_pct,net10_cagr_pct,net10_ann_vol_pct,net10_mdd_pct,net10_sharpe,net10_calmar,net10_tail_strategy_avg_pct,net10_win_rate_pct,avg_monthly_turnover_pct,avg_annual_turnover_pct,max_monthly_turnover_pct,strategy,period,sim_id,cost_bps,block_size
171.0,282.9527578436656,9.88096637581286,12.66473136728945,-16.6482617959972,0.8064740170239075,0.5935133947850686,-3.715982906302097,60.23391812865497,279.25122775825463,9.806097194328856,12.667746806074653,-16.71080859386722,0.8008889392243782,0.5868116518268087,-3.721630154072812,59.06432748538012,5.693206535539316,68.3184784264718,31.209835009347735,shuffle_placebo,FULL,0,10.0,4
105.0,50.80758160203991,4.807224473304994,6.214762470213245,-6.860937882206364,0.7873768395652756,0.7006657917385298,-2.380049856879982,61.904761904761905,49.705002461755576,4.719366713265338,6.2189934875275705,-6.92144040131547,0.7733464748191857,0.6818474825512314,-2.3872793831091195,60.952380952380956,6.993611828539104,83.92334194246925,31.209835009347735,shuffle_placebo,IS,0,10.0,4
66.0,153.9346853623211,18.463844562931662,18.650086555649594,-16.6482617959972,1.0015007756758065,1.109055395042562,-5.536342413006827,57.57575757575758,153.33236800496363,18.41270602577807,18.651631115020813,-16.71080859386724,0.9990860036739864,1.1018441101967629,-5.539441566958838,56.060606060606055,3.624379933039655,43.49255919647586,20.694515889775296,shuffle_placebo,OOS,0,10.0,4
171.0,253.77782860986176,9.271627457270437,13.426581119493857,-22.218242755590733,0.7260168204318251,0.4172979636266435,-4.0627010303905156,60.81871345029239,250.6139147091933,9.202762389847251,13.428411627838596,-22.251904461750648,0.7212069165405276,0.41357189923523663,-4.068768898087782,60.23391812865497,5.271699124538838,63.260389494466054,19.85237749599733,shuffle_placebo,FULL,1,10.0,4
105.0,41.513747111371636,4.048094049244422,6.405975091095308,-11.028864579249454,0.6522279404908333,0.36704540346436154,-2.826940284211983,62.857142857142854,40.675127622168425,3.977440347863137,6.409425077844802,-11.060867987143375,0.6412792594252974,0.3595956802383252,-2.8342780706452406,61.904761904761905,5.660381103202345,67.92457323842815,19.85237749599733,shuffle_placebo,IS,1,10.0,4
66.0,149.99537912838807,18.127569765912675,19.874736959189374,-22.218242755590712,0.936310150329141,0.8158867451995631,-6.3021032890380555,57.57575757575758,149.23660680862372,18.062300612734973,19.875735644058683,-22.251904461750648,0.9334536434319176,0.8117193134539432,-6.304766128476781,57.57575757575758,4.6533414312105315,55.840097174526385,18.253665050379723,shuffle_placebo,OOS,1,10.0,4
171.0,127.31487072214188,5.931839936208916,8.77902021877813,-15.68289904449699,0.7011558877049433,0.37823618703267453,-3.655714733977042,59.64912280701754,125.29343199266205,5.865458523435496,8.780502021593504,-15.74980161541274,0.6938804205763232,0.37241475585924616,-3.6618158057575263,59.64912280701754,5.236939921872581,62.843279062470984,24.666891710505585,shuffle_placebo,FULL,2,10.0,4
105.0,38.02640104308135,3.7518085615027674,7.769897594637752,-10.592008802441931,0.513141920328798,0.35421123900858237,-3.628909598619085,60.952380952380956,37.261821067562686,3.6859645655958007,7.770810737198733,-10.604796402882123,0.5048973007325193,0.3475752315804994,-3.633115501533694,60.952380952380956,5.299900562967143,63.59880675560572,24.666891710505585,shuffle_placebo,IS,2,10.0,4
66.0,64.68941376743669,9.494867064973732,10.16547061471907,-15.682899044497011,0.944884088987167,0.6054280549810334,-3.9576767848869534,57.57575757575758,64.13408349126352,9.42764425867928,10.167644568395435,-15.74980161541274,0.9386195665604088,0.5985881275770101,-3.963339447377232,57.57575757575758,5.136775265585778,61.64130318702934,20.877602896066854,shuffle_placebo,OOS,2,10.0,4
171.0,291.33304121928603,10.048014607757327,12.968105409123865,-12.646429403377724,0.8024762826919427,0.7945337207254415,-3.9922463823047414,60.23391812865497,287.9440988382259,9.980865569477547,12.970100896152395,-12.712728690218277,0.797630230534005,0.7851080450696047,-3.997439364764263,60.23391812865497,5.104371201971201,61.25245442365441,23.444118356808154,shuffle_placebo,FULL,3,10.0,4
105.0,48.28582951754807,4.6054340382430725,7.407108618892947,-10.99775170937496,0.645575458650718,0.41876141232732156,-3.2157197844501377,60.952380952380956,47.40791093286318,4.534469362745752,7.40879546912556,-11.005955151172708,0.6362524271124503,0.41200143926286986,-3.222046966574305,60.952380952380956,5.665287058886433,67.9834447066372,23.444118356808154,shuffle_placebo,IS,3,10.0,4
66.0,163.9045433353265,19.29622554568533,18.46658876633038,-12.646429403377734,1.0481124774251367,1.5258240037722823,-5.07941611078338,59.09090909090909,163.1772585223834,19.23638275597113,18.4684557696241,-12.712728690218277,1.045269744340461,1.5131592299906809,-5.0846849139018335,59.09090909090909,4.212005065969693,50.544060791636326,16.325189655075047,shuffle_placebo,OOS,3,10.0,4
171.0,232.63055881403298,8.80000679480204,12.468758979752415,-20.45669025460398,0.7383580164822177,0.4301774473425148,-4.220359006175657,60.81871345029239,229.54004055122454,8.728759826114697,12.469719858142525,-20.497316675808786,0.7330206301538807,0.42584890325749314,-4.2242119312262965,60.81871345029239,5.487186668903236,65.84624002683883,21.855811104468582,shuffle_placebo,FULL,4,10.0,4
105.0,48.05386824474003,4.586720191164817,8.142325449079904,-13.753556701324987,0.591909602817487,0.3334933858034658,-3.6842886837891893,61.904761904761905,47.144932559582166,4.513139204393157,8.142502154349856,-13.832035316366898,0.5832232665001801,0.3262816426627352,-3.6871706831257893,61.904761904761905,5.885326552576861,70.62391863092232,21.855811104468582,shuffle_placebo,IS,4,10.0,4
