strategy,cost_bp,cagr_pct,mdd_pct,calmar,avg_turnover_pct,annualized_avg_turnover_pct,mean_annual_turnover_pct,max_annual_turnover_pct,years_turnover_over_100,years_turnover_over_200,worst_annual_return_pct,best_annual_return_pct,turnover_cost_judgement
lambda_0.1,10,8.6070057420772,-14.787873431449173,0.5820313368231024,2.455393807086774,29.464725685041287,27.991489400789224,39.850726463309236,0,0,-9.120261120392959,56.29618868019719,중립: 성과와 회전율 함께 해석 필요
lambda_0.3,10,9.001532865830498,-15.334823762919337,0.5869994337722241,6.885562922592911,82.62675507111493,78.49541731755919,125.98412740192657,2,0,-11.290954424396404,55.37580639243676,점검: 특정 연도 Turnover 100% 이상
asym_up0.1_down0.3,10,6.789770825992458,-9.048832255332485,0.7503477392888172,4.32367301712113,51.88407620545355,49.28987239518087,62.7824606178082,0,0,-5.464712659689674,35.12042812917058,양호: 평균 회전율 100% 미만 + Calmar 양호
asym_up0.1_down0.5,10,5.731308719638828,-7.154169922603481,0.8011144244045494,5.246443126124718,62.95731751349662,59.80945163782178,76.66259693976494,0,0,-4.765335581726071,22.842513624928817,양호: 평균 회전율 100% 미만 + Calmar 양호
asym_up0.2_down0.3,10,8.375894907261028,-12.718641216613003,0.6585526523321132,5.915921402611861,70.99105683134233,67.44150398977521,98.28460136531905,0,0,-8.839027453269487,48.724008156508766,중립: 성과와 회전율 함께 해석 필요
dynamic_v1,10,9.66903317070036,-12.630488487971592,0.765531212819558,4.964341042416802,59.57209250900162,56.593487883551546,90.33997561682528,0,0,-7.761104868955937,67.50389765221148,양호: 평균 회전율 100% 미만 + Calmar 양호
dynamic_v1_macro,10,9.5902807705029,-12.816385860304724,0.7482827744915352,4.451908144500697,53.422897734008366,50.75175284730795,82.56820810700272,0,0,-8.332820480675295,65.47149555678094,양호: 평균 회전율 100% 미만 + Calmar 양호
