strategy_name,return_month,turnover,weight_069500,weight_114260,weight_153130,turnover_pct
HSI_main_v2b_baseline,2012-08,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2012-09,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2012-10,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2012-11,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2012-12,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-01,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-02,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-03,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-04,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-05,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-06,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-07,0.23333333333333334,0.1,0.45,0.45,23.333333333333332
HSI_main_v2b_baseline,2013-08,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.333333333333332
HSI_main_v2b_baseline,2013-09,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-10,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-11,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2013-12,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-01,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-02,0.13333333333333336,0.2,0.4,0.4,13.333333333333336
HSI_main_v2b_baseline,2014-03,0.13333333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.333333333333336
HSI_main_v2b_baseline,2014-04,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-05,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-06,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-07,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-08,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-09,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2014-10,0.13333333333333336,0.2,0.4,0.4,13.333333333333336
HSI_main_v2b_baseline,2014-11,0.09999999999999999,0.1,0.45,0.45,10.0
HSI_main_v2b_baseline,2014-12,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.333333333333332
HSI_main_v2b_baseline,2015-01,0.13333333333333336,0.2,0.4,0.4,13.333333333333336
HSI_main_v2b_baseline,2015-02,0.13333333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.333333333333336
HSI_main_v2b_baseline,2015-03,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2015-04,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2015-05,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2015-06,0.13333333333333336,0.2,0.4,0.4,13.333333333333336
HSI_main_v2b_baseline,2015-07,0.13333333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.333333333333336
HSI_main_v2b_baseline,2015-08,0.23333333333333334,0.1,0.45,0.45,23.333333333333332
HSI_main_v2b_baseline,2015-09,0.0,0.1,0.45,0.45,0.0
HSI_main_v2b_baseline,2015-10,0.09999999999999999,0.2,0.4,0.4,10.0
HSI_main_v2b_baseline,2015-11,0.13333333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.333333333333336
HSI_main_v2b_baseline,2015-12,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-01,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-02,0.23333333333333334,0.1,0.45,0.45,23.333333333333332
HSI_main_v2b_baseline,2016-03,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.333333333333332
HSI_main_v2b_baseline,2016-04,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-05,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-06,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-07,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-08,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-09,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-10,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-11,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2016-12,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-01,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-02,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-03,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-04,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-05,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-06,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-07,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-08,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-09,0.23333333333333334,0.1,0.45,0.45,23.333333333333332
HSI_main_v2b_baseline,2017-10,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.333333333333332
HSI_main_v2b_baseline,2017-11,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
HSI_main_v2b_baseline,2017-12,0.23333333333333334,0.1,0.45,0.45,23.333333333333332
HSI_main_v2b_baseline,2018-01,0.0,0.1,0.45,0.45,0.0
HSI_main_v2b_baseline,2018-02,0.09999999999999999,0.2,0.4,0.4,10.0
HSI_main_v2b_baseline,2018-03,0.09999999999999999,0.1,0.45,0.45,10.0
HSI_main_v2b_baseline,2018-04,0.0,0.1,0.45,0.45,0.0
