hsi_state,months,ratio_total,ratio_valid,state_kr
risk_relief,81,0.47093023255813954,0.48214285714285715,위험 완화 우세
neutral_watch,35,0.20348837209302326,0.20833333333333334,중립 관찰
conflict,4,0.023255813953488372,0.023809523809523808,신호 충돌
risk_warning,14,0.08139534883720931,0.08333333333333333,위험 악화 우세
accident_zone,34,0.19767441860465115,0.20238095238095238,강한 위험 구간
insufficient_data,4,0.023255813953488372,,자료 부족
