hsi_state,state_kr,months,mean_event_balance,median_event_balance,mean_event_intensity,median_event_intensity,risk_dominant_ratio,relief_dominant_ratio,mixed_or_neutral_ratio
accident_zone,강한 위험 구간,34,0.13878337966978907,0.1440359173682244,0.5713708645164596,0.5740977670335908,0.7058823529411765,0.14705882352941177,0.14705882352941177
conflict,신호 충돌,4,0.03500374127939808,0.0504821037610446,0.5459498614260518,0.5437429138321995,0.5,0.25,0.25
insufficient_data,자료 부족,4,,,,,0.0,0.0,1.0
neutral_watch,중립 관찰,35,0.044387327156187865,0.097094671201814,0.5045600985671472,0.5086343732895456,0.5428571428571428,0.2857142857142857,0.17142857142857143
risk_relief,위험 완화 우세,81,-0.024328461185337227,0.0275015181761213,0.5348757656220428,0.5221979066641764,0.4444444444444444,0.35802469135802467,0.19753086419753085
risk_warning,위험 악화 우세,14,-0.01993171894691758,0.0194575669774082,0.4965369434458789,0.5086158207429416,0.42857142857142855,0.42857142857142855,0.14285714285714285
