Date,signal_date,method,strategy,069500_weight,114260_weight,153130_weight,rule_signal,rule_description,strategy_return,cumulative_return,portfolio_value
2012-04-30,2012-03-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0015006768828879,0.001500676882887797,1.0015006768828878
2012-05-31,2012-04-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0226497180898505,-0.021183031115304063,0.9788169688846959
2012-06-30,2012-05-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0029937000336713662,-0.018252746722595914,0.9817472532774041
2012-07-31,2012-06-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.012929218886426567,-0.005559521593824335,0.9944404784061757
2012-08-31,2012-07-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0024376468962339997,-0.0031354268481481595,0.9968645731518518
2012-09-30,2012-08-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.017588847642714633,0.01439827224943957,1.0143982722494396
2012-10-31,2012-09-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.013575138818670132,0.0006276748862343862,1.0006276748862344
2012-11-30,2012-10-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.006960021770225432,0.007592065287332694,1.0075920652873327
2012-12-31,2012-11-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.015110596956189633,0.0228173828821443,1.0228173828821443
2013-01-31,2012-12-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.005105456570753767,0.017595433154027562,1.0175954331540276
2013-02-28,2013-01-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.015983739854600734,0.033860413834791325,1.0338604138347913
2013-03-31,2013-02-28,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.003404690053070667,0.03034043956754462,1.0303404395675446
2013-04-30,2013-03-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.008376797057387099,0.021709486805268297,1.0217094868052683
2013-05-31,2013-04-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.005842287639656967,0.027678607511350872,1.0276786075113509
2013-06-30,2013-05-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0253800016945285,0.0015961227112821774,1.0015961227112822
2013-07-31,2013-06-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.010102584369738533,0.011714832045375712,1.0117148320453757
2013-08-31,2013-07-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.005953039605501233,0.01773761051001488,1.0177376105100149
2013-09-30,2013-08-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.015636409030746964,0.03365137207392466,1.0336513720739247
2013-10-31,2013-09-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.009636739528166198,0.043612401109532684,1.0436124011095327
