period,n_months,cagr_strategy_pct,cagr_fixed_bm_pct,cagr_gap_pct,cum_return_gap_pct,sum_monthly_excess_arith_pct,sum_exposure_effect_pct,sum_timing_effect_pct,exposure_effect_share_of_excess,timing_effect_share_of_excess,compounding_interaction_pct,max_identity_residual
FULL,171,9.734105432409557,10.985626769575374,-1.2515213371658174,-65.89897978680304,-24.33631457616226,-50.141190085502544,25.804875509340274,2.0603444259640074,-1.0603444259640074,-41.56266521064077,2.0816681711721685e-17
IS,105,4.4774000742271,5.286934313886094,-0.8095342396589933,-10.250321246541393,-9.552084628362723,-9.965984956612878,0.4139003282501521,1.0433308899945437,-0.04333088999454319,-0.6982366181786714,6.938893903907228e-18
OOS,66,18.647515793910728,20.694155796806267,-2.046640002895539,-25.26009388724244,-14.784229947799538,-44.68056560167453,29.89633565387499,3.022177398446425,-2.0221773984464244,-10.475863939442903,1.5612511283791264e-17
