method,strategy,year_month,trading_days,hsi_state5,069500_month_return_pct,069500_avg_weight_pct,069500_contribution_pct,114260_month_return_pct,114260_avg_weight_pct,114260_contribution_pct,153130_month_return_pct,153130_avg_weight_pct,153130_contribution_pct,strategy_month_return_pct
rank,EW,2014-03,2,risk_relief,0.4825737265415464,33.33333333333333,0.16085790884718212,0.02256363972021891,33.33333333333333,0.007548584441900241,0.016601000486970996,33.33333333333333,0.005533666828990332,0.17388666620745674
rank,EW,2014-04,22,risk_relief,-0.9459590569515841,33.33333333333333,-0.3086881805594651,0.18251917476732604,33.33333333333333,0.0609512409999291,0.22905578116878544,33.33333333333333,0.07627087573615447,-0.17422297457719838
rank,EW,2014-05,19,neutral_watch,1.91978059650324,33.33333333333333,0.6480343658801162,0.48105463552432504,33.33333333333333,0.16113772321800776,0.18216343924575273,33.33333333333333,0.06067014809809644,0.8675409286118541
rank,EW,2014-06,19,risk_relief,-3.3306690738754696e-14,33.33333333333333,0.014070739040309754,0.6315446359450361,33.33333333333333,0.21004054070065484,0.21819864893160013,33.33333333333333,0.07265952159979752,0.2927535193416375
rank,EW,2014-07,23,neutral_watch,3.829705444236242,33.33333333333332,1.2644814465312253,0.6377034577698781,33.33333333333332,0.21216080591428182,0.3100911580035115,33.33333333333332,0.10321384306441657,1.5881829443548101
rank,EW,2014-08,20,risk_relief,-1.8974453905960864,33.33333333333333,-0.6259307989741761,0.28363943593976426,33.33333333333333,0.0944930415626488,0.19293379959002266,33.33333333333333,0.06425744769729864,-0.47012951037711526
rank,EW,2014-09,19,neutral_watch,-3.2691763373903338,33.33333333333333,-1.1000037246451488,0.8204284682660656,33.33333333333333,0.2725996257248416,0.24507926782564304,33.33333333333333,0.08163444704050171,-0.7455004145777488
rank,EW,2014-10,21,conflict,-2.5262131187515635,33.33333333333333,-0.827972266744296,0.7640118581006661,33.33333333333333,0.2540489637830489,0.2313829496959796,33.33333333333333,0.07704552383657562,-0.503593796137114
rank,EW,2014-11,20,conflict,1.2708260369240332,33.33333333333333,0.4299052153082534,0.30605193010171394,33.33333333333333,0.1020589834894984,0.16660314694831868,33.33333333333333,0.0554926897669968,0.5862813084420493
rank,EW,2014-12,21,neutral_watch,-2.430709945160814,33.33333333333333,-0.8030696406869632,0.1003937007874045,33.33333333333333,0.033691699933935386,0.12610340479193294,33.33333333333333,0.042011052183232866,-0.7299083123587846
rank,EW,2015-01,21,risk_warning,2.774824041723578,33.33333333333333,0.9318602139692931,0.6764862047944575,33.33333333333333,0.2253510960099144,0.2225744810214314,33.33333333333333,0.07411620114717853,1.233104684371722
rank,EW,2015-02,17,risk_relief,0.2414149874365723,33.33333333333333,0.08524244071229652,-0.0390663150698467,33.33333333333333,-0.012856335978931687,0.1256648864141452,33.33333333333333,0.04186534291724664,0.11257160428008728
