strategy,segment,months,cum_return_pct,cagr_pct,ann_vol_pct,mdd_pct,sharpe,sharpe_geom,calmar,win_rate_pct
lambda_0.1,IS,105,47.470853456205035,4.539569627422346,6.9464773446412265,-8.216032251816918,0.6744221453188134,0.6535067203414031,0.5525257798761016,60.952380952380956
lambda_0.1,OOS,66,120.84084544744908,15.494124515147867,15.922465878128664,-14.744180174515332,0.9847192203956646,0.9730983023446655,1.0508637531389355,57.57575757575758
lambda_0.1,FULL,171,225.67587956125186,8.638798542453795,11.351523784634693,-14.744180174515332,0.7865263175620656,0.7610254540581756,0.5859124373280232,59.64912280701754
lambda_0.3,IS,105,48.898419189429745,4.654731323213901,7.292086902639529,-6.985548875815817,0.6607267653995091,0.63832636464179,0.6663372350494494,62.857142857142854
lambda_0.3,OOS,66,132.0608691849675,16.53947985019073,17.045181953598714,-15.219711332556985,0.9838561042032928,0.9703316688091314,1.0867144250502692,57.57575757575758
lambda_0.3,FULL,171,245.53496577366704,9.090997384867894,12.10191122789447,-15.219711332556995,0.7793068521339414,0.7512034432969127,0.5973173331757637,60.81871345029239
asym_up0.1_down0.3,IS,105,40.95845222655217,4.001352077924247,5.372620895878398,-5.678424505701618,0.7578577885879697,0.7447672477680086,0.7046588492823233,63.8095238095238
asym_up0.1_down0.3,OOS,66,82.24235776197482,11.529764828122314,11.117915802955734,-8.97574764098037,1.0390015923101685,1.0370437258624576,1.2845464566629665,60.60606060606061
asym_up0.1_down0.3,FULL,171,156.8860068024555,6.844880001046882,8.126006478341347,-8.975747640980359,0.8563421794535232,0.8423424248172684,0.7625971980089298,62.57309941520468
dynamic_v1,IS,105,46.70523806082063,4.4774000742271,6.570009313463605,-6.354962512487372,0.7002182789107986,0.6814906738490886,0.7045517680755945,62.857142857142854
dynamic_v1,OOS,66,156.1076625122822,18.647515793910728,18.123777965175698,-12.62964176972936,1.0339091576544448,1.0288978285731252,1.476488101080188,56.060606060606055
dynamic_v1,FULL,171,275.72335598064683,9.734105432409557,12.488779113410489,-12.629641769729371,0.8052967886311722,0.779428104542024,0.770734879887107,60.23391812865497
dynamic_v1_macro,IS,105,47.917419039264054,4.575699798600774,6.5332374043423,-6.354962512487372,0.7182297339596103,0.7003724976471154,0.7200199512758128,61.904761904761905
dynamic_v1_macro,OOS,66,151.201745081221,18.23100773626132,17.84539399858969,-12.755549064032557,1.0277367288115162,1.0216085863782052,1.429260915758474,56.060606060606055
dynamic_v1_macro,FULL,171,271.57113790573345,9.648563260954424,12.311613434276873,-12.755549064032557,0.8089934851954221,0.7836960860135336,0.7564208496646333,59.64912280701754
FixedBM_70_20_10,IS,105,56.95555930736202,5.286934313886094,10.366765134284348,-16.50292737345197,0.5490726716424613,0.509988819598262,0.32036342366694964,60.0
FixedBM_70_20_10,OOS,66,181.36775639952464,20.694155796806267,23.11102658208986,-25.674223780608884,0.9271064503377112,0.8954234777629232,0.8060284888704624,56.060606060606055
FixedBM_70_20_10,FULL,171,341.62233576744984,10.985626769575374,16.579703182527812,-25.674223780608873,0.7096016818658241,0.6625948998382767,0.42788544897986575,58.47953216374269
EW,IS,105,38.893448221401286,3.8260870564187144,4.890109531450687,-6.137177253358739,0.7931422304567031,0.7824133655516868,0.6234278233246047,61.904761904761905
EW,OOS,66,77.79411177500906,11.029791051586768,11.232590661351018,-13.57114356954694,0.9891692547440293,0.9819454286300985,0.812738513527861,59.09090909090909
EW,FULL,171,146.94437257892247,6.549352881674397,7.994388772117869,-13.571143569546962,0.8343349130182095,0.8192437306172372,0.4825940310859913,60.81871345029239
