period,display_name,unit,actual,null_p50,null_p95,actual_minus_null_p50,difference_display,actual_advantage_percentile,one_sided_p_value,verdict
FULL,Net10bp CAGR,%,9.669033170700336,8.328426688659306,9.810694008851804,1.3406064820410304,+1.34%p,92.2,0.07892107892107893,실제값이 유리한 상위권: 무작위 배치 대비 유리
FULL,Net10bp Calmar,ratio,0.7655312128195563,0.44784918099136783,0.7226531710255539,0.31768203182818844,+0.318,97.6,0.024975024975024976,실제값이 유리한 극단 5% 이내: 무작위 배치 대비 매우 유리
FULL,Net10bp MDD,%,-12.630488487971592,-18.443083920278337,-12.731680640830268,5.812595432306745,+5.81%p,95.5,0.04595404595404595,실제값이 유리한 극단 5% 이내: 무작위 배치 대비 매우 유리
FULL,Net10bp Sharpe,ratio,0.8004257239208667,0.7431847722640751,0.8175897165832273,0.05724095165679166,+0.057,90.4,0.0969030969030969,실제값이 유리한 상위권: 무작위 배치 대비 유리
FULL,Net10bp tail-month 평균수익,%,-3.484003273267046,-3.9180295350715784,-3.4446309772755517,0.4340262618045325,+0.43%p,93.10000000000001,0.06993006993006994,실제값이 유리한 상위권: 무작위 배치 대비 유리
FULL,Net10bp 연환산 변동성,%,12.490355223057428,11.644710416488062,13.360888388310526,0.845644806569366,+0.85%p,26.1,0.7392607392607392,실제값이 유리하지 않은 구간: 비용·변동성·회전율 측면 추가 해석 필요
FULL,Net10bp 월 승률,%,60.23391812865497,59.64912280701754,60.81871345029239,0.5847953216374293,+0.58%p,86.6,0.37462537462537465,실제값이 유리한 상위권: 무작위 배치 대비 유리
FULL,평균 연환산 Turnover,%,59.57209250900164,66.10968580819969,70.49845837731878,-6.537593299198043,-6.54%p,99.0,0.01098901098901099,실제값이 유리한 극단 5% 이내: 무작위 배치 대비 매우 유리
OOS,Net10bp CAGR,%,18.579396054125596,15.234543073531881,18.78015089444132,3.344852980593714,+3.34%p,93.5,0.06593406593406594,실제값이 유리한 상위권: 무작위 배치 대비 유리
OOS,Net10bp Calmar,ratio,1.470995842466373,0.8146215714454963,1.4065708384935907,0.6563742710208766,+0.656,96.39999999999999,0.03696303696303696,실제값이 유리한 극단 5% 이내: 무작위 배치 대비 매우 유리
OOS,Net10bp MDD,%,-12.630488487971592,-18.443083920278326,-12.370461678489937,5.812595432306734,+5.81%p,94.39999999999999,0.056943056943056944,실제값이 유리한 상위권: 무작위 배치 대비 유리
OOS,Net10bp Sharpe,ratio,1.0306396949095427,0.9366969765767525,1.0508825484162574,0.09394271833279011,+0.094,90.4,0.0969030969030969,실제값이 유리한 상위권: 무작위 배치 대비 유리
OOS,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.198454579986032,-3.9690764806343304,0.48828486384611747,+0.49%p,74.0,0.26073926073926074,placebo 중하위권: 추가 해석 필요
OOS,Net10bp 연환산 변동성,%,18.124972587340494,16.26730575986379,19.45050226093513,1.8576668274767059,+1.86%p,22.400000000000002,0.7762237762237763,실제값이 유리하지 않은 구간: 비용·변동성·회전율 측면 추가 해석 필요
OOS,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,59.09090909090909,0.0,+0.00%p,54.7,1.0,placebo 중앙부: HSI 목표비중 타이밍 우위가 뚜렷하지 않음
OOS,평균 연환산 Turnover,%,58.023791830560576,56.3103258548133,66.1941683196867,1.713465975747276,+1.71%p,37.8,0.6223776223776224,실제값이 유리하지 않은 구간: 비용·변동성·회전율 측면 추가 해석 필요
