year_month,hsi_state,state_kr,ticker,signal_name,signal_family,signal_speed_type,signal_score,signal_velocity,centroid_velocity,relative_velocity,relative_speed_abs,direction_label,speed_rank,interpretation
2012-07,risk_relief,위험 완화 우세,069500,ma_pos,trend_position,slow,-9.856071593825954,-9.173226737944438,-3.017691528102532,-6.155535209841906,6.155535209841906,risk_relief_accelerating,1.0,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
2012-08,risk_relief,위험 완화 우세,069500,ma_pos,trend_position,slow,-0.3423317050944718,9.513739888731482,1.9652004736085469,7.548539415122935,7.548539415122935,risk_accelerating,1.0,중심 흐름보다 위험 악화 방향으로 빠르게 움직인 신호
2012-08,risk_relief,위험 완화 우세,069500,vol,risk_damage,fast,-2.02301189039137,-4.945077762646352,1.9652004736085469,-6.910278236254898,6.910278236254898,risk_relief_accelerating,2.0,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
2012-08,risk_relief,위험 완화 우세,069500,momentum,trend_momentum,slow,-3.464110119208117,0.14318091586022197,1.9652004736085469,-1.822019557748325,1.822019557748325,risk_relief_accelerating,3.0,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
2012-08,risk_relief,위험 완화 우세,069500,return,return_speed,fast,-1.111889926808045,3.1489588524888372,1.9652004736085469,1.1837583788802903,1.1837583788802903,risk_accelerating,4.0,중심 흐름보다 위험 악화 방향으로 빠르게 움직인 신호
2012-09,risk_relief,위험 완화 우세,069500,vol,risk_damage,fast,1.341521908512817,3.364533798904187,-1.5574280382152863,4.921961837119474,4.921961837119474,risk_accelerating,1.0,중심 흐름보다 위험 악화 방향으로 빠르게 움직인 신호
2012-09,risk_relief,위험 완화 우세,069500,ma_pos,trend_position,slow,-5.037062655269462,-4.694730950174991,-1.5574280382152863,-3.1373029119597047,3.1373029119597047,risk_relief_accelerating,2.0,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
2012-09,risk_relief,위험 완화 우세,069500,return,return_speed,fast,-4.704941101634016,-3.5930511748259706,-1.5574280382152863,-2.0356231366106843,2.0356231366106843,risk_relief_accelerating,3.0,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
2012-09,risk_relief,위험 완화 우세,069500,momentum,trend_momentum,slow,-4.770573945972488,-1.3064638267643707,-1.5574280382152863,0.25096421145091563,0.25096421145091563,weak_or_noise,4.0,상대속도는 있으나 강한 방향 신호로 해석하기는 어려움
2012-10,neutral_watch,중립 관찰,069500,vol,risk_damage,fast,-4.201293253275571,-5.542815161788388,3.7231245036650487,-9.265939665453438,9.265939665453438,risk_relief_accelerating,1.0,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
