method,strategy,months,total_return,cagr,annual_volatility,sharpe,sortino,mdd,calmar,win_rate,mean_monthly_return,std_monthly_return,min_monthly_return,max_monthly_return,months_turnover,avg_turnover,max_turnover,total_turnover,total_return_diff_vs_ew,cagr_diff_vs_ew,annual_volatility_diff_vs_ew,sharpe_diff_vs_ew,sortino_diff_vs_ew,mdd_diff_vs_ew,calmar_diff_vs_ew,win_rate_diff_vs_ew,mean_monthly_return_diff_vs_ew,avg_turnover_diff_vs_ew,max_turnover_diff_vs_ew,total_turnover_diff_vs_ew
rank,EW,171.0,1.4617878790626997,0.06526138516536828,0.07993141177068436,0.8317116681289747,1.5422821560498592,-0.1357114464319853,0.4808834249517444,0.6081871345029239,0.005539990651641654,0.02307421105125572,-0.0698501779600078,0.1170629968579534,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rank,HSI_state5_overlay,171.0,1.0584449672726803,0.05196854740443224,0.06490153014220211,0.8139972987667963,1.3348615636388907,-0.13765718105202918,0.3775215140050711,0.6081871345029239,0.00440247251846536,0.0187354579492095,-0.0537594183260747,0.0898419572075724,171,0.0501949317738791,0.2333333333333333,8.583333333333334,-0.40334291179001935,-0.013292837760936038,-0.015029881628482247,-0.017714369362178406,-0.20742059241096844,-0.0019457346200438819,-0.1033619109466733,0.0,-0.0011375181331762935,0.0501949317738791,0.2333333333333333,8.583333333333334
zscore,EW,171.0,1.4617878790626997,0.06526138516536828,0.07993141177068436,0.8317116681289747,1.5422821560498592,-0.1357114464319853,0.4808834249517444,0.6081871345029239,0.005539990651641654,0.02307421105125572,-0.0698501779600078,0.1170629968579534,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zscore,HSI_state5_overlay,171.0,1.0181542305387477,0.05051027710039402,0.0636375714266276,0.807059509109326,1.325012209243285,-0.1391928327621681,0.3628798703069606,0.6081871345029239,0.004279942263040312,0.018370584496868743,-0.0537594183260747,0.0898419572075724,171,0.0466861598440545,0.2333333333333333,7.983333333333334,-0.44363364852395204,-0.014751108064974261,-0.01629384034405676,-0.02465215901964868,-0.2172699468065742,-0.0034813863301828007,-0.11800355464478379,0.0,-0.0012600483886013418,0.0466861598440545,0.2333333333333333,7.983333333333334
