Date,FixedBM_70_20_10,EW,VAA_like_proxy,DAA_like_proxy,BAA_like_proxy
2012-04-30,0.0,0.0,0.0,0.0,0.0
2012-05-31,-0.05267580000000001,-0.022649666666666665,0.0041310999999999995,-0.0526758,0.00313
2012-06-30,0.0033800000000000006,0.002993333333333333,0.0026020999999999996,0.0033799999999999998,0.002525
2012-07-31,0.017574700000000002,0.012929666666666667,0.0069726,0.0175747,0.003606
2012-08-31,0.0012214,0.0024376666666666665,0.0031587,0.0012213999999999999,0.002412
2012-09-30,0.034977900000000006,0.017588666666666666,0.0018593999999999998,0.0349779,0.002013
2012-10-31,-0.03138010000000001,-0.013575,0.0025399,-0.0313801,0.002401
2012-11-30,0.013020200000000001,0.006960333333333332,0.0017059,0.0130202,0.0022
2012-12-31,0.029490900000000004,0.015110333333333332,0.0020816,0.0294909,0.002168
2013-01-31,-0.014003800000000002,-0.005105666666666666,0.0027507999999999994,-0.014003799999999999,0.002299
2013-02-28,0.028926600000000004,0.015983999999999998,0.0036314999999999997,0.028926599999999997,0.002493
2013-03-31,-0.011500600000000003,-0.0034046666666666674,0.0033543999999999996,-0.011850600000000001,0.0011879999999999998
2013-04-30,-0.019715600000000003,-0.008376666666666666,0.0019329999999999998,-0.0088918,0.001926
2013-05-31,0.013935800000000002,0.005841999999999999,-0.0009597000000000003,0.0060815999999999995,-0.0069500000000000004
2013-06-30,-0.05300370000000001,-0.025379666666666665,-0.0537037,-0.053353700000000004,-0.076186
2013-07-31,0.0189934,0.010102666666666666,0.0020377999999999998,0.010509899999999999,0.002072
2013-08-31,0.009404800000000001,0.005952999999999999,0.0026109999999999996,0.006073899999999999,0.002215
2013-09-30,0.029120400000000005,0.015636333333333332,0.0022142999999999998,0.0158174,0.0010140000000000001
2013-10-31,0.017541700000000004,0.009637,0.0175417,0.0175417,0.02397
2013-11-30,0.0057022,0.0023226666666666665,0.0057022,0.0057022,0.008989
2013-12-31,-0.0058732,-0.0007726666666666666,-0.005873199999999999,-0.005873199999999999,-0.010393
2014-01-31,-0.028995600000000003,-0.012654666666666666,-0.029695599999999996,-0.029345599999999996,-0.043386
2014-02-28,0.013407,0.007809000000000001,0.0024391,0.0080139,0.000894
2014-03-31,0.0008552000000000001,0.0015963333333333333,0.0021752,0.0015459,0.001605
2014-04-30,-0.005894900000000001,-0.0017133333333333334,0.0021547,-0.0018916500000000004,0.002284
2014-05-31,0.014451400000000003,0.008550333333333333,0.0020257999999999995,0.0083874,0.000833
2014-06-30,0.0014942000000000002,0.0028529999999999996,0.0014941999999999998,0.0014941999999999998,0.0
2014-07-31,0.028481600000000006,0.015966666666666667,0.028481599999999996,0.028481599999999996,0.038425
2014-08-31,-0.012466900000000001,-0.004711666666666666,-0.0124669,-0.0124669,-0.018896
2014-09-30,-0.020986500000000005,-0.007346666666666667,-0.0216865,-0.0213365,-0.033666
2014-10-31,-0.015865900000000002,-0.005075333333333333,0.0039073,-0.00571175,0.007653
2014-11-30,0.0096114,0.005783333333333333,0.0020848999999999998,0.005918799999999999,0.003074
2014-12-31,-0.016675600000000002,-0.007305999999999999,0.0012434999999999998,-0.007726299999999999,0.0011
2015-01-31,0.0210003,0.012228666666666665,0.0035556,0.01250405,0.006721
2015-02-28,0.0017144000000000003,0.001101,0.0007995999999999999,0.0011741,-0.000361
2015-03-31,0.016407700000000004,0.011063666666666668,0.0042932,0.01074265,0.009484
2015-04-30,0.0276695,0.012825999999999999,0.027669499999999996,0.027669499999999996,0.040226
2015-05-31,-0.014808,-0.005711666666666667,-0.014807999999999998,-0.014807999999999998,-0.022514
2015-06-30,-0.023939600000000002,-0.010995999999999999,-0.024639599999999998,-0.024289599999999998,-0.035357
2015-07-31,-0.022885000000000003,-0.009907666666666667,0.0017349,-0.010524899999999998,0.002437
2015-08-31,-0.0322789,-0.014367,0.0016174999999999998,-0.01523395,0.002972
2015-09-30,0.0159186,0.009507,0.0029311999999999997,0.009666600000000001,0.006315
2015-10-31,0.0424425,0.020307666666666665,-0.0002596,0.02100885,-0.001716
2015-11-30,-0.0169036,-0.008640666666666665,-0.017603599999999997,-0.017253599999999997,-0.02433
2015-12-31,-0.0028978999999999997,0.000397,0.002836,0.00014905000000000007,0.005356
2016-01-31,-0.022764599999999996,-0.009655999999999998,0.0019341999999999996,-0.010309499999999997,0.003414
2016-02-29,0.013252400000000001,0.007982,0.0025982,0.008117,0.005282
2016-03-31,0.030309400000000004,0.015012666666666667,0.00042029999999999986,0.0153604,5.799999999999989e-05
2016-04-30,-0.0012897000000000002,-0.00011700000000000013,-0.0019897,-0.0016397,-0.00321
2016-05-31,-0.0041516,-0.0016576666666666667,0.0007065999999999999,-0.0017538999999999999,0.000267
2016-06-30,0.004608500000000001,0.004566333333333333,0.0029303999999999997,0.004059849999999999,0.006696
2016-07-31,0.021316500000000002,0.010949333333333333,0.0213165,0.0213165,0.029712
2016-08-31,0.012831900000000002,0.005907000000000001,0.0128319,0.0128319,0.018714
2016-09-30,0.0028212000000000003,0.002253,0.0028212,0.0028212,0.003127
2016-10-31,-0.0045925,-0.003188333333333333,-0.004592499999999999,-0.004592499999999999,-0.00526
2016-11-30,-0.004816300000000001,-0.004094,-0.0055163,-0.0051662999999999995,-0.0057
2016-12-31,0.026268500000000004,0.014064,0.0018525,0.01419525,0.0007440000000000001
2017-01-31,0.0243626,0.011872666666666667,0.0236626,0.0240126,0.033757999999999996
2017-02-28,0.0036073000000000003,0.002396,0.0005788999999999999,0.00209825,0.00024799999999999996
2017-03-31,0.0307099,0.015592666666666664,0.030709899999999995,0.030709899999999995,0.042938
2017-04-30,0.016960500000000003,0.008539333333333335,0.0169605,0.0169605,0.023893
2017-05-31,0.0453585,0.022454,0.045358499999999996,0.045358499999999996,0.064011
2017-06-30,0.016954900000000005,0.008252999999999998,0.016954900000000002,0.016954900000000002,0.024195
2017-07-31,0.005548300000000001,0.003254,0.0055483,0.0055483,0.00744
2017-08-31,-0.0142245,-0.006332999999999999,-0.0142245,-0.0142245,-0.020661
2017-09-30,0.019826700000000003,0.009120666666666666,0.019126700000000003,0.019476700000000003,0.027887
2017-10-31,0.036401499999999996,0.015821,-0.0019401,0.016923849999999997,-9.9e-05
2017-11-30,-0.0167868,-0.006830666666666667,0.0011186999999999998,-0.007704099999999999,3.899999999999997e-05
2017-12-31,0.005536800000000001,0.0031843333333333337,0.0048368,0.0051868,0.00653
2018-01-31,0.019140900000000002,0.008669,1.6399999999999965e-05,0.009298049999999999,0.0017
2018-02-28,-0.0409735,-0.018227999999999998,0.0014088,-0.01967205,0.0004469999999999999
2018-03-31,0.006812800000000001,0.004445666666666666,0.0068128,0.0068128,0.00852
2018-04-30,0.018193700000000004,0.009523333333333333,0.0181937,0.0181937,0.025258
2018-05-31,-0.0254629,-0.011238,-0.026162899999999992,-0.025812899999999993,-0.038152
2018-06-30,-0.022785000000000003,-0.009507333333333335,0.0020967,-0.0101932,0.00019099999999999998
