variant,window_id,train_start,train_end,test_start,test_end,selected_lambda,selection_reason,train_selected_cagr,train_selected_mdd,train_selected_calmar,train_selected_turnover_ann,test_cum_return,test_cagr,test_ann_vol,test_mdd,test_sharpe,test_calmar,test_monthly_win_rate,test_turnover_ann
train60_test12,1,2012-04-30,2017-03-31,2017-04-30,2018-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.024682174777187482,-0.06335474016774789,0.3895868677203175,0.22836625386062934,0.08866835613952495,0.08866835613952495,0.06039135357812443,-0.02389036308114678,1.4682293223452985,3.71146959292126,0.75,0.3149121265474602
train60_test12,2,2013-04-30,2018-03-31,2018-04-30,2019-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.03628712890124142,-0.05883475759323775,0.6167634640753942,0.7925167803485437,-0.02659630951658054,-0.02659630951658054,0.058676511829640635,-0.04983366479669327,-0.4532701192906516,-0.5337016578067393,0.5,1.0780140031616252
train60_test12,3,2014-04-30,2019-03-31,2019-04-30,2020-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.03421150398733808,-0.05883475759323775,0.581484574541193,0.8582850852084213,-0.03524305777566605,-0.03524305777566605,0.09148093274809069,-0.06948316160438461,-0.3852503108239418,-0.5072172446085427,0.5,0.9189570383916059
train60_test12,4,2015-04-30,2020-03-31,2020-04-30,2021-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.022208871069783864,-0.07194348087989744,0.3086988674743079,0.8668460336122832,0.3397923056018033,0.3397923056018033,0.10846589589564606,-0.018170677705282134,3.1327110037307397,18.700034809545226,0.9166666666666666,0.6940151320893728
train60_test12,5,2016-04-30,2021-03-31,2021-04-30,2022-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.08663349099248308,-0.07194348087989799,1.2041882034747318,0.7980070330523892,-0.020144453057198586,-0.020144453057198586,0.032292503032410026,-0.04540784919180485,-0.623812066750627,-0.4436337200669313,0.5,0.8584315424391037
train60_test12,6,2017-04-30,2022-03-31,2022-04-30,2023-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.06181415079874175,-0.07194348087989777,0.8592043371092108,0.870761158100066,-0.03726369169388488,-0.03726369169388488,0.1263714853846165,-0.10599253704272782,-0.29487420821612875,-0.35156901356991865,0.5,1.1336695077986245
train60_test12,7,2018-04-30,2023-03-31,2023-04-30,2024-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.03486466241327624,-0.15334823762919336,0.22735613367518054,0.9366174447760661,0.08718972050941631,0.08718972050941631,0.09261425341070899,-0.062041322466395266,0.9414287466397107,1.4053491615470108,0.5833333333333334,0.7850058638569397
train60_test12,8,2019-04-30,2024-03-31,2024-04-30,2025-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.05724424413402529,-0.14787873431449172,0.38710261079381925,0.32264477455501417,-0.02137155731553142,-0.02137155731553142,0.054035854844232935,-0.059451352339607744,-0.3955069717530773,-0.3594797506615041,0.3333333333333333,0.37682971950494326
train60_test12,9,2020-04-30,2025-03-31,2025-04-30,2026-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.061641861851622126,-0.14787873431449172,0.4168406102295223,0.33326153296251787,0.5026096206595412,0.5026096206595412,0.2340416418958987,-0.10912468003251641,2.147522195571936,4.605829043528707,0.75,0.30574114288956544
train72_test12_colab,1,2012-04-30,2018-03-31,2018-04-30,2019-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.03507920693111055,-0.06335474016774789,0.553695064303466,0.24279056597510112,-0.021415004858298614,-0.021415004858298614,0.058795032034955785,-0.056384826035756674,-0.3642315365278926,-0.3798008500499443,0.4166666666666667,0.35123167158672874
