Date,signal_date,method,strategy,strategy_return,cumulative_return,portfolio_value
2012-04-30,2012-03-31,rank,EW,0.0015006768828879,0.0015006768828877,1.0015006768828878
2012-05-31,2012-04-30,rank,EW,-0.0226497180898505,-0.021183031115304,0.978816968884696
2012-06-30,2012-05-31,rank,EW,0.0029937000336713,-0.0182527467225959,0.981747253277404
2012-07-31,2012-06-30,rank,EW,0.0129292188864265,-0.0055595215938243,0.9944404784061756
2012-08-31,2012-07-31,rank,EW,0.0024376468962339,-0.0031354268481481,0.9968645731518518
2012-09-30,2012-08-31,rank,EW,0.0175888476427146,0.0143982722494395,1.0143982722494396
2012-10-31,2012-09-30,rank,EW,-0.0135751388186701,0.0006276748862343,1.0006276748862344
2012-11-30,2012-10-31,rank,EW,0.0069600217702254,0.0075920652873326,1.0075920652873327
2012-12-31,2012-11-30,rank,EW,0.0151105969561896,0.0228173828821443,1.0228173828821443
2013-01-31,2012-12-31,rank,EW,-0.0051054565707537,0.0175954331540275,1.0175954331540276
2013-02-28,2013-01-31,rank,EW,0.0159837398546007,0.0338604138347913,1.033860413834791
2013-03-31,2013-02-28,rank,EW,-0.0034046900530706,0.0303404395675446,1.0303404395675446
2013-04-30,2013-03-31,rank,EW,-0.008376797057387,0.0217094868052682,1.0217094868052683
2013-05-31,2013-04-30,rank,EW,0.0058422876396569,0.0276786075113508,1.0276786075113509
2013-06-30,2013-05-31,rank,EW,-0.0253800016945285,0.0015961227112821,1.0015961227112822
2013-07-31,2013-06-30,rank,EW,0.0101025843697385,0.0117148320453757,1.0117148320453755
2013-08-31,2013-07-31,rank,EW,0.0059530396055012,0.0177376105100148,1.0177376105100149
2013-09-30,2013-08-31,rank,EW,0.0156364090307469,0.0336513720739246,1.0336513720739249
2013-10-31,2013-09-30,rank,EW,0.0096367395281661,0.0436124011095326,1.043612401109533
2013-11-30,2013-10-31,rank,EW,0.0023225552066738,0.046036248525479,1.046036248525479
2013-12-31,2013-11-30,rank,EW,-0.0007731302831468,0.0452275262244745,1.0452275262244746
2014-01-31,2013-12-31,rank,EW,-0.0126540914854339,0.0320011214845361,1.0320011214845362
2014-02-28,2014-01-31,rank,EW,0.0078089783081393,0.0400599958561842,1.0400599958561842
2014-03-31,2014-02-28,rank,EW,0.0015961368006335,0.041720073890437,1.041720073890437
2014-04-30,2014-03-31,rank,EW,-0.0017131378380782,0.0399354638151696,1.0399354638151697
2014-05-31,2014-04-30,rank,EW,0.008550089929545,0.0488270055517123,1.0488270055517124
2014-06-30,2014-05-31,rank,EW,0.0028531464179251,0.0518194625656254,1.0518194625656254
2014-07-31,2014-06-30,rank,EW,0.0159668488985898,0.0686137049930066,1.068613704993007
2014-08-31,2014-07-31,rank,EW,-0.0047117386894943,0.0635786764550674,1.0635786764550674
2014-09-30,2014-08-31,rank,EW,-0.0073467504311571,0.0557648293552515,1.0557648293552515
2014-10-31,2014-09-30,rank,EW,-0.0050750817641505,0.0504067365225591,1.0504067365225591
2014-11-30,2014-10-31,rank,EW,0.0057837227968951,0.0564819979105968,1.0564819979105968
2014-12-31,2014-11-30,rank,EW,-0.00730604531491,0.0487632925594752,1.0487632925594752
2015-01-31,2014-12-31,rank,EW,0.0122290003002188,0.0615886191790437,1.0615886191790438
2015-02-28,2015-01-31,rank,EW,0.0011007385482829,0.0627571506945925,1.0627571506945923
2015-03-31,2015-02-28,rank,EW,0.0110634505611363,0.074514911889796,1.074514911889796
2015-04-30,2015-03-31,rank,EW,0.0128259930759256,0.0882966327096737,1.0882966327096737
2015-05-31,2015-04-30,rank,EW,-0.0057117511855084,0.0820805531276094,1.0820805531276094
2015-06-30,2015-05-31,rank,EW,-0.0109958853693476,0.0701821194050178,1.0701821194050178
2015-07-31,2015-06-30,rank,EW,-0.009907601939748,0.0595791809629169,1.059579180962917
2015-08-31,2015-07-31,rank,EW,-0.014367104732265,0.0443560958978952,1.0443560958978952
2015-09-30,2015-08-31,rank,EW,0.009506901306588,0.0542846862305301,1.0542846862305302
2015-10-31,2015-09-30,rank,EW,0.0203075334124474,0.0756946077223883,1.0756946077223883
2015-11-30,2015-10-31,rank,EW,-0.0086408940506986,0.0663996445861514,1.0663996445861514
2015-12-31,2015-11-30,rank,EW,0.0003973234484021,0.0668233501703132,1.0668233501703133
2016-01-31,2015-12-31,rank,EW,-0.0096564319243719,0.0565216431140631,1.0565216431140632
2016-02-29,2016-01-31,rank,EW,0.0079819359802726,0.064954731231172,1.064954731231172
2016-03-31,2016-02-29,rank,EW,0.0150125063510881,0.0809423708974013,1.0809423708974013
2016-04-30,2016-03-31,rank,EW,-0.0001168782096144,0.0808160322883944,1.0808160322883944
2016-05-31,2016-04-30,rank,EW,-0.0016575668434742,0.0790245074693776,1.0790245074693776
2016-06-30,2016-05-31,rank,EW,0.0045665223442735,0.0839518969927552,1.0839518969927553
2016-07-31,2016-06-30,rank,EW,0.0109492244392356,0.0958203295942643,1.0958203295942643
2016-08-31,2016-07-31,rank,EW,0.0059072074060047,0.102293567560894,1.102293567560894
2016-09-30,2016-08-31,rank,EW,0.0022528674731137,0.1047768888850744,1.1047768888850744
2016-10-31,2016-09-30,rank,EW,-0.0031884063998721,0.1012544111821223,1.1012544111821223
2016-11-30,2016-10-31,rank,EW,-0.0040942667449826,0.096745581868654,1.096745581868654
2016-12-31,2016-11-30,rank,EW,0.0140639805713601,0.1121701904237799,1.11217019042378
2017-01-31,2016-12-31,rank,EW,0.0118724062356556,0.1253743267276776,1.1253743267276777
2017-02-28,2017-01-31,rank,EW,0.002396196380012,0.128070944615541,1.128070944615541
2017-03-31,2017-02-28,rank,EW,0.0155926511412925,0.1456605613175594,1.1456605613175594
2017-04-30,2017-03-31,rank,EW,0.0085391607163733,0.1554435409770607,1.1554435409770607
2017-05-31,2017-04-30,rank,EW,0.0224540153690988,0.1813878880042856,1.1813878880042856
2017-06-30,2017-05-31,rank,EW,0.0082531076904995,0.1911380094682366,1.191138009468237
2017-07-31,2017-06-30,rank,EW,0.0032537876304274,0.1950137195895764,1.1950137195895765
2017-08-31,2017-07-31,rank,EW,-0.0063331708368011,0.1874454935510945,1.1874454935510943
2017-09-30,2017-08-31,rank,EW,0.0091203562482641,0.1982754194776761,1.198275419477676
2017-10-31,2017-09-30,rank,EW,0.0158208208223527,0.2172331201850619,1.217233120185062
2017-11-30,2017-10-31,rank,EW,-0.0068304302828809,0.208918894219624,1.208918894219624
2017-12-31,2017-11-30,rank,EW,0.0031843140637014,0.2127684716563622,1.2127684716563625
2018-01-31,2017-12-31,rank,EW,0.0086686707828755,0.2232815622730024,1.2232815622730024
2018-02-28,2018-01-31,rank,EW,-0.0182275999083302,0.2009840753806531,1.200984075380653
2018-03-31,2018-02-28,rank,EW,0.0044458581586759,0.2063234802306239,1.206323480230624
2018-04-30,2018-03-31,rank,EW,0.009523105192286,0.2178114256287846,1.2178114256287846
2018-05-31,2018-04-30,rank,EW,-0.0112377208070921,0.2041260008318814,1.2041260008318817
2018-06-30,2018-05-31,rank,EW,-0.0095073043346607,0.1926780084846948,1.1926780084846949
2018-07-31,2018-06-30,rank,EW,-0.0007704603413472,0.1917590973791605,1.1917590973791603
2018-08-31,2018-07-31,rank,EW,0.0045705422064022,0.1972060826335957,1.1972060826335955
2018-09-30,2018-08-31,rank,EW,0.0019349264164053,0.1995225883087648,1.1995225883087648
2018-10-31,2018-09-30,rank,EW,-0.0386477745764456,0.1531637097164531,1.153163709716453
2018-11-30,2018-10-31,rank,EW,0.0113084648810852,0.1662042210299237,1.1662042210299235
2018-12-31,2018-11-30,rank,EW,-0.0056335394937965,0.1596343634929193,1.1596343634929194
2019-01-31,2018-12-31,rank,EW,0.0318842149914595,0.1966083948500119,1.196608394850012
2019-02-28,2019-01-31,rank,EW,-0.0016789742386959,0.1945993201812512,1.1945993201812513
2019-03-31,2019-02-28,rank,EW,-0.0050602583968858,0.1885543389403898,1.18855433894039
2019-04-30,2019-03-31,rank,EW,0.0100811923873617,0.2005363838940812,1.2005363838940812
2019-05-31,2019-04-30,rank,EW,-0.0228231555626833,0.1731363552458054,1.1731363552458054
2019-06-30,2019-05-31,rank,EW,0.0201656146505405,0.1967933709182319,1.196793370918232
2019-07-31,2019-06-30,rank,EW,-0.010353801654958,0.1844020097337759,1.184402009733776
2019-08-31,2019-07-31,rank,EW,-0.0081343787388627,0.1747676352075313,1.1747676352075314
2019-09-30,2019-08-31,rank,EW,0.0191980596606677,0.1973208943556672,1.1973208943556672
2019-10-31,2019-09-30,rank,EW,0.0024147636299969,0.2002121413047928,1.2002121413047928
2019-11-30,2019-10-31,rank,EW,0.0018935060731308,0.2024847502833988,1.2024847502833989
2019-12-31,2019-11-30,rank,EW,0.0256674744627615,0.2333494969031582,1.2333494969031582
2020-01-31,2019-12-31,rank,EW,-0.007945620575954,0.2235497697632218,1.2235497697632218
2020-02-29,2020-01-31,rank,EW,-0.0169980585573131,0.2027517991289995,1.2027517991289995
2020-03-31,2020-02-29,rank,EW,-0.0374930035740934,0.1576570216255086,1.1576570216255089
2020-04-30,2020-03-31,rank,EW,0.0315141345349689,0.1941395807503665,1.1941395807503663
2020-05-31,2020-04-30,rank,EW,0.0146041870822274,0.2115790185899373,1.211579018589937
2020-06-30,2020-05-31,rank,EW,0.0162160219268949,0.2312260105215575,1.2312260105215576
2020-07-31,2020-06-30,rank,EW,0.0239202275668524,0.2606772168794611,1.260677216879461
2020-08-31,2020-07-31,rank,EW,0.0077066146734175,0.2703927704175075,1.2703927704175075
2020-09-30,2020-08-31,rank,EW,0.0051224595310537,0.2769003059725143,1.2769003059725144
2020-10-31,2020-09-30,rank,EW,-0.0100396354551167,0.2640806923880232,1.2640806923880232
2020-11-30,2020-10-31,rank,EW,0.0499165164461711,0.3271791970588975,1.3271791970588975
2020-12-31,2020-11-30,rank,EW,0.0465308491437893,0.3889339720640203,1.3889339720640204
2021-01-31,2020-12-31,rank,EW,0.0147185369860452,0.4093770481030192,1.4093770481030192
2021-02-28,2021-01-31,rank,EW,0.0046913747380715,0.4159889639829075,1.4159889639829075
2021-03-31,2021-02-28,rank,EW,0.0033800253938123,0.4207750426385277,1.4207750426385275
2021-04-30,2021-03-31,rank,EW,0.0065871454993188,0.4301338945661888,1.4301338945661888
