method,strategy,ticker,etf_name,trading_days,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,WinRate_pct,avg_weight_pct,total_contribution_pct
zscore,EW,069500,KODEX 200 (주식),2999,7.161101632951513,17.989199256124188,20.667334923157547,-38.088112472160184,53.78459486495498,33.333333333333336,74.11575243838003
zscore,EW,114260,KODEX 국고채3년 (채권),2999,1.2611023363623228,1.96845750286061,2.035526166980124,-5.914997999338755,52.384128042680885,33.333333333333336,7.815348231243824
zscore,EW,153130,KODEX 단기채권 (현금성),2999,1.252656160077928,1.9108955479877565,0.2723544644504349,-0.4656423791120745,69.72324108036013,33.333333333333336,7.510626712960489
zscore,HSI_state5_overlay,069500,KODEX 200 (주식),2999,7.161101632951513,17.989199256124188,20.667334923157547,-38.088112472160184,53.78459486495498,28.712348560631323,52.382586261089855
zscore,HSI_state5_overlay,114260,KODEX 국고채3년 (채권),2999,1.2611023363623228,1.96845750286061,2.035526166980124,-5.914997999338755,52.384128042680885,35.643825719684344,8.808026781871426
zscore,HSI_state5_overlay,153130,KODEX 단기채권 (현금성),2999,1.252656160077928,1.9108955479877565,0.2723544644504349,-0.4656423791120745,69.72324108036013,35.643825719684344,8.051800710227758
