apply_date,strategy_return_gross,turnover,w_069500,lambda
2012-04-30,0.00017489999999999997,0.0,0.5,0.0
2012-05-31,-0.036040050000000004,0.0,0.5,0.0
2012-06-30,0.0031889500000000003,0.0,0.5,0.0
2012-07-31,0.0159082,0.0,0.5,0.0
2012-08-31,0.00207715,0.0,0.5,0.0
2012-09-30,0.025453299999999998,0.0,0.5,0.0
2012-10-31,-0.02163245,0.0,0.5,0.0
2012-11-30,0.00958755,0.0,0.5,0.0
2012-12-31,0.0216247,0.0,0.5,0.0
2013-01-31,-0.0090339,0.0,0.5,0.0
2013-02-28,0.02216025,0.0,0.5,0.0
2013-03-31,-0.0067842000000000015,0.0,0.5,0.0
2013-04-30,-0.0135315,0.0,0.5,0.0
2013-05-31,0.00889285,0.0,0.5,0.0
2013-06-30,-0.03829235,0.0,0.5,0.0
2013-07-31,0.0141351,0.0,0.5,0.0
2013-08-31,0.007624,0.0,0.5,0.0
2013-09-30,0.02199735,0.0,0.5,0.0
2013-10-31,0.01326335,0.0,0.5,0.0
2013-11-30,0.00341535,0.0,0.5,0.0
2013-12-31,-0.0027964500000000002,0.0,0.5,0.0
2014-01-31,-0.0200649,0.0,0.5,0.0
2014-02-28,0.01049395,0.0,0.5,0.0
2014-03-31,0.0013069000000000002,0.0,0.5,0.0
2014-04-30,-0.0036473499999999997,0.0,0.5,0.0
2014-05-31,0.0114626,0.0,0.5,0.0
2014-06-30,0.0025604499999999997,0.0,0.5,0.0
2014-07-31,0.02190695,0.0,0.5,0.0
2014-08-31,-0.008165450000000001,0.0,0.5,0.0
2014-09-30,-0.0131049,0.0,0.5,0.0
2014-10-31,-0.00956665,0.0,0.5,0.0
2014-11-30,0.00763255,0.0,0.5,0.0
2014-12-31,-0.01158075,0.0,0.5,0.0
2015-01-31,0.0165652,0.0,0.5,0.0
2015-02-28,0.0012517000000000001,0.0,0.5,0.0
2015-03-31,0.014098900000000001,0.0,0.5,0.0
2015-04-30,0.019223,0.0,0.5,0.0
2015-05-31,-0.00962235,0.0,0.5,0.0
2015-06-30,-0.01702635,0.0,0.5,0.0
2015-07-31,-0.015728950000000002,0.0,0.5,0.0
2015-08-31,-0.02235925,0.0,0.5,0.0
2015-09-30,0.012794900000000001,0.0,0.5,0.0
2015-10-31,0.0302413,0.0,0.5,0.0
2015-11-30,-0.0126806,0.0,0.5,0.0
2015-12-31,-0.0008225000000000003,0.0,0.5,0.0
2016-01-31,-0.015451099999999999,0.0,0.5,0.0
2016-02-29,0.0106739,0.0,0.5,0.0
2016-03-31,0.021958850000000002,0.0,0.5,0.0
2016-04-30,-0.0006833500000000001,0.0,0.5,0.0
2016-05-31,-0.0028398,0.0,0.5,0.0
2016-06-30,0.005034299999999999,0.0,0.5,0.0
2016-07-31,0.0157354,0.0,0.5,0.0
2016-08-31,0.008870850000000001,0.0,0.5,0.0
2016-09-30,0.0026465,0.0,0.5,0.0
2016-10-31,-0.00423575,0.0,0.5,0.0
2016-11-30,-0.0050235,0.0,0.5,0.0
2016-12-31,0.01981975,0.0,0.5,0.0
2017-01-31,0.017399999999999995,0.0,0.5,0.0
2017-02-28,0.0029545500000000002,0.0,0.5,0.0
2017-03-31,0.0225836,0.0,0.5,0.0
2017-04-30,0.012331050000000001,0.0,0.5,0.0
2017-05-31,0.03293955,0.0,0.5,0.0
2017-06-30,0.012106100000000002,0.0,0.5,0.0
2017-07-31,0.004284500000000001,0.0,0.5,0.0
2017-08-31,-0.009937199999999998,0.0,0.5,0.0
2017-09-30,0.01373135,0.0,0.5,0.0
2017-10-31,0.02470155,0.0,0.5,0.0
2017-11-30,-0.01115535,0.0,0.5,0.0
2017-12-31,0.004195450000000001,0.0,0.5,0.0
2018-01-31,0.012995300000000001,0.0,0.5,0.0
2018-02-28,-0.0283964,0.0,0.5,0.0
2018-03-31,0.00571675,0.0,0.5,0.0
2018-04-30,0.013489600000000001,0.0,0.5,0.0
2018-05-31,-0.0176609,0.0,0.5,0.0
2018-06-30,-0.015309350000000001,0.0,0.5,0.0
2018-07-31,-0.0019508499999999998,0.0,0.5,0.0
2018-08-31,0.00525275,0.0,0.5,0.0
