period,actual_cagr,null_mean_cagr,null_std_cagr,actual_cagr_percentile,actual_mdd,null_mean_mdd,null_std_mdd,actual_mdd_percentile,actual_sharpe,null_mean_sharpe,null_std_sharpe,actual_sharpe_percentile,actual_calmar,null_mean_calmar,null_std_calmar,actual_calmar_percentile
FULL,9.734105432409557,8.175123680946339,1.2045104069566894,92.30000000000001,-12.629641769729371,-18.088938891361884,2.9330371568436346,96.7,0.8052967886311722,0.7456996590256244,0.051096496774432267,88.5,0.770734879887107,0.4683368665433667,0.12343918677056658,98.0
IS,4.4774000742271,4.373460298386566,0.6202534931308213,54.1,-6.354962512487372,-10.48168255141044,1.870494658509685,98.7,0.7002182789107985,0.6408001199803631,0.08688945524786192,76.7,0.7045517680755945,0.4322222047027267,0.10629978395672753,98.2
OOS,18.647515793910728,14.540039141316473,3.181912513568758,93.7,-12.62964176972936,-18.047527079613296,3.0116541661293694,95.19999999999999,1.0339091576544448,0.9306446552064817,0.0874569358029974,90.4,1.476488101080188,0.8402745074061363,0.27788504331043273,97.1
