method,comparison,cagr_comment,mdd_comment,volatility_comment,turnover_comment,interpretation
rank,EW vs HSI_state5_overlay,CAGR 하락,MDD 악화,변동성 감소,HSI overlay는 상태 변화에 따라 turnover가 발생함,"HSI 5상태 overlay는 정상적으로 구현되었으나, 현재 θ 규칙 기준으로 EW 대비 성과 개선 여부는 CAGR, MDD, 변동성, Turnover를 함께 보아야 한다."
zscore,EW vs HSI_state5_overlay,CAGR 하락,MDD 악화,변동성 감소,HSI overlay는 상태 변화에 따라 turnover가 발생함,"HSI 5상태 overlay는 정상적으로 구현되었으나, 현재 θ 규칙 기준으로 EW 대비 성과 개선 여부는 CAGR, MDD, 변동성, Turnover를 함께 보아야 한다."
