checkpoint,progress_pct,period,metric,display_name,unit,actual,null_p50,actual_advantage_percentile,one_sided_p_value
700,70.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.313902742197694,93.71428571428572,0.06419400855920114
700,70.0,OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,18.124972587340494,16.282376335146406,21.857142857142858,0.7817403708987162
700,70.0,OOS,net10_mdd_pct,Net10bp MDD,%,-12.630488487971592,-18.433568984410126,94.28571428571428,0.05848787446504993
700,70.0,OOS,net10_sharpe,Net10bp Sharpe,ratio,1.0306396949095427,0.9385502226808944,90.85714285714286,0.09272467902995721
700,70.0,OOS,net10_calmar,Net10bp Calmar,ratio,1.470995842466373,0.8242294631125728,97.0,0.03138373751783167
700,70.0,OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.205289726865994,73.0,0.2710413694721826
700,70.0,OOS,net10_win_rate_pct,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,56.14285714285714,1.0
700,70.0,OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,58.023791830560576,56.32848108150529,37.42857142857143,0.6262482168330956
800,80.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.327743715000231,93.5,0.066167290886392
800,80.0,OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,18.124972587340494,16.265024476374887,22.0,0.7802746566791511
800,80.0,OOS,net10_mdd_pct,Net10bp MDD,%,-12.630488487971592,-18.447565710962415,94.25,0.05867665418227216
800,80.0,OOS,net10_sharpe,Net10bp Sharpe,ratio,1.0306396949095427,0.9386972202804409,90.25,0.0986267166042447
800,80.0,OOS,net10_calmar,Net10bp Calmar,ratio,1.470995842466373,0.8213838078343503,96.5,0.03620474406991261
800,80.0,OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.21513030571435,73.5,0.26591760299625467
800,80.0,OOS,net10_win_rate_pct,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,55.50000000000001,1.0
800,80.0,OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,58.023791830560576,56.353030991406754,37.625,0.6242197253433208
900,90.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.257815243913553,93.44444444444444,0.06659267480577137
900,90.0,OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,18.124972587340494,16.26730575986379,22.666666666666664,0.7735849056603774
900,90.0,OOS,net10_mdd_pct,Net10bp MDD,%,-12.630488487971592,-18.452304222041022,94.33333333333334,0.05771365149833518
900,90.0,OOS,net10_sharpe,Net10bp Sharpe,ratio,1.0306396949095427,0.9376201216496374,90.44444444444444,0.09655937846836848
900,90.0,OOS,net10_calmar,Net10bp Calmar,ratio,1.470995842466373,0.8163957527503348,96.44444444444444,0.03662597114317425
900,90.0,OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.201182075181067,73.44444444444444,0.2663706992230855
900,90.0,OOS,net10_win_rate_pct,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,55.111111111111114,1.0
900,90.0,OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,58.023791830560576,56.36732210370613,37.77777777777778,0.6226415094339622
1000,100.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.234543073531881,93.5,0.06593406593406594
1000,100.0,OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,18.124972587340494,16.26730575986379,22.400000000000002,0.7762237762237763
1000,100.0,OOS,net10_mdd_pct,Net10bp MDD,%,-12.630488487971592,-18.443083920278326,94.39999999999999,0.056943056943056944
1000,100.0,OOS,net10_sharpe,Net10bp Sharpe,ratio,1.0306396949095427,0.9366969765767525,90.4,0.0969030969030969
1000,100.0,OOS,net10_calmar,Net10bp Calmar,ratio,1.470995842466373,0.8146215714454963,96.39999999999999,0.03696303696303696
1000,100.0,OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.198454579986032,74.0,0.26073926073926074
1000,100.0,OOS,net10_win_rate_pct,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,54.7,1.0
1000,100.0,OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,58.023791830560576,56.3103258548133,37.8,0.6223776223776224
