rebalance_date,year,strategy,buy_turnover,sell_turnover,oneway_turnover,double_sided_turnover,turnover_from_backtest,turnover_diff,rebalance_month,trading_days,etf_069500_monthly_return_pct,etf_069500_daily_vol_pct,etf_069500_worst_day_pct,etf_069500_best_day_pct,etf_114260_monthly_return_pct,etf_114260_daily_vol_pct,etf_114260_worst_day_pct,etf_114260_best_day_pct,etf_153130_monthly_return_pct,etf_153130_daily_vol_pct,etf_153130_worst_day_pct,etf_153130_best_day_pct
2014-03-31,2014,lambda_0.1,0.0151776238577352,0.0151776238577352,0.0151776238577352,0.0303552477154705,0.0151776238577352,0.0,2014-03-31,2,0.4825737265415464,0.3412311544599901,0.0,0.4825737265415464,0.02256363972021891,0.12914773001840826,-0.07999835900801555,0.10264411233371629,0.016601000486970996,0.011738680018818368,0.0,0.016601000486970996
2014-04-30,2014,lambda_0.1,0.0077095895385287,0.0077095895385285,0.0077095895385286,0.0154191790770573,0.0077095895385286,0.0,2014-04-30,22,-0.9459590569515841,0.47906437592792234,-1.4558208811800366,0.75724690107557,0.18251917476732604,0.06855515671072886,-0.10855094726062164,0.1290534035274682,0.22905578116878544,0.008096121936065948,0.0,0.028712783814821563
2014-05-31,2014,lambda_0.1,0.0142938753247655,0.0142938753247656,0.0142938753247655,0.0285877506495311,0.0142938753247655,0.0,2014-05-31,19,1.91978059650324,0.680260616298033,-1.0195331110052441,1.367848212972489,0.48105463552432504,0.1958809973705559,-0.5337750782256623,0.6188831318364896,0.18216343924575273,0.006670824927793504,0.0,0.024283632831467727
2014-06-30,2014,lambda_0.1,0.0128644877922889,0.012864487792289,0.012864487792289,0.025728975584578,0.012864487792289,0.0,2014-06-30,19,-3.3306690738754696e-14,0.684221538591666,-1.4532638084202354,1.1060222178912449,0.6315446359450361,0.071404709702162,-0.08710448486812794,0.1850947848018869,0.21819864893160013,0.007543694682754139,0.0,0.024239219056432226
2014-07-31,2014,lambda_0.1,0.0084702907735874,0.0084702907735874,0.0084702907735874,0.0169405815471748,0.0084702907735874,0.0,2014-07-31,23,3.829705444236242,0.5416208100983289,-0.802863223060557,1.2261072261072314,0.6377034577698781,0.08070174419360789,-0.08036162732295571,0.22576548610131475,0.3100911580035115,0.009206661934789993,-0.00219310269203854,0.039524823785153096
2014-08-31,2014,lambda_0.1,0.0124202351117541,0.012420235111754,0.012420235111754,0.0248404702235081,0.012420235111754,0.0,2014-08-31,20,-1.8974453905960864,0.6226737053333775,-1.5649231636825078,0.8282063416942709,0.28363943593976426,0.04824863450919364,-0.07435990192531383,0.09648435144424816,0.19293379959002266,0.012621637397783285,-0.02847224503652601,0.03943433635298366
2014-09-30,2014,lambda_0.1,0.0088217883994212,0.0088217883994212,0.0088217883994212,0.0176435767988425,0.0088217883994212,0.0,2014-09-30,19,-3.2691763373903338,0.4814517728723515,-1.1985161228954655,0.9145319607373636,0.8204284682660656,0.0776244436504025,-0.07961624967656178,0.2224805580052891,0.24507926782564304,0.03466763975245116,-0.07427067291414513,0.1180986123413108
2014-10-31,2014,lambda_0.1,0.0579396095594791,0.0579396095594791,0.0579396095594791,0.1158792191189583,0.0579396095594791,0.0,2014-10-31,21,-2.5262131187515635,0.8559370327761591,-1.5512048192771077,1.8627803150818467,0.7640118581006661,0.09498180337717628,-0.06747772242839956,0.31891292290626705,0.2313829496959796,0.009046017916251847,-0.005446089163374523,0.03601715726400112
2014-11-30,2014,lambda_0.1,0.0521456486035312,0.0521456486035312,0.0521456486035312,0.1042912972070625,0.0521456486035312,0.0,2014-11-30,20,1.2708260369240332,0.5283994322817165,-0.8605593635863329,0.9508557701931819,0.30605193010171394,0.07738299256336323,-0.1893341748185562,0.1241697380609752,0.16660314694831868,0.008350358272567271,-0.008705019531884961,0.026128990114537842
2014-12-31,2014,lambda_0.1,0.0230689162568218,0.0230689162568218,0.0230689162568218,0.0461378325136437,0.0230689162568218,0.0,2014-12-31,21,-2.430709945160814,0.707733002650517,-1.4780029658922444,1.5021789284798803,0.1003937007874045,0.08538912442474104,-0.18136298223825342,0.11057360055286569,0.12610340479193294,0.007357951048002276,-0.014128284826220305,0.015215902792120595
