strategy,avg_annual_buy_turnover_pct,avg_annual_sell_turnover_pct,avg_annual_oneway_turnover_pct,max_annual_oneway_turnover_pct,max_annual_double_sided_turnover_pct
lambda_0.1,27.991489400789224,27.991489400789224,27.991489400789224,39.850726463309236,79.70145292661847
asym_up0.1_down0.3,49.28987239518087,49.28987239518087,49.28987239518087,62.7824606178082,125.5649212356164
dynamic_v1_macro,50.75175284730795,50.75175284730795,50.75175284730795,82.56820810700272,165.13641621400544
dynamic_v1,56.593487883551546,56.593487883551546,56.593487883551546,90.33997561682528,180.67995123365057
lambda_0.3,78.49541731755919,78.49541731755919,78.49541731755919,125.98412740192657,251.96825480385314
