strategy,months,cagr_pct,ann_vol_pct,mdd_pct,sharpe,sharpe_geom,sortino,calmar,win_rate_pct,avg_turnover_pct,max_turnover_pct,segment,tail_strategy_avg_pct
up0.10_down0.10,105,4.539569627422346,6.9464773446412265,-8.216032251816918,0.6744221453188134,0.6535067203414031,1.1541955743112142,0.5525257798761016,60.952380952380956,2.2312777219548567,6.018832608679937,IS,-3.031088455042848
up0.10_down0.10,66,15.494124515147867,15.922465878128664,-14.744180174515332,0.9847192203956646,0.9730983023446655,2.0782295441863035,1.0508637531389355,57.57575757575758,2.811942124342097,5.358646829370604,OOS,-4.730041743575699
up0.10_down0.10,171,8.638798542453795,11.351523784634693,-14.744180174515332,0.7865263175620656,0.7610254540581756,1.5552941368027249,0.5859124373280232,59.64912280701754,2.455393807086774,6.018832608679937,FULL,-3.684708021142782
up0.30_down0.30,105,4.654731323213901,7.292086902639529,-6.985548875815817,0.6607267653995091,0.63832636464179,1.170312898005582,0.6663372350494494,62.857142857142854,6.491892829130225,18.93388874932591,IS,-2.9868804613027455
up0.30_down0.30,66,16.53947985019073,17.045181953598714,-15.219711332556985,0.9838561042032928,0.9703316688091314,1.8240629220291484,1.0867144250502692,57.57575757575758,7.51185625310173,20.011915215340103,OOS,-5.344170866954225
up0.30_down0.30,171,9.090997384867894,12.10191122789447,-15.219711332556995,0.7793068521339414,0.7512034432969127,1.407152230973674,0.5973173331757637,60.81871345029239,6.885562922592911,20.011915215340103,FULL,-3.8327645752824684
up0.10_down0.30,105,4.001352077924247,5.372620895878398,-5.678424505701618,0.7578577885879697,0.7447672477680086,1.2631222297716083,0.7046588492823233,63.8095238095238,4.018567495608678,16.959821575455,IS,-2.183277603182836
up0.10_down0.30,66,11.529764828122314,11.117915802955734,-8.97574764098037,1.0390015923101685,1.0370437258624576,1.93878020492528,1.2845464566629665,60.60606060606061,4.809068164981848,13.429950503411813,OOS,-3.2477948795880507
up0.10_down0.30,171,6.844880001046882,8.126006478341347,-8.975747640980359,0.8563421794535232,0.8423424248172684,1.5422973651801841,0.7625971980089298,62.57309941520468,4.32367301712113,16.959821575455,FULL,-2.5437938714013413
up0.10_down0.50,105,3.698590632858756,4.762257436786652,-5.495289098772426,0.7872146673800007,0.7766465131197089,1.1886286646793764,0.6730475078526753,64.76190476190476,4.909970837954504,27.993450871875,IS,-1.7810754216102973
up0.10_down0.50,66,9.224771369668261,8.689207844887745,-7.150243006851198,1.0611161119355137,1.0616354832731516,1.8099441561675509,1.2901339661923794,62.121212121212125,5.781739948213695,21.519558613832725,OOS,-2.63962877040057
up0.10_down0.50,171,5.7975724566782905,6.583122702179889,-7.150243006851198,0.8902559248645983,0.8806720942264259,1.45598628698409,0.8108217372644804,63.74269005847953,5.246443126124718,27.993450871875,FULL,-2.04851614888433
up0.20_down0.30,105,4.499923068066147,6.625910166264573,-6.280171812655311,0.6979285546500215,0.6791403679116021,1.2387433046085274,0.7165286559514589,62.857142857142854,5.52274508246045,18.431861136528806,IS,-2.689600040704404
up0.20_down0.30,66,15.050654964048626,15.097113094690295,-12.620365053385296,1.005371927561034,0.9969227142732335,1.8732792923874348,1.1925689075064771,59.09090909090909,6.541429184670925,18.212872255890154,OOS,-4.55988479542802
