Month,asset_count,p_wave_avg,s_wave_avg,large_up_avg,large_down_avg,two_sided_shock_ratio_avg,vol_spike_share,high_vol_mixed_share,risk_score_avg,overheat_score_avg,recovery_score_avg,MonthDate
2014-03,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-03-01
2014-04,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-04-01
2014-05,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-05-01
2014-06,10,0.4,0.1,0.1,0.0,0.0,0.5,0.0,0.6,1.3,2.2,2014-06-01
2014-07,10,7.6,2.2,1.9,0.3,0.05,0.7,0.1,2.9,4.8,2.2,2014-07-01
2014-08,10,7.1,2.3,1.5,0.8,0.175,0.5,0.4,3.3,4.7,2.2,2014-08-01
2014-09,10,5.4,3.5,2.3,1.2,0.17333333333333334,0.6,0.3,3.2,4.6,2.0,2014-09-01
2014-10,10,5.5,3.8,2.0,1.8,0.19944444444444445,0.8,0.5,3.9,5.0,2.3,2014-10-01
2014-11,10,6.2,2.3,1.2,1.1,0.12333333333333334,0.4,0.2,2.5,5.0,2.9,2014-11-01
2014-12,10,6.9,3.6,1.7,1.9,0.28523809523809524,0.9,0.7,5.2,4.8,1.8,2014-12-01
2015-01,10,6.6,3.7,2.3,1.4,0.26023809523809527,0.8,0.7,3.8,5.8,2.5,2015-01-01
2015-02,10,3.7,1.3,0.7,0.6,0.12,0.1,0.1,1.3,2.8,3.0,2015-02-01
2015-03,10,5.5,1.2,1.1,0.1,0.05,0.2,0.0,1.6,3.8,3.2,2015-03-01
2015-04,10,6.3,2.3,1.3,1.0,0.16999999999999998,0.7,0.5,3.6,4.4,2.0,2015-04-01
2015-05,10,5.1,3.9,2.1,1.8,0.25833333333333336,0.7,0.7,3.8,5.5,2.1,2015-05-01
2015-06,10,5.9,2.0,1.0,1.0,0.18333333333333332,0.4,0.2,3.6,3.0,1.9,2015-06-01
2015-07,10,6.0,2.3,0.9,1.4,0.10333333333333332,0.5,0.4,3.9,3.3,2.4,2015-07-01
2015-08,10,5.6,3.1,1.5,1.6,0.20833333333333331,0.7,0.4,4.3,4.4,1.9,2015-08-01
2015-09,10,4.7,3.1,2.1,1.0,0.25,0.7,0.4,3.9,4.4,2.2,2015-09-01
2015-10,11,4.818181818181818,1.2727272727272727,1.0,0.2727272727272727,0.06818181818181818,0.2727272727272727,0.18181818181818182,1.6363636363636365,3.3636363636363638,3.0,2015-10-01
2015-11,11,6.090909090909091,1.6363636363636365,0.5454545454545454,1.0909090909090908,0.10909090909090909,0.5454545454545454,0.36363636363636365,3.5454545454545454,3.090909090909091,1.8181818181818181,2015-11-01
2015-12,11,5.7272727272727275,2.6363636363636362,1.7272727272727273,0.9090909090909091,0.15454545454545454,0.5454545454545454,0.36363636363636365,2.727272727272727,4.363636363636363,2.272727272727273,2015-12-01
2016-01,11,5.909090909090909,3.272727272727273,1.3636363636363635,1.9090909090909092,0.21515151515151515,0.45454545454545453,0.45454545454545453,3.6363636363636362,4.0,2.3636363636363638,2016-01-01
2016-02,11,4.454545454545454,3.3636363636363638,2.0,1.3636363636363635,0.2545454545454545,0.8181818181818182,0.5454545454545454,3.8181818181818183,4.636363636363637,2.0,2016-02-01
2016-03,11,5.181818181818182,1.7272727272727273,1.1818181818181819,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.18181818181818182,2.090909090909091,3.272727272727273,3.0,2016-03-01
2016-04,11,5.181818181818182,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.8181818181818181,2.8181818181818183,2.909090909090909,2016-04-01
2016-05,11,6.0,1.2727272727272727,1.0,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,2.272727272727273,3.8181818181818183,2.5454545454545454,2016-05-01
2016-06,11,5.545454545454546,3.727272727272727,2.272727272727273,1.4545454545454546,0.2318181818181818,0.6363636363636364,0.45454545454545453,4.2727272727272725,5.090909090909091,2.0,2016-06-01
2016-07,11,5.363636363636363,1.3636363636363635,0.9090909090909091,0.45454545454545453,0.18181818181818182,0.0,0.0,1.8181818181818181,3.1818181818181817,3.090909090909091,2016-07-01
2016-08,11,6.636363636363637,1.5454545454545454,0.7272727272727273,0.8181818181818182,0.13636363636363635,0.09090909090909091,0.09090909090909091,3.5454545454545454,3.0,2.5454545454545454,2016-08-01
2016-09,11,6.818181818181818,2.6363636363636362,1.3636363636363635,1.2727272727272727,0.2636363636363636,0.7272727272727273,0.6363636363636364,4.636363636363637,4.636363636363637,1.8181818181818181,2016-09-01
2016-10,11,5.2727272727272725,2.272727272727273,0.8181818181818182,1.4545454545454546,0.06688311688311689,0.36363636363636365,0.2727272727272727,3.727272727272727,2.6363636363636362,2.272727272727273,2016-10-01
2016-11,11,5.909090909090909,4.545454545454546,1.9090909090909092,2.6363636363636362,0.27294372294372293,1.0,0.8181818181818182,5.636363636363637,4.2727272727272725,1.1818181818181819,2016-11-01
2016-12,11,6.090909090909091,1.8181818181818181,1.3636363636363635,0.45454545454545453,0.06818181818181818,0.09090909090909091,0.09090909090909091,2.1818181818181817,3.727272727272727,2.909090909090909,2016-12-01
2017-01,11,6.545454545454546,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.045454545454545456,0.0,0.0,2.090909090909091,2.3636363636363638,2.727272727272727,2017-01-01
