Date,ticker,return_from_price,return_existing_decimal,diff,abs_diff
2023-10-31,069500,-0.06436350039112604,-0.064364,4.996088739661619e-07,4.996088739661619e-07
2018-12-31,069500,-0.02135450185194321,-0.021355,4.981480567906038e-07,4.981480567906038e-07
2017-11-30,069500,-0.025168502074541355,-0.025169,4.979254586458259e-07,4.979254586458259e-07
2018-10-31,114260,0.003971496311690581,0.003971,4.963116905813345e-07,4.963116905813345e-07
2013-07-31,114260,0.001957503901354407,0.001958,-4.960986455929996e-07,4.960986455929996e-07
2025-12-31,114260,-0.010412494993992771,-0.010412,-4.94993992771961e-07,4.94993992771961e-07
2013-01-31,114260,0.0038054946501027143,0.003805,4.946501027144716e-07,4.946501027144716e-07
2026-02-28,114260,0.006493506493506551,0.006494,-4.935064934485922e-07,4.935064934485922e-07
2019-10-31,114260,-0.0044725072349381945,-0.004473,4.927650618059484e-07,4.927650618059484e-07
2015-09-30,153130,0.0014805103133201936,0.001481,-4.896866798063341e-07,4.896866798063341e-07
2013-06-30,114260,-0.0027815104661169654,-0.002782,4.89533883034788e-07,4.89533883034788e-07
2020-05-31,153130,0.0013695108003854983,0.00137,-4.89199614501579e-07,4.89199614501579e-07
2023-03-31,153130,0.004901487349722622,0.004901,4.873497226219256e-07,4.873497226219256e-07
2018-08-31,069500,0.005200514106080911,0.005201,-4.858939190886466e-07,4.858939190886466e-07
2014-02-28,153130,0.0018944855323803633,0.001894,4.855323803632568e-07,4.855323803632568e-07
2021-06-30,069500,0.026543515464990453,0.026544,-4.845350095490641e-07,4.845350095490641e-07
2019-10-31,069500,0.010927516722028852,0.010928,-4.832779711486102e-07,4.832779711486102e-07
2017-09-30,114260,-0.0024174818224239614,-0.002417,-4.818224239614907e-07,4.818224239614907e-07
2015-03-31,069500,0.02006651840943041,0.020067,-4.815905695898515e-07,4.815905695898515e-07
2013-10-31,069500,0.02396952070336078,0.02397,-4.792966392212772e-07,4.792966392212772e-07
2018-12-31,153130,0.001530520746934494,0.001531,-4.792530655061116e-07,4.792530655061116e-07
2021-04-30,114260,0.000948521169267913,0.000949,-4.788307320870069e-07,4.788307320870069e-07
2018-09-30,153130,0.0009884770622856642,0.000988,4.77062285664286e-07,4.77062285664286e-07
2025-09-30,153130,0.001408476390484692,0.001408,4.7639048469201237e-07,4.7639048469201237e-07
2013-12-31,069500,-0.01039347526729506,-0.010393,-4.7526729506086607e-07,4.7526729506086607e-07
2023-02-28,153130,0.001668472030756707,0.001668,4.7203075670691937e-07,4.7203075670691937e-07
2016-05-31,114260,0.00026747192654985597,0.000267,4.719265498559803e-07,4.719265498559803e-07
2024-03-31,114260,0.003881528984895688,0.003882,-4.710151043120503e-07,4.710151043120503e-07
2018-03-31,114260,0.0036714707471787733,0.003671,4.707471787735243e-07,4.707471787735243e-07
2020-04-30,069500,0.08990746998597787,0.089907,4.6998597787173413e-07,4.6998597787173413e-07
