strategy_name,months,start_return_month,end_return_month,total_return,CAGR,annual_volatility,MDD,Sharpe,Sortino,Calmar,WinRate,avg_monthly_return,best_month,worst_month,total_return_pct,CAGR_pct,annual_volatility_pct,MDD_pct,WinRate_pct
EW_1_3,167,2012-08,2026-06,31042791260.132305,4.674313786239303,8.049259648457733,-192.7662766531631,0.8480006290785793,1.5797425649630705,0.024248607523034826,0.6047904191616766,0.5688147704590818,11.706299999999999,-6.985,3104279126013.2305,467.4313786239303,804.9259648457733,-19276.627665316308,60.47904191616767
HSI_main_v2b_baseline,167,2012-08,2026-06,-33318436.271941878,,7.1126349517063945,-542.2072329004137,0.8073040386781146,1.3214470121470112,,0.6167664670658682,0.4785049101796407,11.706299999999999,-6.985,-3331843627.1941876,,711.2634951706394,-54220.72329004137,61.67664670658682
