Date,lambda_0.1,lambda_0.3,lambda_0.5,lambda_0.7,lambda_1.0
2012-04-30,0.00017489999999999997,0.00017489999999999997,0.00017489999999999997,0.00017489999999999997,0.00017489999999999997
2012-05-31,-0.036040050000000004,-0.036040050000000004,-0.036040050000000004,-0.036040050000000004,-0.036040050000000004
2012-06-30,0.0031889500000000003,0.0031889500000000003,0.0031889500000000003,0.0031889500000000003,0.0031889500000000003
2012-07-31,0.0159082,0.0159082,0.0159082,0.0159082,0.0159082
2012-08-31,0.0019715749999999997,0.001760425,0.001549275,0.0013381250000000001,0.0010213999999999998
2012-09-30,0.027244974,0.030268846,0.03254675,0.034078686,0.0349779
2012-10-31,-0.024290263150000005,-0.028066056050000003,-0.030186643750000006,-0.031129513450000004,-0.0313801
2012-11-30,0.010419353335,0.011126805734999998,0.011001834374999995,0.010453320535,0.00938755
2012-12-31,0.024122907562,0.026484519766,0.027222281249999997,0.027720749134000005,0.0292909
2013-01-31,-0.0109736392741,-0.0127112051349,-0.013333032812500001,-0.013716813442899998,-0.014003799999999999
2013-02-28,0.025184760035685,0.027657225627195,0.028436778515625,0.028788314124255,0.028926599999999997
2013-03-31,-0.009171925384756002,-0.010900101891636,-0.011341820312499997,-0.011476225186996003,-0.011500600000000001
2013-04-30,-0.016346256488875104,-0.017351230072251304,-0.0166113294921875,-0.015515286138859701,-0.0137315
2013-05-31,0.010942197911182708,0.011006901713360544,0.010061022509765625,0.009302353200119545,0.00889285
2013-06-30,-0.04517967877803189,-0.04713180624629617,-0.04749817316894531,-0.04911269549739932,-0.0532037
2013-07-31,0.01490953913400186,0.01235545307974228,0.009281933227539063,0.006274601201561891,0.0013377999999999997
2013-08-31,0.007840162728472268,0.0070503186146700265,0.006517301123046876,0.006425894797997046,0.0070739999999999996
2013-09-30,0.022872354928287465,0.020624199601440633,0.020099673007202147,0.020856345977314533,0.02199735
2013-10-31,0.014192756963868501,0.013972487558214286,0.014765039906311036,0.015918466982600923,0.017341699999999998
2013-11-30,0.004250371158066686,0.0045267547024961715,0.005010653209686279,0.00543404531039336,0.0057022
2013-12-31,-0.004049888233488812,-0.004762570483143091,-0.00545444963722229,-0.005795767888782472,-0.005873199999999999
2014-01-31,-0.023963641381515237,-0.02653083201383562,-0.028322490782546995,-0.02891763780526183,-0.028995599999999996
2014-02-28,0.011098001829654001,0.010432726444535662,0.009294408139324188,0.007793292440399151,0.005397250000000001
2014-03-31,0.001130389805641571,0.0010767541850681623,0.0009976720578193665,0.0008312006003346098,0.00035519999999999974
2014-04-30,-0.004284839165422428,-0.004194706022092904,-0.00408288621351719,-0.0040318464805840564,-0.00384735
2014-05-31,0.012443417419891715,0.012759846933625698,0.013116699895858765,0.013555187200750605,0.0142514
2014-06-30,0.0020079785082870766,0.0018124101137024866,0.0016553762818634506,0.0015375023441054655,0.0014941999999999996
2014-07-31,0.024327059843713167,0.024724243042066687,0.024432631603106856,0.023597195841527065,0.021706950000000003
2014-08-31,-0.01009129692536187,-0.01081428527575702,-0.011231712917010486,-0.011635011243486098,-0.0126669
2014-09-30,-0.01633231202901481,-0.016511427585358306,-0.015930731713414192,-0.015066148123870112,-0.0133049
2014-10-31,-0.010603422079891203,-0.007587577766269372,-0.0042161357165541495,-0.0009720621462045915,0.0033572999999999997
2014-11-30,0.007144687690779806,0.0050895036546765755,0.003501977013504319,0.0025080611303693705,0.0020848999999999998
2014-12-31,-0.011392453993700383,-0.009396907205038945,-0.009820294614870754,-0.01213397992933098,-0.017375599999999998
2015-01-31,0.015319730733332058,0.012464896959156665,0.011611792946484033,0.011173655260681961,0.0088473
2015-02-28,0.0013291655318325782,0.0012055775124367252,0.0011871880439522212,0.001205669604544196,0.0012144
2015-03-31,0.013611157585988872,0.013783420782318404,0.014907701746785643,0.015811068804238684,0.0164077
2015-04-30,0.02064934302588481,0.02273542330850626,0.025645777822271627,0.027192837039032126,0.027669499999999996
2015-05-31,-0.010963724248298052,-0.012750182159566813,-0.014227102460774379,-0.014732786705470131,-0.014807999999999998
2015-06-30,-0.017288448985300214,-0.016713578994180037,-0.014987997678510657,-0.011987875226352387,-0.006918850000000002
2015-07-31,-0.016120924238278288,-0.015559812621516607,-0.014691568216079575,-0.014240294861989067,-0.016028950000000004
2015-08-31,-0.02052099062027607,-0.01515146827672207,-0.009886778757799704,-0.0052754421630962734,0.0010674999999999999
2015-09-30,0.010762798932015703,0.007506276407158582,0.005108112852986567,0.0036362096468399562,0.0029311999999999997
2015-10-31,0.023790348534085588,0.014019463762204972,0.009676779378358504,0.009152783431221853,0.011796000000000003
2015-11-30,-0.010643290710220405,-0.00956220918457848,-0.01104311870257574,-0.013592222886210568,-0.017403599999999998
2015-12-31,-0.00022220240846133427,0.0005060223859119875,0.0005577326318464932,0.000629434304297259,0.0013406
2016-01-31,-0.012388950212760746,-0.011085119944996892,-0.012280744933490724,-0.013471439660020087,-0.0157511
2016-02-29,0.00841829542823545,0.006724998037546232,0.005690917647586275,0.004400825612714976,0.0020482
2016-03-31,0.017843963297618566,0.017373383990702665,0.019710303114963922,0.022806168173441572,0.029609399999999998
2016-04-30,-0.0004587391539245686,-0.0006891872546303113,-0.001011489195967136,-0.0012420912608446407,-0.0012897
