hsi_state,state_valid,month_count,share_all_months,share_valid_months
risk_relief,True,66,0.38372093023255816,0.39285714285714285
neutral_watch,True,10,0.05813953488372093,0.05952380952380952
conflict,True,48,0.27906976744186046,0.2857142857142857
risk_warning,True,13,0.0755813953488372,0.07738095238095238
accident_zone,True,31,0.18023255813953487,0.18452380952380953
insufficient_data,False,4,0.023255813953488372,
