strategy,n_segments,n_test_months,wf_cagr_pct,wf_mdd_pct,wf_sharpe,wf_calmar
EW,8,86,10.924373429983314,-13.507129972516807,1.0407561256433542,0.808785689647714
HSI_baseline,8,86,8.191588371068415,-13.86162453004226,0.9781260679492021,0.5909544262517578
lambda_0.1,8,86,9.194981546847192,-11.547530936600115,1.0558259858086285,0.7962725189766348
lambda_0.3,8,86,8.818632439337382,-11.876078398295197,1.044237813291205,0.7425542459035375
dynamic_v1,8,86,9.124717658647107,-11.519822830668847,1.0461230398142285,0.7920883673969943
asym_up0.1_down0.3,8,86,8.289869574946529,-10.510737211478594,1.058551517895849,0.7887048651443123
asym_up0.1_down0.5,8,86,7.873951838795601,-9.960334486849865,1.0606678308662711,0.7905308651221692
asym_up0.2_down0.3,8,86,8.61057548819204,-11.31272161610648,1.0500377719841436,0.7611409332244806
