strategy,rebalance_month,rebalance_date,trade_date,trading_day_in_month,buy_turnover,sell_turnover,oneway_turnover,double_sided_turnover,069500,etf_069500_daily_return,etf_069500_month_to_date_return,114260,etf_114260_daily_return,etf_114260_month_to_date_return,153130,etf_153130_daily_return,etf_153130_month_to_date_return
asym_up0.1_down0.3,2014-03-31,2014-03-31,2014-03-27,1,0.0281689926525083,0.0281689926525083,0.0281689926525083,0.0563379853050166,20515,,0.0,48751,,0.0,90356,,0.0
asym_up0.1_down0.3,2014-03-31,2014-03-31,2014-03-28,2,0.0281689926525083,0.0281689926525083,0.0281689926525083,0.0563379853050166,20515,0.0,0.0,48712,-0.0007999835900801555,-0.0007999835900801555,90356,0.0,0.0
asym_up0.1_down0.3,2014-03-31,2014-03-31,2014-03-31,3,0.0281689926525083,0.0281689926525083,0.0281689926525083,0.0563379853050166,20614,0.004825737265415464,0.004825737265415464,48762,0.0010264411233371629,0.0002256363972021891,90371,0.00016601000486970996,0.00016601000486970996
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-01,1,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20630,0.0007761715339089648,0.0007761715339089648,48717,-0.0009228497600590746,-0.0009228497600590746,90371,0.0,0.0
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-02,2,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20690,0.002908385845855621,0.0036868147860678047,48703,-0.00028737401728351486,-0.0012099585742997299,90383,0.0001327859600979142,0.0001327859600979142
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-03,3,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20674,-0.0007733204446592756,0.00291064325215884,48698,-0.00010266308030304483,-0.0013124974365285036,90401,0.0001991524954914059,0.0003319649002446745
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-04,4,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20748,0.003579375060462464,0.006500436596488024,48758,0.0012320834531192038,-8.20310897831078e-05,90406,5.530912268669752e-05,0.00038729238361878693
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-07,5,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20703,-0.002168883747831085,0.0043174541573689496,48754,-8.203781943472155e-05,-0.00016406217956610458,90421,0.00016591819127054208,0.0005532748337411242
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-08,6,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20813,0.005313239627107169,0.009653633452993304,48758,8.204455019078516e-05,-8.203108978299678e-05,90425,4.4237511197531276e-05,0.0005975368204402809
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-09,7,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20843,0.001441406813049495,0.011108955079072613,48808,0.001025472742934408,0.0009433575325048515,90433,8.847110865350949e-05,0.0006860607938388164
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-10,8,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20899,0.0026867533464471904,0.01382555544775399,48776,-0.000655630224553394,0.00028710881424065526,90447,0.00015481074386558547,0.0008409777472861979
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-11,9,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20733,-0.007942963778171164,0.0057727757834482585,48835,0.0012096112842381324,0.0014970673885403851,90452,5.528099328899749e-05,0.0008963052306603103
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-14,10,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20800,0.0032315632084116697,0.00902299408169216,48825,-0.00020477116821948638,0.0012919896640828377,90460,8.844469995139548e-05,0.0009848292040588458
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-15,11,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20677,-0.005913461538461506,0.003056175414766882,48772,-0.0010855094726062164,0.0002050777244577695,90464,4.4218439089194206e-05,0.0010290911907582245
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-16,12,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20767,0.004352662378488192,0.007422140293005031,48813,0.0008406462724515062,0.0010458963947339583,90469,5.5270604881529906e-05,0.001084418674132337
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-17,13,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20733,-0.0016372128858285206,0.0057727757834484805,48813,0.0,0.0010458963947339583,90489,0.00022107020084227713,0.0013057286076287866
asym_up0.1_down0.3,2014-04-30,2014-04-30,2014-04-18,14,0.0089818231793143,0.0089818231793143,0.0089818231793143,0.0179636463586287,20890,0.0075724690107557,0.013388958959930308,48817,8.194538340200452e-05,0.0011279274845170661,90497,8.840853584413111e-05,0.001394252581027322
