method,strategy,signal_date,Date,hsi_state5,state_name_kr,state_reason,action,monthly_return,cumulative_return,running_max,drawdown
zscore,EW,2012-03-31,2012-04-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0015006768828879,1.0015006768828878,1.0015006768828878,0.0
zscore,EW,2012-04-30,2012-05-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.0226497180898505,0.9788169688846959,1.0015006768828878,-0.0226497180898505
zscore,EW,2012-05-31,2012-06-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0029937000336713662,0.9817472532774041,1.0015006768828878,-0.019723824517987376
zscore,EW,2012-06-30,2012-07-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.012929218886426567,0.9944404784061757,1.0015006768828878,-0.007049619276031427
zscore,EW,2012-07-31,2012-08-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.0024376468962339997,0.9968645731518518,1.0015006768828878,-0.004629156862345329
zscore,EW,2012-08-31,2012-09-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.017588847642714633,1.0143982722494396,1.0143982722494396,0.0
zscore,EW,2012-09-30,2012-10-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.013575138818670132,1.0006276748862344,1.0143982722494396,-0.013575138818670007
zscore,EW,2012-10-31,2012-11-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.006960021770225432,1.0075920652873327,1.0143982722494396,-0.006709600310156327
zscore,EW,2012-11-30,2012-12-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.015110596956189633,1.0228173828821443,1.0228173828821443,0.0
zscore,EW,2012-12-31,2013-01-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.005105456570753767,1.0175954331540276,1.0228173828821443,-0.005105456570753675
zscore,EW,2013-01-31,2013-02-28,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.015983739854600734,1.0338604138347913,1.0338604138347913,0.0
zscore,EW,2013-02-28,2013-03-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.003404690053070667,1.0303404395675446,1.0338604138347913,-0.003404690053070536
zscore,EW,2013-03-31,2013-04-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.008376797057387099,1.0217094868052683,1.0338604138347913,-0.011752966712839763
zscore,EW,2013-04-30,2013-05-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.005842287639656967,1.0276786075113509,1.0338604138347913,-0.005979343285338556
zscore,EW,2013-05-31,2013-06-30,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.0253800016945285,1.0015961227112822,1.0338604138347913,-0.031207589237152944
zscore,EW,2013-06-30,2013-07-31,accident_zone,강한 위험 악화,위험 악화 방향성과 신호 강도가 모두 높음,강한 방어전환,0.010102584369738533,1.0117148320453757,1.0338604138347913,-0.021420282170659055
zscore,EW,2013-07-31,2013-08-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.005953039605501233,1.0177376105100149,1.0338604138347913,-0.015594758353280835
zscore,EW,2013-08-31,2013-09-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.015636409030746964,1.0336513720739247,1.0338604138347913,-0.00020219534288123953
zscore,EW,2013-09-30,2013-10-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.009636739528166198,1.0436124011095327,1.0436124011095327,0.0
zscore,EW,2013-10-31,2013-11-30,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.0023225552066738,1.046036248525479,1.046036248525479,0.0
zscore,EW,2013-11-30,2013-12-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.0007731302831468331,1.0452275262244746,1.046036248525479,-0.0007731302831469611
zscore,EW,2013-12-31,2014-01-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.012654091485433934,1.0320011214845362,1.046036248525479,-0.013417438507247859
zscore,EW,2014-01-31,2014-02-28,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,0.0078089783081393,1.0400599958561842,1.046036248525479,-0.00571323668536261
zscore,EW,2014-02-28,2014-03-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0015961368006335334,1.041720073890437,1.046036248525479,-0.004126218992053232
zscore,EW,2014-03-31,2014-04-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.0017131378380782997,1.0399354638151697,1.046036248525479,-0.005832288048248091
zscore,EW,2014-04-30,2014-05-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.008550089929545066,1.0488270055517124,1.0488270055517124,0.0
zscore,EW,2014-05-31,2014-06-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0028531464179251333,1.0518194625656254,1.0518194625656254,0.0
zscore,EW,2014-06-30,2014-07-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.015966848898589802,1.0686137049930067,1.0686137049930067,0.0
zscore,EW,2014-07-31,2014-08-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.0047117386894943,1.0635786764550674,1.0686137049930067,-0.004711738689494149
zscore,EW,2014-08-31,2014-09-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.007346750431157199,1.0557648293552515,1.0686137049930067,-0.01202387315240283
zscore,EW,2014-09-30,2014-10-31,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,-0.005075081764150533,1.0504067365225591,1.0686137049930067,-0.01703793277718324
zscore,EW,2014-10-31,2014-11-30,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,0.0057837227968951,1.0564819979105968,1.0686137049930067,-0.011352752660503507
zscore,EW,2014-11-30,2014-12-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.007306045314910066,1.0487632925594752,1.0686137049930067,-0.018575854250027057
zscore,EW,2014-12-31,2015-01-31,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,0.012229000300218899,1.0615886191790438,1.0686137049930067,-0.006574018077008303
zscore,EW,2015-01-31,2015-02-28,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0011007385482829,1.0627571506945925,1.0686137049930067,-0.005480515803839903
zscore,EW,2015-02-28,2015-03-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.011063450561136333,1.074514911889796,1.074514911889796,0.0
zscore,EW,2015-03-31,2015-04-30,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.012825993075925699,1.0882966327096737,1.0882966327096737,0.0
zscore,EW,2015-04-30,2015-05-31,conflict,충돌 상태,ETF별 신호가 buy와 caution으로 동시에 나타남,소폭 방어,-0.005711751185508499,1.0820805531276094,1.0882966327096737,-0.005711751185508374
zscore,EW,2015-05-31,2015-06-30,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,-0.010995885369347664,1.0701821194050178,1.0882966327096737,-0.01664483079356205
zscore,EW,2015-06-30,2015-07-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.009907601939748031,1.059579180962917,1.0882966327096737,-0.026387522375453054
zscore,EW,2015-07-31,2015-08-31,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,-0.01436710473226503,1.0443560958978952,1.0882966327096737,-0.04037551481012491
zscore,EW,2015-08-31,2015-09-30,accident_zone,강한 위험 악화,위험 악화 방향성과 신호 강도가 모두 높음,강한 방어전환,0.009506901306588,1.0542846862305302,1.0882966327096737,-0.031252459538039346
zscore,EW,2015-09-30,2015-10-31,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,0.020307533412447464,1.0756946077223883,1.0882966327096737,-0.011579586491881733
zscore,EW,2015-10-31,2015-11-30,conflict,충돌 상태,ETF별 신호가 buy와 caution으로 동시에 나타남,소폭 방어,-0.0086408940506986,1.0663996445861514,1.0882966327096737,-0.020120422562553086
zscore,EW,2015-11-30,2015-12-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0003973234484021665,1.0668233501703133,1.0882966327096737,-0.019731093429826707
zscore,EW,2015-12-31,2016-01-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.009656431924371966,1.0565216431140632,1.0882966327096737,-0.029196993393700188
zscore,EW,2016-01-31,2016-02-29,risk_warning,위험 악화 우세,위험 악화 방향 우세,방어 강화,0.0079819359802726,1.064954731231172,1.0882966327096737,-0.021448105945512608
zscore,EW,2016-02-29,2016-03-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.015012506351088131,1.0809423708974013,1.0882966327096737,-0.006757589421150345
zscore,EW,2016-03-31,2016-04-30,conflict,충돌 상태,ETF별 신호가 buy와 caution으로 동시에 나타남,소폭 방어,-0.0001168782096144334,1.0808160322883944,1.0882966327096737,-0.0068736778158119405
