Date,R_ew,R_bm,R_base_gross,R_lambda_gross,R_lambda_net,saa_effect,timing_effect,lambda_effect,cost_effect,total_excess_vs_ew,residual_check
2012-04-30,0.001501,-0.0021038999999999993,0.00017489999999999997,0.0011031699999999999,0.0011031699999999999,-0.0036048999999999994,0.0022787999999999992,0.0009282700000000001,-0.0,-0.00039783000000000006,0.0
2012-05-31,-0.022649666666666665,-0.0526758,-0.036040050000000004,-0.029478762166666665,-0.029517262166666666,-0.030026133333333333,0.016635749999999998,0.006561287833333338,-3.85e-05,-0.0068675955,-2.6020852139652106e-18
2012-06-30,0.002993333333333333,0.00338,0.0031889500000000003,0.003121853483333333,0.003094903483333333,0.0003866666666666668,-0.00019104999999999993,-6.709651666666691e-05,-2.695e-05,0.00010157014999999988,-5.421010862427522e-20
2012-07-31,0.012929666666666667,0.0175747,0.0159082,0.015193054146666666,0.015174189146666666,0.004645033333333334,-0.0016664999999999996,-0.0007151458533333345,-1.8864999999999898e-05,0.0022445224799999986,-1.3010426069826053e-18
2012-08-31,0.0024376666666666665,0.0012214,0.0012214,0.0018810170361666665,0.0018090120361666665,-0.0012162666666666665,0.0,0.0006596170361666664,-7.20049999999999e-05,-0.0006286546305000001,-1.0842021724855044e-19
2012-09-30,0.017588666666666666,0.0349779,0.0349779,0.029385579752966663,0.029335176252966663,0.01738923333333333,0.0,-0.00559232024703333,-5.04034999999999e-05,0.011746509586299997,-3.469446951953614e-18
2012-10-31,-0.013575,-0.0313801,-0.0313801,-0.027373090395465,-0.027408372845465,-0.0178051,0.0,0.004007009604534999,-3.52824499999999e-05,-0.013833372845465,1.734723475976807e-18
2012-11-30,0.006960333333333332,0.0130202,0.00958755,0.011014771922327832,0.010979469637327832,0.006059866666666665,-0.003432649999999999,0.0014272219223278326,-3.53022849999999e-05,0.004019136303994499,8.673617379884035e-19
2012-12-31,0.015110333333333332,0.0294909,0.0294909,0.026254047573679433,0.026218759173179434,0.014380566666666665,0.0,-0.0032368524263205645,-3.52884005e-05,0.011108425839846102,1.734723475976807e-18
2013-01-31,-0.005105666666666666,-0.014003799999999999,-0.014003799999999999,-0.012577558066003657,-0.012602259946353656,-0.008898133333333332,0.0,0.001426241933996342,-2.47018803499999e-05,-0.00749659327968699,0.0
2013-02-28,0.015983999999999998,0.028926599999999997,0.028926599999999997,0.02755097992423046,0.027533688607985458,0.012942599999999999,0.0,-0.0013756200757695355,-1.7291316245e-05,0.01154968860798546,-3.469446951953614e-18
