final_decision,source_type,strategy_name,report_strategy_name,combo_id,theta_common,lambda_value,CAGR_pct,MDD_pct,Sharpe,Calmar,avg_turnover_pct,max_turnover_pct,CAGR_cost_drag_20bp_pct,selection_score,decision_reason
final_candidate,lambda,lambda_0.1,Lambda 0.1,,,0.1,8.622537346338577,-14.787851689232069,0.7907921386160403,0.5830824874053322,2.515008210776583,6.01706408099328,0.0651457923034559,0.8556521739130435,"Turnover, 비용, MDD, Sharpe, Calmar, robustness proxy를 통과함"
final_candidate,lambda,lambda_0.3,Lambda 0.3,,,0.3,8.994864017540504,-15.334823762919324,0.7748814571753683,0.5865645511551763,6.949680986908527,20.0119152153401,0.1805490617561069,0.8486956521739131,"Turnover, 비용, MDD, Sharpe, Calmar, robustness proxy를 통과함"
exclude_risk_metric,lambda,lambda_0.5,Lambda 0.5,,,0.5,8.433413903604038,-17.6884260574139,0.7244390476269572,0.4767758237070092,11.137830846511516,34.82986662493079,0.2876795877287286,0.7434782608695653,"MDD, Sharpe, Calmar 중 하나 이상이 방어형 기준을 통과하지 못함"
exclude_turnover,lambda,lambda_0.7,Lambda 0.7,,,0.7,7.866685370749638,-20.18933895852881,0.6673265609137708,0.3896455147396702,15.40610277578537,48.98978074297788,0.3956211141423749,0.6904347826086958,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,signal_combo,combo_02_trend_only,combo_02_trend_only,combo_02_trend_only,,,8.279103565314605,-21.271734680466125,0.6502589191231333,0.3892067896520598,20.668604651162788,70.0,0.5314768202981721,0.6069565217391305,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,theta,theta_0.30,Theta 0.30,,0.3,,7.520774788094386,-21.17877238175825,0.624463317250634,0.355109099457162,16.918604651162788,70.0,0.4316837031273168,0.591304347826087,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,signal_combo,combo_04_core5_plus_relative_speed,combo_04_core5_plus_relative_speed,combo_04_core5_plus_relative_speed,,,7.430318055857765,-20.256501085765365,0.599544951111888,0.3668115250702992,21.01744186046512,70.0,0.5361675959347778,0.5226086956521739,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,theta,theta_0.25,Theta 0.25,,0.25,,7.183934288976657,-21.202750062851084,0.6010134595307817,0.3388208731264292,20.261627906976734,70.0,0.516257825582711,0.4547826086956522,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,theta,theta_0.20,Theta 0.20,,0.2,,7.429242192667029,-20.73724511402556,0.6013704537002578,0.3582559858754955,22.383720930232556,70.0,0.5715315260541143,0.4513043478260869,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,baseline,HSI_final_baseline_overlay,HSI Baseline,,,,7.449790333999728,-23.861954954928844,0.5921065361175394,0.3122036877561419,22.093023255813957,70.0,0.5644587409816326,0.3278260869565217,평균 또는 최대 Turnover가 후보 기준을 초과함
