Date,R_ew,R_lambda_net,exposure_effect,pure_timing_effect,lambda_effect,cost_effect,total_excess_vs_ew,residual_check
2014-05-31,0.0086099955709111,0.0086099955709111,-0.0008484752165152159,0.0008484752165152159,0.0,-0.0,0.0,0.0
2014-06-30,0.0028324776162556,0.0028324776162556,0.00022698621993281202,-0.00022698621993281202,0.0,-0.0,0.0,0.0
2014-07-31,0.015925000200032,0.015925000200032,-0.0017928290043511185,0.0017928290043511185,0.0,-0.0,0.0,0.0
2014-08-31,-0.0047362405168877,-0.0047362405168877,0.0011410075113161243,-0.0011410075113161243,0.0,-0.0,0.0,0.0
2014-09-30,-0.007345562004328598,-0.007345562004328598,0.002031168191945362,-0.002031168191945362,0.0,-0.0,0.0,0.0
2014-10-31,-0.0051027277031825335,-0.004371750072520063,0.001615513840867747,0.0009044115946738235,-0.0017639478048790999,-2.4999999999999994e-05,0.0007309776306624709,3.2526065174565133e-19
2014-11-30,0.005811603713246799,0.005354441851427227,-0.0005526772799665862,-0.00030940480203257587,0.00042242022017958947,-1.7499999999999988e-05,-0.00045716186181957164,9.215718466126788e-19
2014-12-31,-0.007347376131938267,-0.006603298478798,0.0013591011153434045,-0.0013591011153434045,0.0007568276531402662,-1.2750000000000012e-05,0.0007440776531402668,6.505213034913027e-19
2015-01-31,0.012246282425131531,0.010800847532826884,-0.0012422801952577025,-0.00185811140316323,0.001686031706116284,-3.107500000000002e-05,-0.0014454348923046475,1.0842021724855044e-18
2015-02-28,0.0010933785292694667,0.0009907783163507142,-0.0001058426351892187,0.0001058426351892187,-8.435271291875227e-05,-1.8247499999999974e-05,-0.00010260021291875251,-2.710505431213761e-19
2015-03-31,0.010991256897943499,0.010579954226849224,-0.0007143712000564754,0.0007143712000564754,-0.0003985294210942746,-1.2773249999999987e-05,-0.00041130267109427444,1.0842021724855044e-19
2015-04-30,0.0128969181851502,0.012026288008734395,-0.002206561358540693,0.002206561358540693,-0.0008616889014158048,-8.941274999999971e-06,-0.0008706301764158045,2.168404344971009e-19
2015-05-31,-0.005767184937908334,-0.004783020590605937,0.001352887810544427,0.0007573859110312811,-0.0011073682667733116,-1.8741107499999993e-05,0.000984164347302397,4.336808689942018e-19
2015-06-30,-0.010968283928866965,-0.008625132266002299,0.0018706285482667615,0.002797948683304984,-0.0022973067934570794,-2.811877524999998e-05,0.002343151662864666,-4.336808689942018e-19
2015-07-31,-0.009890319287733765,-0.006805742762346359,0.0018973984492736632,0.002837989133528982,-0.0016311279147402378,-1.9683142675000016e-05,0.0030845765253874067,-4.336808689942018e-19
2015-08-31,-0.014377674984556698,-0.00797788171374837,0.0026241391748235195,0.00883684474256809,-0.00501741244671078,-4.377819987249999e-05,0.006399793270808328,-1.734723475976807e-18
2015-09-30,0.009462585327199265,0.006709765839904713,-0.0008986727184903104,-0.0030262995819246357,0.0012027975530311417,-3.0644739910750006e-05,-0.002752819487294552,2.168404344971009e-18
2015-10-31,0.020356161726872768,0.011054781101994749,-0.00323894525018395,-0.004844576228907616,-0.001209310463723976,-8.548682062475027e-06,-0.009301380624878019,-3.469446951953614e-18
2015-11-30,-0.008639018787316167,-0.005754386328326019,0.0011733639441522227,0.000656883233692056,0.0010753693585896014,-2.0984077443732526e-05,0.002884632458990148,0.0
2015-12-31,0.0003446780950833,0.0016157753643518975,0.0005122232757254327,0.0007661459252303475,-6.960785897795375e-06,-3.1114578938727654e-07,0.0012710972692685975,-2.168404344971009e-19
2016-01-31,-0.009694730338490165,-0.006375829305227625,0.0019330595519547616,-0.0019330595519547616,0.00335868323120997,-3.978219794742895e-05,0.0033189010332625403,-8.673617379884035e-19
2016-02-29,0.008045202321472567,0.006776880584792765,-0.0007513818237100017,-0.0004206453799402144,-9.3446994466385e-05,-2.847538563200219e-06,-0.0012683217366798016,-4.336808689942018e-19
2016-03-31,0.015002467959033799,0.012348527193813762,-0.002228233718272978,0.002228233718272978,-0.0026269474882257998,-2.6993276994240147e-05,-0.002653940765220037,2.6020852139652106e-18
2016-04-30,-0.0001455894955764667,6.899322066139373e-05,0.00017065157554591303,9.553571109621616e-05,-4.549986430023678e-05,-6.104706104031882e-06,0.00021458271623786042,-1.0842021724855044e-19
2016-05-31,-0.0017002337314453665,-0.0013911967846432045,0.00036428179254447416,-0.00036428179254447416,0.0003297636525293396,-2.072670572717769e-05,0.000309036946802162,1.0842021724855044e-19
2016-06-30,0.004579026721626699,0.0046028653422501235,3.116315687411122e-05,1.7446040814139037e-05,-1.427927107385115e-05,-1.0491305990975586e-05,2.3838620623424164e-05,6.437450399132683e-19
