source_type,strategy_name,report_strategy_name,cost_0bp,cost_10bp,cost_20bp,cost_5bp
baseline,EW,EW (Benchmark),6.510061939431955,6.510061939431955,6.510061939431955,6.510061939431955
lambda,EW,EW (Benchmark),6.510061939431955,6.510061939431955,6.510061939431955,6.510061939431955
lambda,lambda_0.1,Lambda 0.1,8.65511461758417,8.622537346338577,8.589968825280714,8.638824888057384
lambda,lambda_0.3,Lambda 0.3,9.085171513870272,8.994864017540504,8.904622452114165,9.04000952171078
