item,value,status,note
source_file,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,OK,외부 사건 달력 원천 파일
source_variable,market_event_calendar,OK,불러온 사건 달력 변수명
event_rows,27,OK,표준화된 사건 수
missing_start_date,0,OK,start_date 누락 여부
strategy_input_false_count,27,OK,시장 사건 달력은 전략 입력이 아니어야 함
data_available_events,27,OK,2012-03-07 이후 사건 수
