strategy_name,theta_id,theta_common,months,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,Sharpe,Sortino,Calmar,WinRate_pct
EW,EW,,172,2.4694437257892248,6.510061939431955,7.97233104941412,-13.571143569546962,0.8317791325459929,1.5383921387649833,0.4796988482267804,60.46511627906976
theta_0.10,theta_0.10,0.1,172,2.8205253077473276,7.502452510254631,13.615311169709265,-21.71980823146128,0.5971819718804593,0.888535891089623,0.34541983199406345,65.11627906976744
theta_0.15,theta_0.15,0.15,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744
theta_0.20,theta_0.20,0.2,172,2.901644445695067,7.715326444932247,13.350814315839987,-20.242843751847516,0.6210423897566812,1.0501264127041967,0.38113846747584995,62.7906976744186
theta_0.25,theta_0.25,0.25,172,2.797997160308501,7.442323318350352,12.888961289096684,-20.82324737557226,0.6194425047944131,1.0250261251331556,0.3574045481052555,61.627906976744185
theta_0.30,theta_0.30,0.3,172,2.9099432383560657,7.736791103230978,12.917407181336415,-20.82324737557224,0.6396683119542853,1.0795995993925769,0.3715458479500662,61.04651162790697
